entity_type,entity,entity_id,biotype,relationship,sources,n_sources,evidence_types,best_score,score_type,tissue_celltype,confidence_tier,notes
gene,PPP1R37,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,PPP5C,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,PRDM7,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,4.25,PIGEAN/EAGGL_weight,,T4 low,
gene,PRKD3,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,PRKN,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,PRNP,,protein-coding,associated_with_AD,spoke-okn;rdkg;digcfdekg,3,curated_link;statistical_association,4.43,PIGEAN/EAGGL_weight,,T2 high,
gene,PRSS36,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,PSEN1,,protein-coding,associated_with_AD,spoke-okn;rdkg;prokn;digcfdekg,4,curated_link;statistical_association,9.32,PIGEAN/EAGGL_weight,,T1 very-high,
gene,PSEN2,,protein-coding,associated_with_AD,spoke-okn;rdkg;prokn;digcfdekg,4,curated_link;statistical_association,8.11,PIGEAN/EAGGL_weight,,T1 very-high,
gene,PSENEN,,protein-coding,associated_with_AD,spoke-okn;digcfdekg,2,curated_link;statistical_association,4.5,PIGEAN/EAGGL_weight,,T3 medium,
