osd,hEntrez,humanSymbol,log2fc,adj_p,top_fanout,model_symbols,tissue,system,species,dir,strict
OSD-100,51142,CHCHD2,-0.181417,0.0393189,1,Chchd2,left eye,OCULAR,mouse,DOWN,False
OSD-100,51181,DCXR,-0.453275,0.00620225,1,Dcxr,left eye,OCULAR,mouse,DOWN,False
OSD-100,51733,UPB1,-1.03639,0.00286851,1,Upb1,left eye,OCULAR,mouse,DOWN,True
OSD-100,53405,CLIC5,-0.254543,0.0473877,1,Clic5,left eye,OCULAR,mouse,DOWN,False
OSD-100,53828,FXYD4,-0.965044,0.0177209,1,Fxyd4,left eye,OCULAR,mouse,DOWN,False
OSD-100,54443,ANLN,0.49885,0.0107257,1,Anln,left eye,OCULAR,mouse,UP,False
OSD-100,54800,KLHL24,-0.210223,0.0125118,1,Klhl24,left eye,OCULAR,mouse,DOWN,False
OSD-100,56154,TEX15,0.421296,0.00632182,1,Tex15,left eye,OCULAR,mouse,UP,False
OSD-100,57060,PCBP4,0.147373,0.0473877,1,Pcbp4,left eye,OCULAR,mouse,UP,False
OSD-100,57464,STRIP2,0.208782,0.0351777,1,Strip2,left eye,OCULAR,mouse,UP,False
OSD-100,59284,CACNG7,0.233551,0.0213665,1,Cacng7,left eye,OCULAR,mouse,UP,False
OSD-100,60676,PAPPA2,0.838473,9.89826e-12,1,Pappa2,left eye,OCULAR,mouse,UP,False
OSD-100,79845,RNF122,-0.269154,0.0372066,1,Rnf122,left eye,OCULAR,mouse,DOWN,False
OSD-100,80201,HKDC1,0.542492,0.00652534,1,Hkdc1,left eye,OCULAR,mouse,UP,False
OSD-100,80219,COQ10B,-0.268693,0.0094094,1,Coq10b,left eye,OCULAR,mouse,DOWN,False
OSD-100,80724,ACAD10,-0.347662,0.00632182,1,Acad10,left eye,OCULAR,mouse,DOWN,False
OSD-100,80816,ASXL3,0.298086,0.0415688,1,Asxl3,left eye,OCULAR,mouse,UP,False
OSD-100,80832,APOL4,1.82503,0.0109721,4,Apol7a|Apol9a|Apol9b,left eye,OCULAR,mouse,UP,True
OSD-100,80833,APOL3,1.82503,0.0109721,4,Apol7a|Apol9a|Apol9b,left eye,OCULAR,mouse,UP,True
OSD-100,81579,PLA2G12A,-0.336063,0.0268932,1,Pla2g12a,left eye,OCULAR,mouse,DOWN,False
OSD-100,84614,ZBTB37,0.284908,0.0107257,1,Zbtb37,left eye,OCULAR,mouse,UP,False
OSD-100,84651,SPINK7,1.25995,0.0123274,1,Spink7,left eye,OCULAR,mouse,UP,True
OSD-100,85366,MYLK2,-0.854133,0.0393189,1,Mylk2,left eye,OCULAR,mouse,DOWN,False
OSD-100,115207,KCTD12,-0.26429,0.00382325,1,Kctd12,left eye,OCULAR,mouse,DOWN,False
OSD-100,118461,C10orf71,-0.80615,0.0338435,1,3425401B19Rik,left eye,OCULAR,mouse,DOWN,False
OSD-100,125988,MICOS13,-0.313647,0.00278437,1,Micos13,left eye,OCULAR,mouse,DOWN,False
OSD-100,129607,CMPK2,0.404973,0.0484367,1,Cmpk2,left eye,OCULAR,mouse,UP,False
OSD-100,133690,CAPSL,-0.874845,0.0123136,1,Capsl,left eye,OCULAR,mouse,DOWN,False
OSD-100,140902,R3HDML,-1.14327,0.00200648,1,R3hdml,left eye,OCULAR,mouse,DOWN,True
OSD-100,145957,NRG4,-0.479752,0.0133141,1,Nrg4,left eye,OCULAR,mouse,DOWN,False
OSD-100,168002,DACT2,-0.369647,0.0238264,1,Dact2,left eye,OCULAR,mouse,DOWN,False
OSD-100,169166,SNX31,-0.571343,0.0123136,1,Snx31,left eye,OCULAR,mouse,DOWN,False
OSD-100,171024,SYNPO2,-0.50324,0.0244521,1,Synpo2,left eye,OCULAR,mouse,DOWN,False
OSD-100,196374,KRT78,-0.608002,3.81616e-05,1,Krt78,left eye,OCULAR,mouse,DOWN,False
OSD-100,267020,ATP5MGL,-0.247556,0.0394277,2,Atp5mg,left eye,OCULAR,mouse,DOWN,False
OSD-100,338324,S100A7A,0.930801,0.0299659,2,S100a7a,left eye,OCULAR,mouse,UP,False
OSD-100,343990,CRACDL,-0.324718,0.0442228,1,Cracdl,left eye,OCULAR,mouse,DOWN,False
OSD-100,388524,RPSAP58,-0.223833,0.0403331,2,Rpsa,left eye,OCULAR,mouse,DOWN,False
OSD-100,389813,AJM1,0.216313,0.0364718,1,Ajm1,left eye,OCULAR,mouse,UP,False
OSD-100,390595,UBAP1L,0.245242,0.0498123,1,Ubap1l,left eye,OCULAR,mouse,UP,False
OSD-100,439996,IFIT1B,0.789058,0.0270434,2,Ifit1,left eye,OCULAR,mouse,UP,False
OSD-100,440567,UQCRHL,-0.18872,0.00499263,2,Uqcrh,left eye,OCULAR,mouse,DOWN,False
OSD-100,442117,GALNTL6,0.458664,0.0398229,1,Galntl6,left eye,OCULAR,mouse,UP,False
OSD-100,442721,LMOD2,-0.979559,0.00392963,1,Lmod2,left eye,OCULAR,mouse,DOWN,False
OSD-100,449520,GGNBP1,-0.722917,0.00278437,1,Ggnbp1,left eye,OCULAR,mouse,DOWN,False
OSD-100,654364,NME1-NME2,-0.333778,9.89826e-12,2,Nme2,left eye,OCULAR,mouse,DOWN,False
OSD-100,105375355,UPK3B,-0.682534,0.0277344,1,Upk3b,left eye,OCULAR,mouse,DOWN,False
OSD-162,5972,REN,3.53217,0.0350563,1,Ren1,eye,OCULAR,mouse,UP,True
OSD-162,7380,UPK3A,-1.69596,0.0294156,1,Upk3a,eye,OCULAR,mouse,DOWN,True
OSD-162,7695,ZNF136,0.702874,0.0159968,2,Gm4724,eye,OCULAR,mouse,UP,False
OSD-162,83661,MS4A8,-1.447,0.00895214,1,Ms4a8a,eye,OCULAR,mouse,DOWN,True
OSD-162,84449,ZNF333,0.702874,0.0159968,2,Gm4724,eye,OCULAR,mouse,UP,False
OSD-207,2,A2M,3.25179,2.65495e-05,8,Tep1|Tep2,head,FLYHEAD,fly,UP,True
OSD-207,19,ABCA1,-2.18964,2.04324e-05,12,CG8908,head,FLYHEAD,fly,DOWN,True
OSD-207,20,ABCA2,-2.18964,2.04324e-05,12,CG8908,head,FLYHEAD,fly,DOWN,True
OSD-207,21,ABCA3,-2.18964,2.04324e-05,12,CG8908,head,FLYHEAD,fly,DOWN,True
OSD-207,24,ABCA4,-2.18964,2.04324e-05,12,CG8908,head,FLYHEAD,fly,DOWN,True
OSD-207,36,ACADSB,1.27438,1.09443e-05,1,CG3902,head,FLYHEAD,fly,UP,True
OSD-207,40,ASIC2,2.93629,0.0140608,8,ppk11|ppk16|ppk22|ppk29|ppk6,head,FLYHEAD,fly,UP,True
OSD-207,41,ASIC1,2.93629,0.0140608,8,ppk11|ppk16|ppk22|ppk29|ppk6,head,FLYHEAD,fly,UP,True
OSD-207,43,ACHE,1.86331,0.0001826,12,CG4757|CG9289|Est-P|Jhe|Jhedup|alpha-Est2|alpha-Est5,head,FLYHEAD,fly,UP,True
OSD-207,47,ACLY,-1.15325,0.00186685,1,ATPCL,head,FLYHEAD,fly,DOWN,True
OSD-207,52,ACP1,-1.68405,0.0359707,1,CG14297|CG31469,head,FLYHEAD,fly,DOWN,True
OSD-207,53,ACP2,1.09184,0.00295125,4,CG9452,head,FLYHEAD,fly,UP,True
OSD-207,55,ACP3,1.09184,0.00295125,4,CG9452,head,FLYHEAD,fly,UP,True
OSD-207,87,ACTN1,-1.41524,0.000169812,1,Actn,head,FLYHEAD,fly,DOWN,True
OSD-207,95,ACY1,2.65633,0.00600249,1,CG17109|CG6465,head,FLYHEAD,fly,UP,True
OSD-207,103,ADAR,5.71955,0.000270272,14,CG12493,head,FLYHEAD,fly,UP,True
OSD-207,104,ADARB1,5.71955,0.000270272,14,CG12493,head,FLYHEAD,fly,UP,True
OSD-207,105,ADARB2,5.71955,0.000270272,14,CG12493,head,FLYHEAD,fly,UP,True
OSD-207,132,ADK,1.16281,2.45275e-09,1,AdenoK,head,FLYHEAD,fly,UP,True
OSD-207,167,CRISP1,6.05991,7.49826e-06,13,Ag5r|CG17974|CG34002|CG8483|CG9400|antr|scpr-A|scpr-B|scpr-C,head,FLYHEAD,fly,UP,True
OSD-207,178,AGL,-1.2159,0.00283938,1,CG9485,head,FLYHEAD,fly,DOWN,True
OSD-207,182,JAG1,1.18457,0.00118074,6,Dl|Ser,head,FLYHEAD,fly,UP,True
OSD-207,189,AGXT,1.00251,0.000192936,1,Spat,head,FLYHEAD,fly,UP,True
OSD-207,191,AHCY,1.46661,9.52658e-06,1,Ahcy,head,FLYHEAD,fly,UP,True
OSD-207,205,AK4,1.19305,0.00287078,5,CG9541,head,FLYHEAD,fly,UP,True
OSD-207,216,ALDH1A1,1.34962,0.00618905,10,CG8665,head,FLYHEAD,fly,UP,True
OSD-207,218,ALDH3A1,1.34962,0.00618905,10,CG8665,head,FLYHEAD,fly,UP,True
OSD-207,219,ALDH1B1,1.34962,0.00618905,10,CG8665,head,FLYHEAD,fly,UP,True
OSD-207,221,ALDH3B1,1.34962,0.00618905,10,CG8665,head,FLYHEAD,fly,UP,True
