osd,symbol,entrez,log2fc,adj_p,tissue,system,species,dir,strict
OSD-564,Gm21586,100862247,-1.25349,0.0194529,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rmrp,19782,-1.62035,7.12202e-05,hippocampus,CNS,mouse,DOWN,True
OSD-564,Llgl2,217325,-1.8057,0.00930421,hippocampus,CNS,mouse,DOWN,True
OSD-564,Zfp264,115485607,-1.73894,0.0482247,hippocampus,CNS,mouse,DOWN,True
OSD-564,Dnah10,56087,1.66904,0.0123243,hippocampus,CNS,mouse,UP,True
OSD-564,Thap1,73754,-1.1327,0.00024649,hippocampus,CNS,mouse,DOWN,True
OSD-564,Cfap47,636104,-1.14184,0.00099993,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rps27l,67941,-1.02688,0.0124528,hippocampus,CNS,mouse,DOWN,True
OSD-564,Omd,27047,-1.01789,0.0466848,hippocampus,CNS,mouse,DOWN,True
OSD-564,Col27a1,373864,-1.09731,0.0478448,hippocampus,CNS,mouse,DOWN,True
OSD-564,Saxo3,100040019,1.58997,0.0469679,hippocampus,CNS,mouse,UP,True
OSD-564,Apoc1,11812,-1.09125,0.0380149,hippocampus,CNS,mouse,DOWN,True
OSD-564,Gpx4-ps2,664781,-1.12113,0.00707447,hippocampus,CNS,mouse,DOWN,True
OSD-564,Sptlc3,228677,1.96747,0.0242262,hippocampus,CNS,mouse,UP,True
OSD-564,Med30,69790,-1.13336,0.0125272,hippocampus,CNS,mouse,DOWN,True
OSD-564,Gm10177,108167643,-1.41191,0.000227913,hippocampus,CNS,mouse,DOWN,True
OSD-564,Gm22009,115489854,-1.31928,0.000182415,hippocampus,CNS,mouse,DOWN,True
OSD-564,Gm22442,115487906,-1.52919,4.37193e-10,hippocampus,CNS,mouse,DOWN,True
OSD-564,Drc7,330830,1.25848,0.0166015,hippocampus,CNS,mouse,UP,True
OSD-564,Gm57565,115487654,-1.00554,0.031058,hippocampus,CNS,mouse,DOWN,True
OSD-564,Gm24407,115490316,-1.61851,0.00859378,hippocampus,CNS,mouse,DOWN,True
OSD-564,Gm25129,115489591,-1.82392,8.75115e-05,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rn7s1,103948,-1.58937,4.39431e-07,hippocampus,CNS,mouse,DOWN,True
OSD-564,1600020E01Rik,72012,-1.2649,0.000278506,hippocampus,CNS,mouse,DOWN,True
OSD-564,Ndufb1,102631912,-1.04463,0.00729932,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rn7s2,103949,-1.7586,5.84793e-05,hippocampus,CNS,mouse,DOWN,True
OSD-564,4930513N10Rik,319960,-2.10911,0.0127367,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rtl9,209540,1.19943,0.0097471,hippocampus,CNS,mouse,UP,True
OSD-564,Gm13861,100039184,-1.26146,0.0232837,hippocampus,CNS,mouse,DOWN,True
OSD-564,Ube2srt,100039535,-2.67866,2.67475e-06,hippocampus,CNS,mouse,DOWN,True
OSD-564,Scn11a,24046,1.96002,0.0207402,hippocampus,CNS,mouse,UP,True
OSD-564,Abhd11os,69812,-1.40133,0.00150896,hippocampus,CNS,mouse,DOWN,True
OSD-564,Slc9a4,110895,1.40863,0.0475244,hippocampus,CNS,mouse,UP,True
OSD-564,S100a4,20198,-1.25471,0.00117112,hippocampus,CNS,mouse,DOWN,True
OSD-564,Gm25989,115488715,-1.79912,0.00195729,hippocampus,CNS,mouse,DOWN,True
OSD-564,Gbx1,231044,-1.97876,0.00773333,hippocampus,CNS,mouse,DOWN,True
OSD-564,Gm54112,118568512,-1.47903,0.0100716,hippocampus,CNS,mouse,DOWN,True
OSD-564,Gm21992,102902673,-1.01476,0.0128883,hippocampus,CNS,mouse,DOWN,True
OSD-564,Wnt7a,22421,1.45829,8.01736e-08,hippocampus,CNS,mouse,UP,True
OSD-564,Ghsr,208188,1.51247,0.0302363,hippocampus,CNS,mouse,UP,True
OSD-564,Arhgap36,75404,1.02336,0.00932346,hippocampus,CNS,mouse,UP,True
OSD-564,Gm25107,115486124,-2.20927,2.05061e-06,hippocampus,CNS,mouse,DOWN,True
OSD-564,Ptcra,19208,-1.26407,0.0424905,hippocampus,CNS,mouse,DOWN,True
OSD-564,Gm11454,100504589,1.4304,0.0337457,hippocampus,CNS,mouse,UP,True
OSD-564,Crhr2,12922,1.30152,0.0134842,hippocampus,CNS,mouse,UP,True
OSD-564,4930578M01Rik,75951,-1.03852,0.0144786,hippocampus,CNS,mouse,DOWN,True
OSD-564,Gm17750,553095,-1.27136,0.00596825,hippocampus,CNS,mouse,DOWN,True
OSD-564,Ahsp,170812,-3.15974,0.01582,hippocampus,CNS,mouse,DOWN,True
OSD-564,Casr,12374,1.65865,0.000186583,hippocampus,CNS,mouse,UP,True
OSD-564,Retn,57264,-1.74143,0.0468674,hippocampus,CNS,mouse,DOWN,True
OSD-564,Folr1,14275,1.3088,0.00774428,hippocampus,CNS,mouse,UP,True
OSD-564,Gm25492,115490291,-1.27927,0.000320227,hippocampus,CNS,mouse,DOWN,True
OSD-564,Gm26447,115488689,-1.86568,1.88581e-06,hippocampus,CNS,mouse,DOWN,True
OSD-564,LOC108167922,108167922,-1.427,0.0451786,hippocampus,CNS,mouse,DOWN,True
OSD-564,Gm23442,115488838,-1.61687,1.60454e-06,hippocampus,CNS,mouse,DOWN,True
OSD-564,Gm24119,115487534,-1.67104,0.005447,hippocampus,CNS,mouse,DOWN,True
OSD-564,H4c3,319155,-1.02729,0.0194529,hippocampus,CNS,mouse,DOWN,True
OSD-564,Gm5620,434428,1.38136,0.0476705,hippocampus,CNS,mouse,UP,True
OSD-564,Rpl17-ps10,100042880,-1.60869,0.0202995,hippocampus,CNS,mouse,DOWN,True
OSD-564,Fam167a,219148,1.16995,0.0246958,hippocampus,CNS,mouse,UP,True
OSD-564,Gm25541,115489638,-1.56648,0.0430915,hippocampus,CNS,mouse,DOWN,True
OSD-564,Gm24620,115488217,-2.17818,0.000134923,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rhof,23912,1.00478,8.9276e-05,hippocampus,CNS,mouse,UP,True
OSD-564,2610528A11Rik,70045,-1.3433,0.0486187,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rps27,57294,-1.24375,0.00502516,hippocampus,CNS,mouse,DOWN,True
