naicsCode,naicsLabel,nFacilities,nCells
62221,Psychiatric and Substance Abuse Hospitals,1,1
311512,Creamery Butter Manufacturing ,1,1
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing ",1,1
311811,Retail Bakeries ,1,1
311821,Cookie and Cracker Manufacturing ,1,1
311920,Coffee and Tea Manufacturing ,1,1
312110,,1,1
312111,Soft Drink Manufacturing ,1,1
312112,Bottled Water Manufacturing ,1,1
31214,Distilleries,1,1
31311,"Fiber, Yarn, and Thread Mills",1,1
313111,,1,1
31321,Broadwoven Fabric Mills,1,1
713910,Golf Courses and Country Clubs,1,1
236210,Industrial Building Construction ,1,1
811112,,1,1
23712,Oil and Gas Pipeline and Related Structures Construction,1,1
72233,Mobile Food Services,1,1
722213,,1,1
72211,,1,1
23713,Power and Communication Line and Related Structures Construction,1,1
721110,Hotels (except Casino Hotels) and Motels ,1,1
713990,All Other Amusement and Recreation Industries ,1,1
23816,Roofing Contractors ,1,1
238160,Roofing Contractors ,1,1
23821,Electrical Contractors and Other Wiring Installation Contractors,1,1
562920,Materials Recovery Facilities ,1,1
71391,Golf Courses and Country Clubs,1,1
238220,"Plumbing, Heating, and Air-Conditioning Contractors ",1,1
238310,Drywall and Insulation Contractors ,1,1
711510,"Independent Artists, Writers, and Performers ",1,1
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities ",1,1
711212,Racetracks ,1,1
624310,Vocational Rehabilitation Services ,1,1
238330,Flooring Contractors,1,1
23891,Site Preparation Contractors,1,1
623220,Residential Mental Health and Substance Abuse Facilities ,1,1
311211,Flour Milling ,1,1
311213,Malt Manufacturing ,1,1
333411,,1,1
423520,Coal and Other Mineral and Ore Merchant Wholesalers ,1,1
423410,Photographic Equipment and Supplies Merchant Wholesalers ,1,1
333242,Semiconductor Machinery Manufacturing ,1,1
333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing ",1,1
42331,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers ",1,1
333248,All Other Industrial Machinery Manufacturing ,1,1
42314,Motor Vehicle Parts (Used) Merchant Wholesalers ,1,1
42312,Motor Vehicle Supplies and New Parts Merchant Wholesalers ,1,1
333314,,1,1
42295,,1,1
333318,,1,1
33341,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",1,1
42361,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",1,1
42221,,1,1
42199,,1,1
333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing ,1,1
42186,,1,1
42184,,1,1
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing ,1,1
42161,,1,1
333511,Industrial Mold Manufacturing ,1,1
42114,,1,1
42112,,1,1
333611,Turbine and Turbine Generator Set Units Manufacturing ,1,1
339993,"Fastener, Button, Needle, and Pin Manufacturing ",1,1
42451,Grain and Field Bean Merchant Wholesalers ,1,1
332439,Other Metal Container Manufacturing ,1,1
332611,,1,1
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers ,1,1
424950,"Paint, Varnish, and Supplies Merchant Wholesalers ",1,1
42495,"Paint, Varnish, and Supplies Merchant Wholesalers ",1,1
332613,Spring Manufacturing ,1,1
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers ,1,1
424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals) ,1,1
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing ",1,1
332913,Plumbing Fixture Fitting and Trim Manufacturing ,1,1
332919,Other Metal Valve and Pipe Fitting Manufacturing ,1,1
