cid	lat	lon	nPtsGeo	layers	nPts	nObs	nAnalytes	nDet	nDetAnalytes	maxNgL	nFac	nPfasFac	nRingFac	nRingPfasFac	stateFips	stateName	countyFips	countyName	nCounties	sameTopWeight	sameTopIndustry	sameTopNaics	sameTopFacilityName	ringTopWeight	ringTopIndustry	ringTopNaics	ringTopFacilityName	c_proximity	detFreq	c_detFreq	c_detIntensity	c_analyteBreadth	c_industryPrior	score	scoreComponentsUsed	tier	window	sourceList	nSources
5960207841296908288	46.520901	-94.354385	1	WQP	1	80	40	4	2	5.14	0	0	9	0	27	Minnesota	27021	Cass County	1									0.06200458888731158	0.05	0.05	0.2626847818644002	0.1	0.0	10.73728015766591	5	C	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5960208253613768704	46.541741	-94.310511	1	WQP	1	80	40	2	1	0.185	0	0	2	0	27	Minnesota	27035	Crow Wing County	1									0.02958370724829093	0.025	0.025	0.02456922846578715	0.05	0.0	2.6496604653348617	5	C	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5960208425412460544	46.518348	-94.3055	1	WQP	1	2	2	0	0		5	0	12	0	27	Minnesota	27035	Crow Wing County	1									0.1471297638528708	0.0	0.0		0.0	0.0		4	N	same-cell (unflagged)	sawgraph;spatialkg;fiokg	3
5960209215686443008	46.438053	-94.31174	1	WQP	1	2	2	0	0		0	0	17	0	27	Minnesota	27035	Crow Wing County	1									0.0778326556204762	0.0	0.0		0.0	0.0		4	N	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5960209250046181376	46.449426	-94.311231	1	WQP	1	40	40	2	2	1.27	1	0	9	0	27	Minnesota	27035	Crow Wing County	1									0.06200458888731158	0.05	0.05	0.11865811679229495	0.1	0.0	7.136613530863278	5	C	same-cell (unflagged)	sawgraph;spatialkg;fiokg	3
5960210418277285888	46.500129	-94.348826	1	WQP	1	80	53	9	8	19.1	0	0	11	0	27	Minnesota	27021	Cass County	1									0.0669141894960796	0.1125	0.1125	0.4343358406711975	0.4	0.0	19.45039264914272	5	C	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5960251272006205440	46.920764	-94.489022	1	WQP	1	40	40	1	1	0.336	0	0	3	0	27	Minnesota	27021	Cass County	1									0.03733048224778867	0.025	0.025	0.041929419174314135	0.05	0.0	3.354802358030457	5	C	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5960323393097039872	47.23335	-94.09289	1	WQP	1	33	33	2	2		0	0	0	0	27	Minnesota	27021	Cass County	1									0.0	0.06060606060606061	0.06060606060606061		0.1	0.0	2.94949494949495	4	D	none	sawgraph;spatialkg	2
5960328375259103232	47.319232	-94.218664	1	WQP	1	40	40	1	1	0.442	0	0	0	0	27	Minnesota	27021	Cass County	1									0.0	0.025	0.025	0.05298075421039006	0.05	0.0	2.3245188552597518	5	D	none	sawgraph;spatialkg	2
5960414961799790592	46.913567	-94.815456	1	WQP	1	40	40	0	0		0	0	3	0	27	Minnesota	27057	Hubbard County	1									0.03733048224778867	0.0	0.0		0.0	0.0		4	N	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5960421077833220096	46.747824	-94.769498	1	WQP	1	40	40	0	0		0	0	0	0	27	Minnesota	27021	Cass County	1									0.0	0.0	0.0		0.0	0.0		4	N	none	sawgraph;spatialkg	2
5960434134533799936	46.853108	-94.995036	1	WQP	1	26	13	2	1	23.3	0	0	3	1	27	Minnesota	27057	Hubbard County	1									0.17343889579073268	0.07692307692307693	0.07692307692307693	0.4618019385922878	0.05		21.837634839938197	4	B	1-ring	sawgraph;spatialkg;fiokg	3
5960435508923334656	46.907484	-95.067129	1	WQP	1	80	40	5	3	0.708	5	0	146	2	27	Minnesota	27057	Hubbard County	1					1.0	Airport operations (AFFF fire training)	488119	PARK RAPIDS MUNI-KONSHOK FIELD	0.27489414599479567	0.0625	0.0625	0.07748474399020977	0.15	1.0	24.30841370957309	5	B	1-ring	sawgraph;spatialkg;fiokg	3
