cid,neighborCid
9797514760948809728,9797514898387763200
9797514760948809728,9797514932747501568
9797514795308548096,9797513008602152960
9797514795308548096,9797513042961891328
9797514795308548096,9797513146041106432
9797514795308548096,9797514692229332992
9797514795308548096,9797514726589071360
9797514795308548096,9797514760948809728
9797514795308548096,9797514829668286464
9797514795308548096,9797514864028024832
9797514932747501568,9797514520430641152
9797514932747501568,9797514554790379520
9797514932747501568,9797514726589071360
9797514932747501568,9797514760948809728
9797514932747501568,9797514864028024832
9797514932747501568,9797514898387763200
9797514932747501568,9797514967107239936
9797514932747501568,9797515001466978304
9797515001466978304,9797512080889217024
9797515001466978304,9797512115248955392
9797515001466978304,9797514898387763200
9797515001466978304,9797514932747501568
9797515001466978304,9797514967107239936
9797515001466978304,9797515035826716672
9797515001466978304,9797515070186455040
9797515001466978304,9797517956404477952
9797515448143577088,9797515310704623616
9797515448143577088,9797515413783838720
9797515448143577088,9797515482503315456
9797515448143577088,9797515516863053824
9797515448143577088,9797515551222792192
9797515448143577088,9797515585582530560
9797515448143577088,9797515619942268928
9797515448143577088,9797516066618867712
9797515482503315456,9797515070186455040
9797515482503315456,9797515104546193408
9797515482503315456,9797515276344885248
9797515482503315456,9797515310704623616
9797515482503315456,9797515413783838720
9797515482503315456,9797515448143577088
9797515482503315456,9797515516863053824
9797515482503315456,9797515551222792192
9797515516863053824,9797514486070902784
9797515516863053824,9797514520430641152
9797515516863053824,9797514967107239936
9797515516863053824,9797515070186455040
9797515516863053824,9797515104546193408
9797515516863053824,9797515448143577088
9797515516863053824,9797515482503315456
9797515516863053824,9797515551222792192
9797515619942268928,9797515413783838720
9797515619942268928,9797515448143577088
9797515619942268928,9797515551222792192
9797515619942268928,9797515585582530560
9797515619942268928,9797515654302007296
9797515619942268928,9797515688661745664
9797515619942268928,9797516032259129344
9797515619942268928,9797516066618867712
9797515654302007296,9797515585582530560
9797515654302007296,9797515619942268928
9797515654302007296,9797515688661745664
9797515654302007296,9797515723021484032
9797515654302007296,9797515826100699136
9797515654302007296,9797515860460437504
9797515654302007296,9797516032259129344
9797515654302007296,9797516066618867712
9797515688661745664,9797514314272210944
9797515688661745664,9797514348631949312
9797515688661745664,9797514451711164416
9797515688661745664,9797515585582530560
9797515688661745664,9797515619942268928
9797515688661745664,9797515654302007296
9797515688661745664,9797515723021484032
9797515688661745664,9797515826100699136
9797515723021484032,9797514279912472576
9797515723021484032,9797514314272210944
9797515723021484032,9797514348631949312
9797515723021484032,9797515654302007296
9797515723021484032,9797515688661745664
9797515723021484032,9797515757381222400
9797515723021484032,9797515791740960768
9797515723021484032,9797515826100699136
9797515826100699136,9797515654302007296
9797515826100699136,9797515688661745664
9797515826100699136,9797515723021484032
9797515826100699136,9797515757381222400
9797515826100699136,9797515791740960768
9797515826100699136,9797515860460437504
9797515826100699136,9797515894820175872
9797515826100699136,9797516032259129344
9797515894820175872,9797515791740960768
9797515894820175872,9797515826100699136
9797515894820175872,9797515860460437504
9797515894820175872,9797515929179914240
9797515894820175872,9797515963539652608
9797515894820175872,9797540496392847360
9797515894820175872,9797540530752585728
9797515894820175872,9797540633831800832
9797515929179914240,9797515860460437504
9797515929179914240,9797515894820175872
9797515929179914240,9797515963539652608
9797515929179914240,9797516272777297920
9797515929179914240,9797516307137036288
9797515929179914240,9797540118435725312
9797515929179914240,9797540496392847360
9797515929179914240,9797540530752585728
9797515963539652608,9797515860460437504
9797515963539652608,9797515894820175872
9797515963539652608,9797515929179914240
9797515963539652608,9797515997899390976
9797515963539652608,9797516032259129344
9797515963539652608,9797516238417559552
9797515963539652608,9797516272777297920
9797515963539652608,9797516307137036288
9797515997899390976,9797515860460437504
9797515997899390976,9797515963539652608
9797515997899390976,9797516032259129344
9797515997899390976,9797516066618867712
9797515997899390976,9797516100978606080
