cid,neighborCid,frsId,facName,naics
5526345878735945728,5526347528003387392,110070864488,SPECIALTY MINERALS INC,325188
5526347562363125760,5526347528003387392,110008053587,VERSO  PAPER - ANDROSCOGGIN MILL,221112
5526347562363125760,5526347528003387392,110008053587,VERSO  PAPER - ANDROSCOGGIN MILL,322110
5526347562363125760,5526347528003387392,110008053587,VERSO  PAPER - ANDROSCOGGIN MILL,322120
5526347562363125760,5526347528003387392,110008053587,VERSO  PAPER - ANDROSCOGGIN MILL,322121
5526347562363125760,5526347528003387392,110008053587,VERSO  PAPER - ANDROSCOGGIN MILL,322130
5526347562363125760,5526347528003387392,110008053587,VERSO  PAPER - ANDROSCOGGIN MILL,531120
5526347562363125760,5526347528003387392,110063588844,PIXELLE ANDROSCOGGIN,221112
5526347562363125760,5526347528003387392,110063588844,PIXELLE ANDROSCOGGIN,322110
5526347562363125760,5526347528003387392,110063588844,PIXELLE ANDROSCOGGIN,322120
5526347562363125760,5526347528003387392,110063588844,PIXELLE ANDROSCOGGIN,322121
5526347562363125760,5526347528003387392,110063588844,PIXELLE ANDROSCOGGIN,322130
5526347562363125760,5526347528003387392,110070864488,SPECIALTY MINERALS INC,325180
5526347562363125760,5526347528003387392,110070864488,SPECIALTY MINERALS INC,325188
5526348215198154752,5526348009039724544,110000314455,WAUSAU PAPER OTIS MILL,322120
5526348215198154752,5526348009039724544,110000314455,WAUSAU PAPER OTIS MILL,322121
5526367972047716352,5526368006407454720,110000314730,DYEABLES SHOES,315999
5526401953828962304,5526401988188700672,110000581530,MADISON PAPER MILL,221111
5526401953828962304,5526401988188700672,110000581530,MADISON PAPER MILL,322121
5526401953828962304,5526401988188700672,110043630363,MADISON PAPER INDUSTRIES,322120
5526401953828962304,5526401988188700672,110043630363,MADISON PAPER INDUSTRIES,322121
5526407863703961600,5526401988188700672,110000581530,MADISON PAPER MILL,221111
5526407863703961600,5526401988188700672,110000581530,MADISON PAPER MILL,322121
5526407863703961600,5526401988188700672,110043630363,MADISON PAPER INDUSTRIES,322120
5526407863703961600,5526401988188700672,110043630363,MADISON PAPER INDUSTRIES,322121
5526409719129833472,5526409650410356736,110009912835,NORRIDGEWOCK WASTEWATER TREATMENT FACILITY,221320
5526412364829687808,5526412467908902912,110017413468,"SAPPI NORTH AMERICA, INC. SOMERSET OPERATIONS",322110
5526412364829687808,5526412467908902912,110017413468,"SAPPI NORTH AMERICA, INC. SOMERSET OPERATIONS",322120
5526412364829687808,5526412467908902912,110017413468,"SAPPI NORTH AMERICA, INC. SOMERSET OPERATIONS",322121
5526412364829687808,5526412467908902912,110067015900,SAPPI FINE PAPER &#40;S.D. WARREN &#41; MILL,322110
5526412364829687808,5526412467908902912,110067015900,SAPPI FINE PAPER &#40;S.D. WARREN &#41; MILL,322120
5526412364829687808,5526412467908902912,110067015900,SAPPI FINE PAPER &#40;S.D. WARREN &#41; MILL,322121
5526412399189426176,5526412467908902912,110017413468,"SAPPI NORTH AMERICA, INC. SOMERSET OPERATIONS",322110
5526412399189426176,5526412467908902912,110017413468,"SAPPI NORTH AMERICA, INC. SOMERSET OPERATIONS",322120
