param	nObs	nDet	nCells	paramLabel	dtxsid	dssLabel	cas	detFreq	iceLabel	nAssayEndpoints	functionalUse	inICE	inToxCast
characteristic.21871	1762	7	2	Perfluoro(2-ethoxyethane)sulfonic acid	DTXSID50379814	Perfluoro-2-ethoxyethanesulfonic acid	113507-82-7	0.003972758229284903	Perfluoro-2-ethoxyethanesulfonic acid	299.0	Flame retardant	True	True
parameter.N-MEFOSE	857	7	0	N-METHYL PERFLUOROOCTANE SULFONAMIDOETHANOL	DTXSID7027831	N-Methyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide	24448-09-7	0.008168028004667444		496.0		False	True
characteristic.8083	2762	7	2	11-chloroeicosafluoro-3-oxaundecane-1-sulfonic acid	DTXSID40892507	11-Chloroperfluoro-3-oxaundecanesulfonic acid	763051-92-9	0.0025343953656770456				False	False
parameter.FBSA	404	6	4	PERFLUOROBUTANE SULFONAMIDE	DTXSID30880251		30334-69-1	0.01485148514851485	Perfluorobutanesulfonamide		Emulsion stabilizer; Flame retardant	True	False
parameter.PFPES	347	6	3	PERFLUOROPENTANE SULFONATE	DTXSID70892479		175905-36-9	0.01729106628242075				False	False
parameter.PFOA_A_L	12	6	3	PERFLUOROOCTANOIC ACID-LINEAR	DTXSID8031865	Perfluorooctanoic acid		0.5				False	False
parameter.3-3_FTC_A	631	5	5	3:3 FLUOROTELOMER CARBOXYLIC ACID	DTXSID00379268	3:3 Fluorotelomer carboxylic acid	356-02-5	0.00792393026941363		470.0		False	True
parameter.TOTAL-PFC_A	8	5	1	TOTAL PERFLUOROCARBOXYLIC ACIDS				0.625				False	False
parameter.PFMB_A	1169	4	2	PERFLUORO-4-METHOXYBUTANOIC ACID	DTXSID60500450	Perfluoro(4-methoxybutanoic acid)	863090-89-5	0.003421727972626176		506.0		False	True
parameter.PFMP_A	1093	4	3	PERFLUORO-3-METHOXYPROPANOIC ACID	DTXSID70191136	Perfluoro-3-methoxypropanoic acid	377-73-1	0.0036596523330283625		470.0		False	True
parameter.PFOA_A_BR	24	3	3	PERFLUOROOCTANOIC ACID-BRANCHED				0.125				False	False
parameter.PFHXS_A_BR	3	3	3	PERFLUOROHEXANE SULFONIC ACID-BRANCHED				1.0				False	False
parameter.PFHXS_A_L	3	3	3	PERFLUOROHEXANE SULFONIC ACID-LINEAR	DTXSID7040150	Perfluorohexanesulfonic acid		1.0				False	False
characteristic.20082	513	3	1					0.005847953216374269				False	False
characteristic.19577	596	3	1	2H,2H,3H,3H-Perfluorooctanoate	DTXSID20874028	2H,2H,3H,3H-Perfluorooctanoic acid	1799325-94-2	0.0050335570469798654				False	False
parameter.PFDH_A	1170	3	1	PERFLUORO-3,6-DIOXAHEPTANOIC ACID	DTXSID30382063	Perfluoro-3,6-dioxaheptanoic acid	151772-58-6	0.002564102564102564		506.0		False	True
characteristic.19556	942	3	2					0.0031847133757961785				False	False
parameter.11CL-PF3OUDS_A	2315	2	0	11-CHLOROEICOSAFLUORO-3-OXAUNDECANE-1-SULFONIC ACID	DTXSID40892507	11-Chloroperfluoro-3-oxaundecanesulfonic acid	763051-92-9	0.0008639308855291577				False	False
parameter.N-MeFOSAA_A_L	3	2	2	N-METHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID-LINEAR	DTXSID10624392	2-(N-Methylperfluorooctanesulfonamido)acetic acid		0.6666666666666666				False	False
parameter.N-EtFOSAA_A_L	3	2	2	N-ETHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID-LINEAR	DTXSID5062760	2-(N-Ethylperfluorooctanesulfonamido)acetic acid		0.6666666666666666				False	False
parameter.N-EtFOSAA_A_BR	3	2	2	N-ETHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID-BRANCHED				0.6666666666666666				False	False
parameter.PFEES_A	1169	2	1	PERFLUORO(2-ETHOXYETHANE)SULFONIC ACID	DTXSID50379814	Perfluoro-2-ethoxyethanesulfonic acid	113507-82-7	0.001710863986313088	Perfluoro-2-ethoxyethanesulfonic acid	299.0	Flame retardant	True	True
characteristic.9361	182	1	1					0.005494505494505495				False	False
parameter.N-MeFOSAA_A_BR	3	1	1	N-METHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID-BRANCHED				0.3333333333333333				False	False
parameter.9CL-PF3ONS	505	1	0	9-CHOLOROHEXADECAFLUORO-3-OXANONANE-1-SULFONATE	DTXSID101348698			0.0019801980198019802				False	False
parameter.8-2_FTC_A	12	0	0	8:2 FLUOROTELOMER CARBOXYLIC ACID			27854-31-5	0.0	2-(Perfluorooctyl)ethanoic acid		Emulsion stabilizer	True	False
parameter.PFECHS	12	0	0	PERFLUOROETHYLCYCLOHEXANE SULFONATE			133201-07-7	0.0				False	False
parameter.6-2_FTC_A	12	0	0	6:2 FLUOROTELOMER CARBOXYLIC ACID			53826-12-3	0.0	2-(Perfluorohexyl)ethanoic acid		Emulsion stabilizer	True	False
parameter.6-2_FTUC_A	12	0	0	6:2 FLUOROTELOMER UNSATURATED CARBOXYLIC ACID			70887-88-6	0.0				False	False
parameter.PFDOS_A	234	0	0	PERFLUORODODECANE SULFONIC ACID	DTXSID20873011	Perfluorododecanesulfonic acid	79780-39-5	0.0	Perfluorododecanesulfonic acid		Emulsion stabilizer; Flame retardant	True	False
parameter.8-2_FTUC_A	12	0	0	8:2 FLUOROTELOMER UNSATURATED CARBOXYLIC ACID			70887-84-2	0.0				False	False
parameter.PFEC_A	12	0	0	PERFLUORO-4-ISOPROPOXYBUTANOIC ACID			801212-59-9	0.0		470.0		False	True
parameter.PF05DOD_A	12	0	0	PERFLUORO-3,5,7,9,11-PENTAOXADODECANOIC ACID			39492-91-6	0.0	Perfluoro-3,5,7,9,11-pentaoxadodecanoic acid		Antimicrobial	True	False
parameter.PFRPS_A	3	0	0	PERFLUOROPROPANE SULFONIC ACID	DTXSID30870531		423-41-6	0.0	Perfluoropropanesulfonic acid		Flame retardant	True	False
parameter.PFECHS_A	3	0	0	ACETOHYDROXAMIC ACID	DTXSID7022546		646-83-3	0.0				False	False
parameter.PFESA_A_BP2	12	0	0	7H-PERFLUORO-4-METHYL-3,6-DIOXAOCTANESULFONIC ACID			749836-20-2	0.0				False	False
characteristic.16771	596	0	0	3:3 Fluorotelomer carboxylate, ion(1-)	DTXSID00379268	3:3 Fluorotelomer carboxylic acid	1169706-83-5	0.0				False	False
characteristic.8094	942	0	0	Perfluorododecanesulfonate	DTXSID20873011	Perfluorododecanesulfonic acid	343629-43-6	0.0				False	False
characteristic.18587	39	0	0					0.0				False	False
parameter.4-2_FTS	342	0	0	4:2 FLUOROTELOMER SULFONATE	DTXSID90891565		414911-30-1	0.0				False	False
characteristic.9388	122	0	0					0.0				False	False
parameter.ADONA	350	0	0	4,8-DIOXA-3H-PERFLUORONONANOATE	DTXSID80893154		958445-44-8	0.0				False	False
characteristic.9410	89	0	0					0.0				False	False
characteristic.19926	67	0	0					0.0				False	False
