cid,nFac
9797102203570225152,3
9797136941265715200,1
9797289635943022592,17
9797405084663939072,4
9797453600614514688,2
9797457002228613120,1
9797487582395760640,3
9797513008602152960,1
9797513146041106432,2
9797513661437181952,1
9797513695796920320,4
9797513833235873792,1
9797513867595612160,2
9797514039394304000,1
9797514245552734208,1
9797514348631949312,1
9797515001466978304,52
9797515482503315456,1
9797515516863053824,2
9797515619942268928,3
9797515688661745664,2
9797515723021484032,1
9797515826100699136,2
9797516478935728128,17
9797516547655204864,2
9797516822533111808,2
9797519674391396352,10
9797520189787471872,1
9797526134022209536,2
9797526237101424640,1
9797526271461163008,1
9797527680210436096,2
9797527714570174464,6
9797527748929912832,4
9797527989448081408,3
9797528195606511616,11
9797528264325988352,5
9797528539203895296,4
9797528573563633664,5
9797528848441540608,2
9797528917161017344,2
9797529020240232448,2
9797529054599970816,2
9797529123319447552,2
9797529295118139392,4
9797529329477877760,3
9797529432557092864,6
9797529501276569600,5
9797529535636307968,1
9797529673075261440,18
9797529741794738176,8
9797529844873953280,14
9797529879233691648,1
9797529913593430016,1
9797529947953168384,6
9797529982312906752,33
9797530051032383488,6
9797530119751860224,14
9797530188471336960,2
9797530360270028800,1
9797532593653022720,40
9797532696732237824,47
9797532765451714560,13
9797534380359417856,16
9797534414719156224,4
9797534620877586432,1
9797534998834708480,5
9797535376791830528,4
9797535445511307264,3
9797535479871045632,3
9797535651669737472,1
9797535720389214208,2
9797535823468429312,1
9797535857828167680,1
9797535892187906048,23
9797536132706074624,3
9797536235785289728,5
9797536441943719936,188
9797537026059272192,1
9797537129138487296,25
9797537232217702400,2
9797537369656655872,8
9797537507095609344,1
9797537953772208128,3
9797538194290376704,6
9797538331729330176,1
9797538537887760384,5
9797538572247498752,2
9797538744046190592,1
9797539225082527744,3
9797539259442266112,1
9797539396881219584,5
9797539431240957952,1
9797539465600696320,3
9797539534320173056,3
9797539603039649792,2
9797539637399388160,2
9797539843557818368,4
9797540152795463680,1
9797540255874678784,3
9797540358953893888,3
9797540393313632256,3
9797540427673370624,2
9797541183587614720,2
9797541389746044928,1
9797542180020027392,1
9797542867214794752,1
9797542970294009856,1
9797543726208253952,10
9797544344683544576,5
9797544413403021312,2
9797544447762759680,3
9797545306756218880,2
9797545822152294400,7
9797875950518534144,1
9798053074969821184,1
9798108565947285504,1
9798109218782314496,4
9798109253142052864,1
9798178625453817856,1
9798211370284482560,1
9801268321847345152,48
9802262142919901184,6
9802458955501273088,6
9802463937663336448,1
9802745034682925056,5
9802798532795564032,2
9803155083800608768,1
9803809465017827328,4
9803812351235850240,47
9803812488674803712,2
9803813038430617600,6
9803816165166809088,3
9803817367757651968,22
9803821044249657344,5
9803821112969134080,10
9803821868883378176,51
9803822040682070016,55
9803822693517099008,93
9803823689949511680,52
9803827675679162368,2
9803827744398639104,15
9803848394601398272,15
9803886499551248384,12
9803886980587585536,1
9803918797705314304,3
9803920996728569856,3
9803957864727838720,5
9803962400213303296,9
9804062077814308864,6
9804069568237273088,45
9804069877474918400,7
9804070667748900864,21
9804166325260517376,1
9804167012455284736,2
9804169074039586816,1
9804181203027230720,2
9804182783575195648,3
9804210992920395776,6
9804220441848446976,13
9804281396024311808,38
9804283354529398784,73
9804283388889137152,37
9804287683856433152,61
9804295449157304320,5
9804626711394910208,22
9804627226790985728,6
9804637740870926336,25
9804667187166707712,1
9804672650365108224,2
9804677426368741376,1
9804724739728474112,2
9804777000890531840,11
9804783254362914816,6
9804786930854920192,1
