assayName,sym,dir,log2fc,adjp
'Alzheimers disease' vs 'normal' in 'hippocampus',ZNF37A,up,1.2,0.000646584
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',ZNF37A,up,1.3,0.00965885
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',MZF1,down,-1.2,2.5808e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ZNF45,down,-1.2,0.0071949
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',CA2,up,1.5,0.00796063
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',CA2,down,-1.1,0.00712122
'Alzheimers disease' vs 'normal' in 'hippocampus',CA4,down,-1.3,0.00722888
'Pick disease' vs 'normal',ZNF75A,down,-1.0,0.00216989
'Alzheimers disease' vs 'normal' in 'hippocampus',ZNF75A,down,-1.6,0.000100675
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ZNF84,down,-1.1,0.00194486
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ZNF91,down,-1.4,0.00250644
'Pick disease' vs 'normal',ZNF124,up,1.8,0.000445476
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',RELL1,up,1.6,0.000740416
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',RELL1,up,2.3,1.35193e-06
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',RELL1,up,1.5,0.00144669
'Pick disease' vs 'normal',ZNF136,up,1.2,0.000749328
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',CA11,down,-2.8,7.91333e-06
'progressive supranuclear palsy' vs 'normal',ZNF146,down,-1.2,0.00979606
'Pick disease' vs 'normal',ZNF148,up,1.6,1.42962e-08
'Alzheimers disease' vs 'normal' in 'hippocampus',ZNF148,up,1.1,1.00037e-06
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ZBTB17,down,-1.3,0.000926092
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',VEZF1,up,1.3,8.92071e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',VEZF1,up,1.3,5.73127e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',CACNA1A,up,1.0,0.00186738
'Pick disease' vs 'normal',RNF112,down,-1.4,0.000161367
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',RNF113A,down,-1.0,0.00207005
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',RNF113A,down,-1.2,0.00106033
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ZNF184,down,-1.7,0.000462346
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CACNA1B,down,-1.3,0.000844638
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ZSCAN26,down,-1.0,0.00174958
'Pick disease' vs 'normal',ZNF195,down,-1.4,7.44006e-06
'progressive supranuclear palsy' vs 'normal',ZNF195,down,-1.3,0.00755108
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ZNF195,up,1.0,0.00413593
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ZNF202,down,-1.2,2.54212e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ZNF204P,down,-2.0,0.00030404
'Pick disease' vs 'normal',ZNF204P,down,-2.0,9.44475e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ZNF204P,down,-1.9,0.00106762
'Alzheimers disease' vs 'normal' in 'hippocampus',ZNF204P,down,-1.9,0.00050102
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ZNF213,down,-1.2,0.00206036
'Alzheimers disease' vs 'normal' in 'hippocampus',ZFAND5,down,-1.0,0.00386744
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ZFAND5,down,-1.1,0.000427437
'Pick disease' vs 'normal',ZNF217,up,1.2,0.00914995
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',CACNA1E,down,-1.6,7.3165e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',SLC30A1,down,-1.1,0.000956283
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',PRDM2,down,-1.3,0.0080239
'Alzheimers disease' vs 'normal' in 'hippocampus',PRDM2,down,-1.2,0.000153389
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',PRDM2,down,-1.5,0.000401697
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',PRDM2,down,-2.0,8.73883e-06
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',DDR1,up,2.1,3.27751e-07
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',DDR1,up,1.3,1.58122e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',DNALI1,up,1.1,0.00130183
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',DNALI1,up,1.1,0.000610044
'Pick disease' vs 'normal',LRP8,up,1.1,5.82155e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',TVP23A,down,-1.3,0.000160783
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',CACNA2D1,down,-1.2,0.00696142
'Alzheimers disease' vs 'normal' in 'hippocampus',CSDE1,down,-1.1,8.98803e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CACNB2,down,-1.9,9.61564e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',BTG2,up,1.1,0.000421891
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',CACNB3,down,-1.6,6.72742e-06
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',ALMS1,up,1.1,0.00219117
'Pick disease' vs 'normal',ALMS1,up,1.2,8.69876e-07
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ALMS1,up,1.0,1.30721e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ALMS1,up,1.1,0.000148654
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ALMS1,up,1.5,0.000381546
'Alzheimers disease' vs 'normal' in 'hippocampus',ALMS1,up,1.1,0.00424267
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',RNF103,down,-1.4,0.000433134
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',TUBA1A,down,-1.1,0.00125593
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',CXCR4,up,2.5,0.000500758
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CXCR4,up,2.1,0.000281408
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SCG2,down,-2.1,0.00141687
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',SCG2,down,-2.2,0.000489485
'Alzheimers disease' vs 'normal' in 'hippocampus',SCG2,down,-1.1,0.00237519
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',SLMAP,down,-1.1,0.00477612
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',RAB7A,down,-1.4,0.00123482
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',SLBP,down,-1.5,0.00758818
'Alzheimers disease' vs 'normal' in 'hippocampus',PCYOX1L,down,-1.3,4.06379e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',PCYOX1L,down,-1.9,5.79313e-06
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',PCYOX1L,down,-1.6,0.000148146
'Pick disease' vs 'normal',PCYOX1L,down,-1.5,0.000169139
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',PCYOX1L,down,-1.4,0.00319033
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',PCYOX1L,down,-1.1,0.00562298
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',YIPF2,up,1.2,4.25696e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',GDAP1L1,down,-1.3,2.99173e-06
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',TRIR,down,-1.9,2.72221e-06
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',MIS12,down,-1.1,0.00368048
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',CUEDC2,down,-2.2,8.73476e-06
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',CUEDC2,down,-1.0,0.00583471
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',METRN,up,1.2,0.000154129
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',DBNDD1,down,-1.6,6.07048e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',DDX50,down,-1.0,0.00258595
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',DDX50,down,-1.2,0.00266599
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',CAMKV,down,-1.0,0.000762628
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CAMKV,down,-1.5,1.78851e-05
'Pick disease' vs 'normal',DDA1,down,-1.0,0.00211069
'Pick disease' vs 'normal',GGCT,down,-1.2,2.64148e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',GGCT,down,-1.2,0.000266031
'Alzheimers disease' vs 'normal' in 'hippocampus',AHNAK,up,1.0,0.000560009
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AHNAK,up,2.0,3.50965e-05
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',AHNAK,up,1.7,0.000385836
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',AHNAK,up,1.6,2.92884e-06
'Pick disease' vs 'normal',ZNF655,down,-1.1,0.000116667
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ERI3,down,-1.7,3.52241e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',DDX54,down,-1.1,0.00571956
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',TMEM38A,down,-1.3,3.30045e-05
'Pick disease' vs 'normal',SECISBP2,up,1.1,2.64137e-05
'Pick disease' vs 'normal',REEP5,down,-1.3,0.000797338
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',REEP5,down,-1.6,2.27247e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',REEP5,down,-1.3,0.000167155
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',NOC4L,down,-2.1,6.59269e-06
'Pick disease' vs 'normal',PRRG3,down,-1.7,0.0010034
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',FTO,down,-1.2,0.000173685
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ELOVL6,down,-1.3,0.000138902
'Alzheimers disease' vs 'normal' in 'hippocampus',ELOVL6,down,-1.0,0.00272116
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ELOVL6,down,-1.4,0.000116494
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',FASTKD3,down,-1.4,0.00640811
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',CCDC86,down,-1.3,0.00021026
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',SLC25A23,up,1.3,0.00105377
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',SLC25A23,down,-1.3,0.00110367
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',METTL22,down,-1.4,3.40123e-06
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',BBLN,down,-1.8,0.000160783
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',C9orf16,down,-1.8,0.000160783
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',UQCC3,down,-1.4,0.000253731
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',C11orf49,down,-1.3,3.32563e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',CSTPP1,down,-1.3,3.32563e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',TAF1D,up,2.5,2.17259e-06
'progressive supranuclear palsy' vs 'normal',TAF1D,down,-1.0,0.00743506
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',TAF1D,up,1.9,0.00821931
'Pick disease' vs 'normal',TAF1D,down,-1.2,1.25004e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',TAF1D,up,1.4,0.000890637
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',RNF26,down,-1.0,0.000363718
'Pick disease' vs 'normal',NDUFAF5,down,-1.1,0.000439952
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',NDUFAF5,down,-1.4,1.56314e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',NDUFAF5,down,-1.0,0.0080465
'Alzheimers disease' vs 'normal' in 'hippocampus',NDUFAF5,down,-1.1,0.000289592
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',APOO,down,-1.4,0.003625
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',APOO,down,-2.4,7.49282e-06
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',APOO,down,-1.6,0.000282374
'Pick disease' vs 'normal',APOO,down,-1.2,0.000337064
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',FAM134A,down,-1.8,0.00021538
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',RETREG2,down,-1.8,0.00021538
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',DERL1,down,-1.0,0.00594681
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',MBOAT7,down,-1.2,2.20271e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',PPDPF,down,-2.5,2.93586e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',CHCHD7,down,-1.3,0.000704861
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ALDH5A1,down,-1.9,0.00021038
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',GNPTAB,down,-1.5,0.00188752
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',GNPTAB,up,1.2,0.000120607
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',BAG6,down,-1.6,5.10167e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',RBM42,down,-1.1,0.000115975
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',FBXL15,down,-1.9,1.64052e-05
'Pick disease' vs 'normal',EFHD2,down,-1.4,0.00406301
'Alzheimers disease' vs 'normal' in 'hippocampus',TTPAL,down,-1.3,0.000854073
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',FSD1,down,-2.5,1.09252e-05
'Pick disease' vs 'normal',FSD1,down,-1.5,0.000740963
'Alzheimers disease' vs 'normal' in 'hippocampus',DDX39B,up,1.1,7.71813e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',DDX39B,up,1.2,9.9547e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',DDX39B,up,1.5,0.000334501
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',IRX1,down,-1.0,5.11486e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',CALB1,down,-1.9,0.00944663
'Alzheimers disease' vs 'normal' in 'hippocampus',CALB1,down,-1.9,0.000851761
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',CALB1,down,-1.7,0.00228377
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CALB1,down,-2.0,0.000187358
'Pick disease' vs 'normal',CALB1,down,-1.3,0.00689382
'Alzheimers disease' vs 'normal' in 'hippocampus',NELFE,down,-1.0,0.00350735
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',NELFE,down,-1.3,0.00155594
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',NELFE,down,-1.1,0.000657253
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',CALB2,down,-1.0,0.00437529
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',KREMEN2,down,-1.0,6.27486e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',LRFN3,down,-2.0,1.16246e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',C17orf62,up,1.1,2.33672e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CYBC1,up,1.1,2.33672e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',FYCO1,up,1.3,0.00184673
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',FYCO1,up,1.3,0.000512434
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',PAGR1,up,1.3,0.000152405
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CDC73,up,1.1,0.00230232
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',CARS2,down,-1.2,2.03825e-05
'Pick disease' vs 'normal',RNF128,down,-1.0,0.000794152
'Alzheimers disease' vs 'normal' in 'hippocampus',MRPL24,down,-1.2,0.000585508
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',SAP130,down,-1.2,0.00069949
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',OBI1,down,-1.7,0.00150446
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',RNF219,down,-1.7,0.00150446
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',CEP97,up,1.4,0.0011093
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CEP97,up,1.8,0.000232075
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ADIPOR2,up,1.6,0.000186484
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',PGBD5,down,-1.3,0.000289973
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',PGBD5,down,-1.1,0.00440949
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',FAM118B,down,-1.1,0.00159488
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',FAM118B,down,-1.1,0.0020737
'Pick disease' vs 'normal',RIC3,down,-1.4,1.04235e-06
'Pick disease' vs 'normal',VCPKMT,down,-1.8,0.000304679
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',ACSS3,up,1.5,0.00254992
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ACSS3,up,2.3,3.15633e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',NAA16,up,1.0,0.00028842
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',NAA16,up,1.6,5.07644e-05
'Pick disease' vs 'normal',NAA16,down,-1.4,3.39973e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HMBOX1,up,1.1,0.0020393
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',RNASEH2B,down,-1.2,0.00835996
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',SNRNP25,down,-1.7,0.00117435
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',SNRNP25,down,-1.4,0.00946769
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SNRNP25,down,-1.2,0.000561283
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',OGFRL1,up,1.5,7.81502e-06
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',EFL1,down,-1.0,0.000253991
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',EFTUD1,down,-1.0,0.000253991
'progressive supranuclear palsy' vs 'normal',FAM184A,down,-1.0,0.009918
'Pick disease' vs 'normal',SCRN3,down,-1.1,0.000319755
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',SCRN3,down,-1.5,0.00120102
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',TMEM53,down,-1.1,0.000392556
'Pick disease' vs 'normal',ROGDI,down,-1.2,0.000376447
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ROGDI,down,-1.9,1.95497e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CHMP6,down,-1.0,0.000352983
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',HECTD3,down,-1.1,0.00124293
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',BEND5,down,-1.1,0.000918717
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',BEND5,down,-1.4,4.79513e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',RPAP3,down,-1.0,0.0079308
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',DYNC2H1,down,-1.2,0.000507324
'Alzheimers disease' vs 'normal' in 'hippocampus',DYNC2H1,down,-1.1,0.000512467
'Pick disease' vs 'normal',KLF3-AS1,up,1.4,2.51847e-06
'Alzheimers disease' vs 'normal' in 'hippocampus',KLF3-AS1,up,1.2,0.006616
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',PARP8,down,-1.8,0.00072401
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',PARP8,down,-1.3,0.00317916
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',FN3KRP,down,-1.1,0.000408253
'progressive supranuclear palsy' vs 'normal',SMC6,down,-1.4,0.00755108
'Pick disease' vs 'normal',SMC6,down,-1.2,0.000116691
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',SAP30L,down,-1.2,0.00147959
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ZMAT4,down,-1.8,8.79151e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ZMAT4,down,-2.2,1.93732e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ZYG11B,down,-1.0,0.00752719
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',OGFOD3,down,-1.0,0.00200083
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',C11orf80,down,-1.3,0.00207591
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',TOP6BL,down,-1.3,0.00207591
'Pick disease' vs 'normal',PRKRIP1,down,-1.0,4.98148e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',GTDC1,down,-1.1,0.000114459
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',VPS37B,down,-1.3,1.11989e-05
'Pick disease' vs 'normal',THAP9,down,-1.2,0.0012456
'Pick disease' vs 'normal',WDR59,down,-1.1,9.67412e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',TTLL7,down,-1.1,0.00103839
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',TTLL7,down,-1.7,0.000304608
'Pick disease' vs 'normal',TTLL7,down,-2.6,0.00231869
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ZBBX,down,-1.3,0.00128811
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ZBBX,down,-1.5,9.17088e-07
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',CLIP4,down,-1.1,0.000428917
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',MAFK,up,1.3,7.94607e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',MAFK,up,1.1,0.00563498
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ZNF385D,down,-1.1,0.0010595
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ZNF385D,down,-1.2,0.000168566
'Pick disease' vs 'normal',SLC25A22,down,-1.3,0.000622353
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',SLC25A22,down,-1.1,2.05578e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',C1orf115,down,-1.3,0.000384333
'Alzheimers disease' vs 'normal' in 'hippocampus',C1orf115,down,-1.2,0.00231502
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',TXNDC15,down,-1.3,0.000491651
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',MICALL2,up,1.3,4.78566e-05
'Pick disease' vs 'normal',MICALL2,down,-1.0,0.0062308
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',MICALL2,up,1.4,6.22643e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',IQCA1,up,2.5,1.52145e-08
'Alzheimers disease' vs 'normal' in 'hippocampus',IQCA1,up,2.2,0.000139173
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',IQCA1,up,2.5,0.000166684
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',KLHL36,up,1.1,6.00321e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',CLMN,up,2.0,1.87321e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CLMN,up,1.4,0.000332405
'Alzheimers disease' vs 'normal' in 'hippocampus',SEM1,down,-1.1,0.000527735
'Alzheimers disease' vs 'normal' in 'hippocampus',SHFM1,down,-1.1,0.000527735
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',SEM1,down,-1.0,0.000891547
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',SHFM1,down,-1.0,0.000891547
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',FBXO31,down,-1.0,0.00877189
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SLTM,up,1.0,0.00459427
'progressive supranuclear palsy' vs 'normal',SLTM,down,-1.3,0.00923525
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',EHMT1,up,1.9,5.13086e-07
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',EHMT1,up,1.4,3.12053e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',EHMT1,up,1.1,0.00316784
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',NIPAL2,down,-1.3,0.00238976
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',NIPAL2,down,-1.3,0.000794061
'Pick disease' vs 'normal',NIPAL2,down,-2.0,3.4274e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ST7,down,-1.3,0.00871363
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',QSER1,up,1.0,0.00228425
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',MFSD13A,down,-1.2,0.000440074
'Alzheimers disease' vs 'normal' in 'hippocampus',CSPP1,up,1.4,0.000159072
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',CSPP1,up,1.2,9.34813e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CSPP1,up,1.4,9.73011e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SNX22,up,1.0,2.7728e-05
'Pick disease' vs 'normal',ALG13,down,-1.5,4.99823e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',BAALC,down,-1.0,2.9136e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',CBLL1,down,-1.0,0.00853442
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',NUDT18,down,-1.0,0.000124537
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',THSD4,up,1.0,0.000179105
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',UBA5,down,-1.0,0.00990629
'Pick disease' vs 'normal',UBA5,down,-1.3,3.80054e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',DCAKD,down,-1.3,0.000255562
'Alzheimers disease' vs 'normal' in 'hippocampus',DCAKD,down,-1.4,1.36645e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ZC3H14,up,1.3,0.000459313
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',PODNL1,up,1.2,4.55318e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',MAP9,up,1.3,0.0018739
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',GGNBP2,down,-1.0,0.00204474
'Alzheimers disease' vs 'normal' in 'hippocampus',GGNBP2,down,-1.4,6.80081e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',GGNBP2,down,-1.6,9.30303e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',THNSL1,down,-1.2,0.00150352
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',CYBRD1,up,1.3,0.00405455
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CYBRD1,up,1.6,0.000382078
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',CYBRD1,up,1.5,0.00179274
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',NUP85,down,-1.3,0.000787006
'Alzheimers disease' vs 'normal' in 'hippocampus',NUP85,down,-1.0,0.00417442
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',NUP85,down,-1.2,0.000276443
