assayName,sym,dir,log2fc,adjp
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AC104695.3,up,1.3,0.000155473
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AC104695.4,up,1.3,0.000155473
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',RP11-373D23.2,up,1.3,0.000155473
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AC007938.3,down,-1.2,0.0028428
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',RP11-2E11.9,down,-1.2,0.0028428
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',AC007938.3,down,-1.2,0.00319141
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',RP11-2E11.9,down,-1.2,0.00319141
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ARMCX5-GPRASP2,down,-1.3,0.00260388
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',RP4-769N13.6,down,-1.3,0.00260388
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ARMCX5-GPRASP2,down,-1.2,0.00246226
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',RP4-769N13.6,down,-1.2,0.00246226
'progressive supranuclear palsy' vs 'normal',AC016831.5,up,1.8,0.00836097
'progressive supranuclear palsy' vs 'normal',RP11-138A9.1,up,1.8,0.00836097
'Pick disease' vs 'normal',AC016831.5,up,1.6,0.000371668
'Pick disease' vs 'normal',RP11-138A9.1,up,1.6,0.000371668
'Pick disease' vs 'normal',RP1-142L7.8,up,1.3,0.000145954
'Pick disease' vs 'normal',Z99289.3,up,1.3,0.000145954
'Pick disease' vs 'normal',AC024060.1,down,-1.3,0.000982616
'Pick disease' vs 'normal',RP11-97C16.1,down,-1.3,0.000982616
'Pick disease' vs 'normal',AL691432.2,down,-1.2,1.25004e-05
'Pick disease' vs 'normal',RP11-345P4.9,down,-1.2,1.25004e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',AL691432.2,down,-1.5,2.82279e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',RP11-345P4.9,down,-1.5,2.82279e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',AL136304.1,up,1.0,0.000157695
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',RP1-20C7.6,up,1.0,0.000157695
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',AC093297.2,down,-1.2,0.00935691
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',AC093297.3,down,-1.2,0.00935691
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',RP11-53O19.3,down,-1.2,0.00935691
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AC067838.1,up,1.0,0.00418281
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',RP11-722E23.2,up,1.0,0.00418281
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',AC107952.2,down,-1.1,0.00329881
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',RP11-140I16.3,down,-1.1,0.00329881
'Pick disease' vs 'normal',AC144521.1,up,1.2,0.00133767
'Pick disease' vs 'normal',RP11-158G18.1,up,1.2,0.00133767
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',AC245297.2,up,1.4,0.000924768
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',RP11-326G21.1,up,1.4,0.000924768
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',AC245297.2,up,1.6,0.000404467
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',RP11-326G21.1,up,1.6,0.000404467
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AC245297.2,up,3.1,2.85709e-07
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',RP11-326G21.1,up,3.1,2.85709e-07
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',AC005229.4,down,-1.2,0.0022642
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',RP5-1136G13.2,down,-1.2,0.0022642
'Pick disease' vs 'normal',AL355488.1,down,-1.2,0.000229939
'Pick disease' vs 'normal',AL355488.2,down,-1.2,0.000229939
'Pick disease' vs 'normal',RP5-1074L1.4,down,-1.2,0.000229939
'Pick disease' vs 'normal',AL031666.3,up,1.2,8.83387e-05
