go,goLabel,ns,k,K,expected,fold,p,fdr,n,N
http://purl.obolibrary.org/obo/GO_0061629,RNA polymerase II-specific DNA-binding transcription factor binding,Molecular Function,5,98,2.234258142340169,2.237879278695605,0.07281565514274227,0.10413421649445936,189,8290
http://purl.obolibrary.org/obo/GO_0010977,negative regulation of neuron projection development,Biological Process,3,43,0.9803377563329312,3.060169804355851,0.07409784276570801,0.10568378646476316,189,8290
http://purl.obolibrary.org/obo/GO_0046983,protein dimerization activity,Molecular Function,4,70,1.5958986731001206,2.506424792139078,0.07519246017809439,0.10695825886295779,189,8290
http://purl.obolibrary.org/obo/GO_0006979,response to oxidative stress,Biological Process,5,100,2.2798552472858864,2.1931216931216935,0.0779164826392261,0.10995239302813802,189,8290
http://purl.obolibrary.org/obo/GO_0019901,protein kinase binding,Molecular Function,10,263,5.996019300361882,1.6677731506628846,0.07796170851276452,0.10995239302813802,189,8290
http://purl.obolibrary.org/obo/GO_0012507,ER to Golgi transport vesicle membrane,Cellular Component,3,44,1.00313630880579,2.9906204906204907,0.07824209025601174,0.10995239302813802,189,8290
http://purl.obolibrary.org/obo/GO_0016328,lateral plasma membrane,Cellular Component,3,44,1.00313630880579,2.9906204906204907,0.07824209025601174,0.10995239302813802,189,8290
http://purl.obolibrary.org/obo/GO_0007507,heart development,Biological Process,4,71,1.6186972255729795,2.471123034503316,0.07833074616102313,0.10995239302813802,189,8290
http://purl.obolibrary.org/obo/GO_0031965,nuclear membrane,Cellular Component,6,131,2.9866103739445116,2.0089664364473525,0.07864644189875332,0.11010501865825466,189,8290
http://purl.obolibrary.org/obo/GO_0005758,mitochondrial intermembrane space,Cellular Component,3,45,1.025934861278649,2.924162257495591,0.08248575220455044,0.11517695583417542,189,8290
http://purl.obolibrary.org/obo/GO_0005262,calcium channel activity,Molecular Function,4,73,1.6642943305186972,2.4034210335580197,0.08480073566350291,0.11809945385597788,189,8290
http://purl.obolibrary.org/obo/GO_0042110,T cell activation,Biological Process,3,46,1.0487334137515079,2.8605935127674256,0.08682660775886046,0.12060510529429182,189,8290
http://purl.obolibrary.org/obo/GO_0008234,cysteine-type peptidase activity,Molecular Function,4,74,1.6870928829915561,2.370942370942371,0.08813104878634971,0.122098223839422,189,8290
http://purl.obolibrary.org/obo/GO_0019903,protein phosphatase binding,Molecular Function,4,75,1.709891435464415,2.3393298059964724,0.0915239220309794,0.126469419533717,189,8290
http://purl.obolibrary.org/obo/GO_0042752,regulation of circadian rhythm,Biological Process,3,48,1.0943305186972256,2.7414021164021163,0.09579076869693844,0.1316813667875226,189,8290
http://purl.obolibrary.org/obo/GO_0031647,regulation of protein stability,Biological Process,3,48,1.0943305186972256,2.7414021164021163,0.09579076869693844,0.1316813667875226,189,8290
http://purl.obolibrary.org/obo/GO_0050821,protein stabilization,Biological Process,6,139,3.1689987937273822,1.8933424688820373,0.09778546939330095,0.13407698380730954,189,8290
http://purl.obolibrary.org/obo/GO_0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",Molecular Function,4,77,1.7554885404101326,2.2785679928537075,0.09849419416831279,0.1347015714589779,189,8290
