disease,study,title,tech,pmid
http://purl.obolibrary.org/obo/MONDO_0005108,http://purl.org/okn/wobd/study/E-CURD-149,Diagnosis of multisystem inflammatory syndrome in children (MIS-C) by a whole-blood transcriptional signature - differential analysis,,37255317.0
http://purl.obolibrary.org/obo/MONDO_0005113,http://purl.org/okn/wobd/study/E-CURD-149,Diagnosis of multisystem inflammatory syndrome in children (MIS-C) by a whole-blood transcriptional signature - differential analysis,,37255317.0
http://purl.obolibrary.org/obo/MONDO_0005147,http://purl.org/okn/wobd/study/E-GEOD-29908,Expression data from peripheral blood mononuclear cell in patients with type 1 diabetes before and after peripheral stem cell transplantation,,22384093.0
http://purl.obolibrary.org/obo/MONDO_0005147,http://purl.org/okn/wobd/study/E-GEOD-55098,Expression data from peripheral blood mononuclear cell in patients with type 1 diabetes  compared with normal controls,,
http://purl.obolibrary.org/obo/MONDO_0005147,http://purl.org/okn/wobd/study/E-MTAB-5563,The role of insulin resistance in experimental diabetic retinopathy - genetic and molecular aspects,,28575111.0
http://purl.obolibrary.org/obo/MONDO_0005148,http://purl.org/okn/wobd/study/E-GEOD-15653,Microarray analysis of surgical liver biopsies from 13 obese (nine with type 2 diabetes) and five control subjects,,19549744.0
http://purl.obolibrary.org/obo/MONDO_0005148,http://purl.org/okn/wobd/study/E-GEOD-19420,Transcription profiling of skeletal muscle in TypeII diabetes patients to investigate mitochondrial dysfunction .,,22802091.0
http://purl.obolibrary.org/obo/MONDO_0005148,http://purl.org/okn/wobd/study/E-GEOD-23343,Expression data from human liver with or without type 2 diabetes,,
http://purl.obolibrary.org/obo/MONDO_0005148,http://purl.org/okn/wobd/study/E-GEOD-57817,Towards epigenetic understanding and therapy of insulin resistance by intranuclear insulin [mouse liver gene expression],,
http://purl.obolibrary.org/obo/MONDO_0005148,http://purl.org/okn/wobd/study/E-MEXP-1878,Transcription profiling of islet of Langerhans from diabetic and non-diabetic patients,,
http://purl.obolibrary.org/obo/MONDO_0005148,http://purl.org/okn/wobd/study/E-MEXP-2559,Gene expression profiling in diabetic skeletal muscle,,19668377.0
http://purl.obolibrary.org/obo/MONDO_0005148,http://purl.org/okn/wobd/study/E-MTAB-5060,Whole-islet RNA-sequencing analysis of human pancreas from healthy individuals and type 2 diabetes patients,,
http://purl.obolibrary.org/obo/MONDO_0005148,http://purl.org/okn/wobd/study/E-MTAB-5563,The role of insulin resistance in experimental diabetic retinopathy - genetic and molecular aspects,,28575111.0
http://purl.obolibrary.org/obo/MONDO_0005148,http://purl.org/okn/wobd/study/E-MTAB-8549,Effects of diets high in animal or plant protein on oxidative stress in individuals with type 2 diabetes: a randomized clinical trial,,
http://purl.obolibrary.org/obo/MONDO_0005178,http://purl.org/okn/wobd/study/E-GEOD-1919,"Transcription profiling of human synovial samples from patients with osteoarthritis, rheumatoid arthritis vs controls treated with various drug regimes to characterise RA at the molecular level and to uncover key pathomechanisms",,20858714.0
http://purl.obolibrary.org/obo/MONDO_0005178,http://purl.org/okn/wobd/study/E-GEOD-55235,Identification of rheumatoid arthritis and osteoarthritis patients by transcriptome-based rule set generation,,24690414.0
http://purl.obolibrary.org/obo/MONDO_0005178,http://purl.org/okn/wobd/study/E-GEOD-8077,Transcription profiling of rat experimental model of knee osteoarthritis,,17530714.0
http://purl.obolibrary.org/obo/MONDO_0005178,http://purl.org/okn/wobd/study/E-MTAB-5564,"Osteoarthritic Bone Marrow Lesions exhibit cystic, vascular, osteogenic and chondrogenic changes with upregulated neuronal, inflammatory and matrix gene expression signatures",,
http://purl.obolibrary.org/obo/MONDO_0005180,http://purl.org/okn/wobd/study/E-GEOD-20168,Transcriptional analysis of prefrontal area 9 in Parkinson's disease,,15965975.0
http://purl.obolibrary.org/obo/MONDO_0005180,http://purl.org/okn/wobd/study/E-GEOD-20292,Transcriptional analysis of whole substantia nigra in Parkinson's disease,,15965975.0
http://purl.obolibrary.org/obo/MONDO_0005180,http://purl.org/okn/wobd/study/E-GEOD-20333,Gene expression profiling of parkinsonian substantia nigra,,
