traitLabel,entrez,sym,weight,scoreType,method
amyloid-beta measurement,4907,NT5E,1.87,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,5161,PDHA2,1.62,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,627,BDNF,3.74,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,51119,SBDS,2.55,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,65012,SLC26A10,1.11,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,6457,SH3GL3,1.42,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,64641,EBF2,2.65,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,55763,EXOC1,1.05,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,55130,ARMC4,1.58,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,51667,NUB1,1.59,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,4651,MYO10,1.41,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,5550,PREP,2.14,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,56897,WRNIP1,1.05,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,63948,DMRTB1,3.56,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,55704,CCDC88A,1.15,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,59,ACTA2,1.1,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,57763,ANKRA2,1.06,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,60680,CELF5,1.39,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,491,ATP2B2,2.32,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,64407,RGS18,1.06,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,4842,NOS1,1.15,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,51451,LCMT1,1.1,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,5099,PCDH7,2.84,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,5529,PPP2R5E,1.98,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,55959,SULF2,3.04,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,58516,FAM60A,1.16,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,57486,NLN,1.73,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,57520,HECW2,2.39,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,56967,C14orf132,1.01,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,64094,SMOC2,1.03,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,57181,SLC39A10,1.61,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,51141,INSIG2,1.95,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,56926,NCLN,1.18,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,55635,DEPDC1,1.5,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,56853,CELF4,1.57,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,5789,PTPRD,1.71,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,56246,MRAP,1.04,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,5272,SERPINB9,1.41,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,6119,RPA3,2.51,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,50863,NTM,1.69,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,57818,G6PC2,1.65,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,56953,NT5M,1.24,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,57560,IFT80,1.3,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,5587,PRKD1,1.88,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,6444,SGCD,2.34,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,639,PRDM1,1.09,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,54492,NEURL1B,2.35,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,55253,TYW1,2.83,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,57623,ZFAT,2.15,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,57405,SPC25,1.75,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,57829,ZP4,1.21,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,55168,MRPS18A,1.02,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,54557,SGTB,1.63,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,5325,PLAGL1,1.72,PIGEANCombinedScore,PIGEAN
