go,K
http://purl.obolibrary.org/obo/GO_0002000,1
http://purl.obolibrary.org/obo/GO_0002001,2
http://purl.obolibrary.org/obo/GO_0002003,12
http://purl.obolibrary.org/obo/GO_0002009,7
http://purl.obolibrary.org/obo/GO_0002011,2
http://purl.obolibrary.org/obo/GO_0002016,1
http://purl.obolibrary.org/obo/GO_0002017,2
http://purl.obolibrary.org/obo/GO_0002018,2
http://purl.obolibrary.org/obo/GO_0002019,2
http://purl.obolibrary.org/obo/GO_0002020,83
http://purl.obolibrary.org/obo/GO_0002021,5
http://purl.obolibrary.org/obo/GO_0002023,2
http://purl.obolibrary.org/obo/GO_0002024,3
http://purl.obolibrary.org/obo/GO_0002026,8
http://purl.obolibrary.org/obo/GO_0002027,23
http://purl.obolibrary.org/obo/GO_0002028,9
http://purl.obolibrary.org/obo/GO_0002029,6
http://purl.obolibrary.org/obo/GO_0002031,6
http://purl.obolibrary.org/obo/GO_0002033,3
http://purl.obolibrary.org/obo/GO_0002034,3
http://purl.obolibrary.org/obo/GO_0002037,2
http://purl.obolibrary.org/obo/GO_0002039,47
http://purl.obolibrary.org/obo/GO_0002040,18
http://purl.obolibrary.org/obo/GO_0002042,21
http://purl.obolibrary.org/obo/GO_0002043,3
http://purl.obolibrary.org/obo/GO_0002052,10
http://purl.obolibrary.org/obo/GO_0002053,7
http://purl.obolibrary.org/obo/GO_0002055,1
http://purl.obolibrary.org/obo/GO_0002060,2
http://purl.obolibrary.org/obo/GO_0002062,24
http://purl.obolibrary.org/obo/GO_0002063,6
http://purl.obolibrary.org/obo/GO_0002066,1
http://purl.obolibrary.org/obo/GO_0002076,4
http://purl.obolibrary.org/obo/GO_0002077,1
http://purl.obolibrary.org/obo/GO_0002079,2
http://purl.obolibrary.org/obo/GO_0002080,10
http://purl.obolibrary.org/obo/GO_0002081,1
http://purl.obolibrary.org/obo/GO_0002082,5
http://purl.obolibrary.org/obo/GO_0002084,3
http://purl.obolibrary.org/obo/GO_0002086,1
http://purl.obolibrary.org/obo/GO_0002087,3
http://purl.obolibrary.org/obo/GO_0002088,3
http://purl.obolibrary.org/obo/GO_0002089,1
http://purl.obolibrary.org/obo/GO_0002090,6
http://purl.obolibrary.org/obo/GO_0002091,7
http://purl.obolibrary.org/obo/GO_0002092,19
http://purl.obolibrary.org/obo/GO_0002098,6
http://purl.obolibrary.org/obo/GO_0002099,1
http://purl.obolibrary.org/obo/GO_0002101,1
http://purl.obolibrary.org/obo/GO_0002102,25
http://purl.obolibrary.org/obo/GO_0002113,1
http://purl.obolibrary.org/obo/GO_0002114,2
http://purl.obolibrary.org/obo/GO_0002115,7
http://purl.obolibrary.org/obo/GO_0002118,1
http://purl.obolibrary.org/obo/GO_0002125,2
http://purl.obolibrary.org/obo/GO_0002130,1
http://purl.obolibrary.org/obo/GO_0002134,2
http://purl.obolibrary.org/obo/GO_0002135,1
http://purl.obolibrary.org/obo/GO_0002138,2
http://purl.obolibrary.org/obo/GO_0002141,1
http://purl.obolibrary.org/obo/GO_0002151,5
http://purl.obolibrary.org/obo/GO_0002153,1
