go,goLabel,ns,k
http://purl.obolibrary.org/obo/GO_0048167,regulation of synaptic plasticity,Biological Process,5
http://purl.obolibrary.org/obo/GO_1904813,ficolin-1-rich granule lumen,Cellular Component,5
http://purl.obolibrary.org/obo/GO_0016192,vesicle-mediated transport,Biological Process,5
http://purl.obolibrary.org/obo/GO_0046330,positive regulation of JNK cascade,Biological Process,5
http://purl.obolibrary.org/obo/GO_0030165,PDZ domain binding,Molecular Function,5
http://purl.obolibrary.org/obo/GO_0030163,protein catabolic process,Biological Process,5
http://purl.obolibrary.org/obo/GO_0030155,regulation of cell adhesion,Biological Process,5
http://purl.obolibrary.org/obo/GO_0097242,amyloid-beta clearance,Biological Process,5
http://purl.obolibrary.org/obo/GO_0043523,regulation of neuron apoptotic process,Biological Process,5
http://purl.obolibrary.org/obo/GO_0050750,low-density lipoprotein particle receptor binding,Molecular Function,5
http://purl.obolibrary.org/obo/GO_0050852,T cell receptor signaling pathway,Biological Process,5
http://purl.obolibrary.org/obo/GO_0000776,kinetochore,Cellular Component,5
http://purl.obolibrary.org/obo/GO_0010875,positive regulation of cholesterol efflux,Biological Process,5
http://purl.obolibrary.org/obo/GO_0043197,dendritic spine,Cellular Component,5
