gene,n_sources,sources,evidence_types,n_evidence_types,curated,genetic,differential,secondary_support,n_secondary,pigean_score,n_uniprot_variants,de_regions,de_direction,de_conflict,druggable,drugs,biotype,score,tier
RBP4,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.51,0,3,down,0,0,,protein-coding,15.13,B
HPRT1,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.42,0,3,down,0,0,,protein-coding,15.06,B
ABCA2,2,digcfdekg;prokn,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,4.37,1,1,up,0,0,,protein-coding,15.03,B
IGF1,2,digcfdekg;rdkg,curated knowledge;genetic association,2,1,1,0,family-history proxy;CSF/imaging endophenotype,2,4.04,0,0,,0,0,,protein-coding,15.03,B
ADARB1,2,biomarkerkg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,,0,4,down,0,0,,protein-coding,15.0,B
AHNAK,2,biomarkerkg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,,0,4,up,0,0,,protein-coding,15.0,B
AHNAK2,2,biomarkerkg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,,0,4,down,0,0,,protein-coding,15.0,B
CDK13,2,biomarkerkg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,,0,4,up,0,0,,protein-coding,15.0,B
EIF2B3,2,biomarkerkg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,,0,4,down,0,0,,protein-coding,15.0,B
LCMT1,2,biomarkerkg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,CSF/imaging endophenotype;DE >=2 regions,2,,0,3,down,0,0,,protein-coding,15.0,B
MEGF10,2,biomarkerkg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,CSF/imaging endophenotype;DE >=2 regions,2,,0,3,up,0,0,,protein-coding,15.0,B
MTHFR,2,gene-expression-atlas-okn;rdkg,curated knowledge;differential molecular activity,2,1,0,1,DE >=2 regions,1,,0,4,up,0,0,,protein-coding,15.0,B
NEFL,2,gene-expression-atlas-okn;spoke-okn,curated knowledge;differential molecular activity,2,1,0,1,DE >=2 regions,1,,0,4,down,0,0,,protein-coding,15.0,B
OPTN,2,biomarkerkg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,,0,4,down,0,0,,protein-coding,15.0,B
OSMR,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.34,0,3,up,0,0,,protein-coding,15.0,B
PTPRO,2,biomarkerkg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,,0,4,down,0,0,,protein-coding,15.0,B
SLC35E1,2,biomarkerkg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,,0,4,up,0,0,,protein-coding,15.0,B
SMYD3,2,biomarkerkg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,,0,4,down,0,0,,protein-coding,15.0,B
SYMPK,2,biomarkerkg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,,0,4,up,0,0,,protein-coding,15.0,B
TRMT10C,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.3,0,3,down,0,0,,protein-coding,14.98,B
BCL6,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.24,0,3,up,0,0,,protein-coding,14.93,B
DTNA,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.23,0,3,up,0,0,,protein-coding,14.92,B
TMED10,2,digcfdekg;prokn,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,4.19,1,1,down,0,0,,protein-coding,14.89,B
FAF1,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.18,0,3,down,0,0,,protein-coding,14.88,B
SLC25A11,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.17,0,3,down,0,0,,protein-coding,14.88,B
SLC14A1,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.11,0,3,up,0,0,,protein-coding,14.83,B
C1QTNF4,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.08,0,3,down,0,0,,protein-coding,14.81,B
ZNF423,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.04,0,3,up,0,0,,protein-coding,14.78,B
CHST11,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.01,0,3,up,0,0,,protein-coding,14.76,B
NSF,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.02,0,3,down,0,0,,protein-coding,14.76,B
UFC1,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.02,0,3,down,0,0,,protein-coding,14.76,B
PON2,2,gene-expression-atlas-okn;prokn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,,1,3,up,0,0,,protein-coding,14.75,B
ANKH,2,digcfdekg;spoke-okn,curated knowledge;genetic association,2,1,1,0,DE >=2 regions,1,2.29,0,2,down,0,0,,protein-coding,14.72,B
ZNF652,2,biomarkerkg;digcfdekg,genetic association,1,0,1,0,family-history proxy;DE >=2 regions,2,3.5,0,2,up,0,0,,protein-coding,14.62,B
ADGRA3,2,biomarkerkg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,14.0,B
AFF1,2,biomarkerkg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,14.0,B
ANTXR1,2,biomarkerkg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,,0,3,up,0,0,,protein-coding,14.0,B
ATP5F1A,2,gene-expression-atlas-okn;rdkg,curated knowledge;differential molecular activity,2,1,0,1,DE >=2 regions,1,,0,3,down,0,0,,protein-coding,14.0,B
