sym,pw,pwLabel
ARHGAP45,https://identifiers.org/reactome/R-HSA-8980692,RHOA GTPase cycle
ARHGAP45,https://identifiers.org/reactome/R-HSA-9013148,CDC42 GTPase cycle
ARHGAP45,https://identifiers.org/reactome/R-HSA-9013149,RAC1 GTPase cycle
BACE1,https://identifiers.org/reactome/R-HSA-977225,Amyloid fiber formation
BCKDK,https://identifiers.org/reactome/R-HSA-70895,Branched-chain amino acid catabolism
BCKDK,https://identifiers.org/reactome/R-HSA-9912481,Branched-chain ketoacid dehydrogenase kinase deficiency
BCL2,https://identifiers.org/reactome/R-HSA-111447,Activation of BAD and translocation to mitochondria 
BCL2,https://identifiers.org/reactome/R-HSA-111453,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members
BCL2,https://identifiers.org/reactome/R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
BCL2,https://identifiers.org/reactome/R-HSA-844455,The NLRP1 inflammasome
BCL2,https://identifiers.org/reactome/R-HSA-9018519,Estrogen-dependent gene expression
BCL2,https://identifiers.org/reactome/R-HSA-9634638,Estrogen-dependent nuclear events downstream of ESR-membrane signaling
BCL2,https://identifiers.org/reactome/R-HSA-9818030,NFE2L2 regulating tumorigenic genes
BCL2,https://identifiers.org/reactome/R-HSA-9824594,Regulation of MITF-M-dependent genes involved in apoptosis
BCL6,https://identifiers.org/reactome/R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
BCL6,https://identifiers.org/reactome/R-HSA-6803205,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain
BCL6,https://identifiers.org/reactome/R-HSA-9614657,FOXO-mediated transcription of cell death genes
BDNF,https://identifiers.org/reactome/R-HSA-1257604,PIP3 activates AKT signaling
BDNF,https://identifiers.org/reactome/R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer
BDNF,https://identifiers.org/reactome/R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
BDNF,https://identifiers.org/reactome/R-HSA-9022702,MECP2 regulates transcription of neuronal ligands
BDNF,https://identifiers.org/reactome/R-HSA-9024909,BDNF activates NTRK2 (TRKB) signaling
BDNF,https://identifiers.org/reactome/R-HSA-9026519,Activated NTRK2 signals through RAS
BDNF,https://identifiers.org/reactome/R-HSA-9026527,Activated NTRK2 signals through PLCG1
BDNF,https://identifiers.org/reactome/R-HSA-9028335,Activated NTRK2 signals through PI3K
BDNF,https://identifiers.org/reactome/R-HSA-9028731,Activated NTRK2 signals through FRS2 and FRS3
BDNF,https://identifiers.org/reactome/R-HSA-9032500,Activated NTRK2 signals through FYN
BDNF,https://identifiers.org/reactome/R-HSA-9032759,NTRK2 activates RAC1
BDNF,https://identifiers.org/reactome/R-HSA-9032845,Activated NTRK2 signals through CDK5
BDNF,https://identifiers.org/reactome/R-HSA-9768919,NPAS4 regulates expression of target genes
BIN1,https://identifiers.org/reactome/R-HSA-8856828,Clathrin-mediated endocytosis
BOD1L1,https://identifiers.org/reactome/R-HSA-9772755,Formation of WDR5-containing histone-modifying complexes
CACNA1G,https://identifiers.org/reactome/R-HSA-419037,NCAM1 interactions
CACNA1G,https://identifiers.org/reactome/R-HSA-445355,Smooth Muscle Contraction
CASP3,https://identifiers.org/reactome/R-HSA-111459,Activation of caspases through apoptosome-mediated cleavage
CASP3,https://identifiers.org/reactome/R-HSA-111463,SMAC (DIABLO) binds to IAPs 
CASP3,https://identifiers.org/reactome/R-HSA-111464,SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes 
CASP3,https://identifiers.org/reactome/R-HSA-111465,Apoptotic cleavage of cellular proteins
CASP3,https://identifiers.org/reactome/R-HSA-111469,"SMAC, XIAP-regulated apoptotic response"
CASP3,https://identifiers.org/reactome/R-HSA-140342,Apoptosis induced DNA fragmentation
CASP3,https://identifiers.org/reactome/R-HSA-1474228,Degradation of the extracellular matrix
CASP3,https://identifiers.org/reactome/R-HSA-2028269,Signaling by Hippo
CASP3,https://identifiers.org/reactome/R-HSA-205025,NADE modulates death signalling
CASP3,https://identifiers.org/reactome/R-HSA-211736,Stimulation of the cell death response by PAK-2p34
CASP3,https://identifiers.org/reactome/R-HSA-264870,Caspase-mediated cleavage of cytoskeletal proteins
CASP3,https://identifiers.org/reactome/R-HSA-351906,Apoptotic cleavage of cell adhesion  proteins
CASP3,https://identifiers.org/reactome/R-HSA-418889,Caspase activation via Dependence Receptors in the absence of ligand
CASP3,https://identifiers.org/reactome/R-HSA-449836,Other interleukin signaling
CASP3,https://identifiers.org/reactome/R-HSA-5620971,Pyroptosis
CCKBR,https://identifiers.org/reactome/R-HSA-375276,Peptide ligand-binding receptors
CCKBR,https://identifiers.org/reactome/R-HSA-416476,G alpha (q) signalling events
CCKBR,https://identifiers.org/reactome/R-HSA-881907,Gastrin-CREB signalling pathway via PKC and MAPK
CD2AP,https://identifiers.org/reactome/R-HSA-373753,Nephrin family interactions
CD33,https://identifiers.org/reactome/R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
CD33,https://identifiers.org/reactome/R-HSA-6798695,Neutrophil degranulation
CDK13,https://identifiers.org/reactome/R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes
CDK13,https://identifiers.org/reactome/R-HSA-6798695,Neutrophil degranulation
CENPE,https://identifiers.org/reactome/R-HSA-141444,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal
CENPE,https://identifiers.org/reactome/R-HSA-2132295,MHC class II antigen presentation
CENPE,https://identifiers.org/reactome/R-HSA-2467813,Separation of Sister Chromatids
CENPE,https://identifiers.org/reactome/R-HSA-2500257,Resolution of Sister Chromatid Cohesion
CENPE,https://identifiers.org/reactome/R-HSA-5663220,RHO GTPases Activate Formins
CENPE,https://identifiers.org/reactome/R-HSA-6811434,COPI-dependent Golgi-to-ER retrograde traffic
CENPE,https://identifiers.org/reactome/R-HSA-68877,Mitotic Prometaphase
CENPE,https://identifiers.org/reactome/R-HSA-9648025,EML4 and NUDC in mitotic spindle formation
CENPE,https://identifiers.org/reactome/R-HSA-983189,Kinesins
CHAT,https://identifiers.org/reactome/R-HSA-1483191,Synthesis of PC
CHAT,https://identifiers.org/reactome/R-HSA-264642,Acetylcholine Neurotransmitter Release Cycle
CHRNE,https://identifiers.org/reactome/R-HSA-629587,Highly sodium permeable postsynaptic acetylcholine nicotinic receptors
CHST11,https://identifiers.org/reactome/R-HSA-2022870,CS-GAG biosynthesis
CLU,https://identifiers.org/reactome/R-HSA-114608,Platelet degranulation 
CLU,https://identifiers.org/reactome/R-HSA-166665,Terminal pathway of complement
CLU,https://identifiers.org/reactome/R-HSA-6803157,Antimicrobial peptides
CLU,https://identifiers.org/reactome/R-HSA-977606,Regulation of Complement cascade
CR1,https://identifiers.org/reactome/R-HSA-6798695,Neutrophil degranulation
CR1,https://identifiers.org/reactome/R-HSA-8877330,RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)
CR1,https://identifiers.org/reactome/R-HSA-977606,Regulation of Complement cascade
CRK,https://identifiers.org/reactome/R-HSA-170984,ARMS-mediated activation
CRK,https://identifiers.org/reactome/R-HSA-186763,Downstream signal transduction
CRK,https://identifiers.org/reactome/R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation
CRK,https://identifiers.org/reactome/R-HSA-372708,p130Cas linkage to MAPK signaling for integrins
CRK,https://identifiers.org/reactome/R-HSA-4420097,VEGFA-VEGFR2 Pathway
CRK,https://identifiers.org/reactome/R-HSA-8849471,"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases"
CRK,https://identifiers.org/reactome/R-HSA-8875555,MET activates RAP1 and RAC1
CRK,https://identifiers.org/reactome/R-HSA-8875656,MET receptor recycling
CRK,https://identifiers.org/reactome/R-HSA-912631,Regulation of signaling by CBL
CRK,https://identifiers.org/reactome/R-HSA-9664422,FCGR3A-mediated phagocytosis
CTSB,https://identifiers.org/reactome/R-HSA-1442490,Collagen degradation
CTSB,https://identifiers.org/reactome/R-HSA-1679131,Trafficking and processing of endosomal TLR
CTSB,https://identifiers.org/reactome/R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures
CTSB,https://identifiers.org/reactome/R-HSA-2132295,MHC class II antigen presentation
CTSB,https://identifiers.org/reactome/R-HSA-6798695,Neutrophil degranulation
CTSB,https://identifiers.org/reactome/R-HSA-9766229,Degradation of CDH1
CTSD,https://identifiers.org/reactome/R-HSA-1442490,Collagen degradation
CTSD,https://identifiers.org/reactome/R-HSA-2022377,Metabolism of Angiotensinogen to Angiotensins
CTSD,https://identifiers.org/reactome/R-HSA-2132295,MHC class II antigen presentation
CTSD,https://identifiers.org/reactome/R-HSA-6798695,Neutrophil degranulation
CTSD,https://identifiers.org/reactome/R-HSA-77387,Insulin receptor recycling
CTSD,https://identifiers.org/reactome/R-HSA-9018519,Estrogen-dependent gene expression
CTSH,https://identifiers.org/reactome/R-HSA-2132295,MHC class II antigen presentation
CTSH,https://identifiers.org/reactome/R-HSA-5683826,Surfactant metabolism
CTSH,https://identifiers.org/reactome/R-HSA-6798695,Neutrophil degranulation
CYCS,https://identifiers.org/reactome/R-HSA-111457,Release of apoptotic factors from the mitochondria
CYCS,https://identifiers.org/reactome/R-HSA-111458,Formation of apoptosome
CYCS,https://identifiers.org/reactome/R-HSA-111459,Activation of caspases through apoptosome-mediated cleavage
CYCS,https://identifiers.org/reactome/R-HSA-111463,SMAC (DIABLO) binds to IAPs 
CYCS,https://identifiers.org/reactome/R-HSA-111464,SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes 
CYCS,https://identifiers.org/reactome/R-HSA-2151201,Transcriptional activation of mitochondrial biogenesis
CYCS,https://identifiers.org/reactome/R-HSA-3299685,Detoxification of Reactive Oxygen Species
CYCS,https://identifiers.org/reactome/R-HSA-5620971,Pyroptosis
CYCS,https://identifiers.org/reactome/R-HSA-5628897,TP53 Regulates Metabolic Genes
CYCS,https://identifiers.org/reactome/R-HSA-611105,Respiratory electron transport
CYCS,https://identifiers.org/reactome/R-HSA-9627069,Regulation of the apoptosome activity
