fips,lat,lng
21225,37.56,-87.9
21227,37.06,-86.46
21229,37.68,-85.22
21231,36.84,-84.84
21233,37.6,-87.52
21239,38.05,-84.72
22001,30.22,-92.31
22005,30.22,-90.91
22007,29.92,-90.99
22009,31.05,-92.05
22011,30.37,-93.4
22013,32.32,-93.28
22015,32.57,-93.69
22017,32.49,-93.82
22019,30.16,-93.26
22027,32.79,-93.05
22029,31.56,-91.44
22031,32.08,-93.8
22033,30.47,-91.1
22039,30.69,-92.28
22043,31.58,-92.68
22045,29.97,-91.79
22047,30.28,-91.15
22049,32.27,-92.72
22051,29.88,-90.14
22053,30.22,-92.69
22055,30.23,-92.06
22057,29.67,-90.57
22061,32.53,-92.63
22063,30.52,-90.81
22067,32.77,-91.9
22071,29.97,-90.03
22073,32.49,-92.13
22075,29.59,-89.74
22079,31.2,-92.46
22083,32.45,-91.48
22085,31.6,-93.54
22087,29.94,-89.96
22089,30.02,-90.38
22091,30.82,-90.67
22093,30.01,-90.76
22095,30.07,-90.59
22097,30.48,-91.92
22099,30.19,-91.86
22101,29.73,-91.35
22103,30.38,-89.94
22105,30.53,-90.47
22107,31.8,-91.38
22109,29.6,-90.73
22111,32.89,-92.23
22113,30.02,-92.17
22115,31.13,-93.27
22117,30.81,-90.0
22119,32.61,-93.28
22121,30.4,-91.23
22123,32.86,-91.39
22127,31.92,-92.64
23001,44.16,-70.23
23003,46.47,-68.07
23005,43.76,-70.39
23007,44.5,-70.21
23009,44.46,-68.62
23011,44.35,-69.79
23013,44.1,-69.2
23015,43.93,-69.48
23017,44.25,-70.69
23019,45.04,-68.84
23021,45.25,-68.98
23023,43.89,-69.84
23025,44.77,-69.38
23031,43.41,-70.58
24001,39.56,-78.9
24003,39.12,-76.68
24005,39.36,-76.58
24009,38.54,-76.58
24011,38.76,-75.83
24013,39.51,-77.0
24015,39.6,-75.88
24019,38.57,-75.99
24021,39.35,-77.42
24023,39.62,-79.32
24025,39.5,-76.28
24027,39.17,-76.8
24029,39.21,-76.07
24031,39.11,-77.16
24033,38.87,-76.89
24035,39.12,-76.07
24037,38.38,-76.65
24039,37.98,-75.85
24041,38.77,-76.06
24043,39.59,-77.68
24045,38.37,-75.61
24047,38.06,-75.56
24510,39.3,-76.61
25001,41.67,-70.46
25003,42.44,-73.22
25005,41.81,-71.13
25009,42.67,-70.99
25011,42.56,-72.57
25013,42.12,-72.55
25015,42.29,-72.58
25017,42.47,-71.27
25021,42.16,-71.17
25023,42.0,-70.88
25025,42.33,-71.07
25027,42.27,-71.82
26005,42.52,-85.7
26007,45.07,-83.43
26009,44.98,-85.17
26011,44.01,-83.82
26013,46.77,-88.49
26015,42.68,-85.37
26017,43.63,-83.93
26019,44.63,-86.23
26021,41.97,-86.42
26023,41.92,-85.02
26025,42.23,-85.05
26027,41.9,-85.97
26029,45.31,-85.25
26031,45.47,-84.45
26033,46.37,-84.41
26035,43.82,-84.76
26037,42.88,-84.47
26039,44.65,-84.7
26041,45.79,-87.05
26043,45.81,-88.07
