gene,n_evidence_types,n_sources,evidence_types,sources,pigean_score,de_assays,de_direction,de_contexts,consensus_score,tier
PTPRC,4,4,curated_disease_gene|differential_expression|genetic_association|pathway_go_membership,digcfdekg|gene-expression-atlas-okn|prokn|spoke-okn,6.9,1.0,"{""down"": 1}",'multiple sclerosis' vs 'normal' in 'no physical activity program',12,A
LEF1,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,6.83,,,,12,A
STAT3,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,6.62,,,,12,A
FOXP1,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,6.37,,,,12,A
JAK1,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,6.25,,,,12,A
MAPK1,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,6.24,,,,12,A
RUNX3,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,6.04,,,,12,A
STAT4,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,5.86,,,,12,A
BACH2,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,5.77,,,,12,A
ELMO1,4,4,clinical_biomarker|curated_disease_gene|differential_expression|genetic_association,biomarkerkg|digcfdekg|gene-expression-atlas-okn|spoke-okn,5.47,1.0,"{""up"": 1}",'multiple sclerosis' vs 'normal' in 'no physical activity program',12,A
HLA-DQA1,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,5.0,,,,12,A
CYP24A1,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,4.82,,,,12,A
CD58,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,4.67,,,,12,A
SLC9B1,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,4.41,,,,12,A
TGFBR3,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,4.4,,,,12,A
GRB2,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,4.04,,,,12,A
PHGDH,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,4.03,,,,12,A
AFF1,4,4,clinical_biomarker|curated_disease_gene|differential_expression|genetic_association,biomarkerkg|digcfdekg|gene-expression-atlas-okn|spoke-okn,3.86,1.0,"{""up"": 1}",'multiple sclerosis' vs 'normal' in 'no physical activity program',12,A
TNFRSF1A,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,3.85,,,,12,A
TYK2,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,3.49,,,,12,A
VMP1,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,3.28,,,,12,A
SMARCA4,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,3.15,,,,12,A
ERG,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,2.96,,,,12,A
CD226,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,2.68,,,,12,A
NR1D1,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,2.66,,,,12,A
PHLDB1,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,2.63,,,,12,A
PLXNC1,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,2.57,,,,12,A
PUS10,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,2.46,,,,12,A
CSF2RB,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,2.26,,,,12,A
LPP,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,2.06,,,,12,A
SAE1,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,1.9,,,,12,A
ITGAM,4,4,curated_disease_gene|differential_expression|genetic_association|pathway_go_membership,digcfdekg|gene-expression-atlas-okn|prokn|spoke-okn,1.55,1.0,"{""down"": 1}","'multiple sclerosis; cerebrospinal fluid' vs 'neurological disease, non-inflammatory; cerebrospinal fluid'",12,A
MYBPC3,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,1.54,,,,12,A
CHST12,4,4,clinical_biomarker|curated_disease_gene|genetic_association|pathway_go_membership,biomarkerkg|digcfdekg|prokn|spoke-okn,1.52,,,,12,A
TLR4,4,4,curated_disease_gene|differential_expression|genetic_association|pathway_go_membership,digcfdekg|gene-expression-atlas-okn|prokn|spoke-okn,1.41,1.0,"{""down"": 1}","'multiple sclerosis; cerebrospinal fluid' vs 'neurological disease, non-inflammatory; cerebrospinal fluid'",12,A
