fips,n_chem,n_chem_obs,n_media
21193,142,142,1
21195,144,144,1
21197,143,143,1
21199,148,148,1
21201,140,140,1
21203,142,142,1
21205,147,147,1
21207,145,145,1
21209,143,143,1
21211,141,141,1
21213,146,146,1
21215,141,141,1
21217,145,145,1
21219,148,148,1
21221,142,142,1
21223,140,140,1
21225,145,145,1
21227,150,150,1
21229,141,141,1
21231,147,147,1
21233,142,142,1
21235,144,144,1
21237,142,142,1
21239,141,141,1
22001,144,144,1
22003,146,146,1
22005,153,153,1
22007,144,144,1
22009,144,144,1
22011,149,149,1
22013,145,145,1
22015,145,145,1
22017,152,152,1
22019,161,161,1
22021,142,142,1
22023,143,143,1
22025,142,142,1
22027,143,143,1
22029,143,143,1
22031,148,148,1
22033,165,165,1
22035,140,140,1
22037,145,145,1
22039,143,143,1
22041,142,142,1
22043,145,145,1
22045,144,144,1
22047,157,157,1
22049,147,147,1
22051,156,156,1
22053,144,144,1
22055,144,144,1
22057,146,146,1
22059,143,143,1
22061,144,144,1
22063,147,147,1
22065,140,140,1
22067,144,144,1
22069,149,149,1
22071,142,142,1
22073,154,154,1
22075,148,148,1
22077,144,144,1
22079,148,148,1
22081,145,145,1
22083,142,142,1
22085,147,147,1
22087,148,148,1
22089,158,158,1
22091,142,142,1
22093,147,147,1
22095,158,158,1
22097,146,146,1
22099,145,145,1
22101,148,148,1
22103,142,142,1
22105,144,144,1
22107,143,143,1
22109,148,148,1
22111,142,142,1
22113,146,146,1
22115,144,144,1
22117,150,150,1
22119,145,145,1
22121,148,148,1
22123,142,142,1
22125,144,144,1
22127,146,146,1
23001,147,147,1
23003,146,146,1
23005,147,147,1
23007,146,146,1
23009,145,145,1
23011,146,146,1
23013,142,142,1
23015,141,141,1
23017,147,147,1
23019,149,149,1
23021,144,144,1
23023,142,142,1
23025,146,146,1
23027,144,144,1
23029,148,148,1
23031,149,149,1
24001,142,142,1
24003,146,146,1
24005,149,149,1
24009,142,142,1
24011,142,142,1
24013,146,146,1
24015,143,143,1
24017,147,147,1
24019,146,146,1
24021,144,144,1
24023,146,146,1
24025,147,147,1
24027,143,143,1
24029,143,143,1
24031,144,144,1
24033,144,144,1
24035,139,139,1
24037,142,142,1
24039,144,144,1
24041,143,143,1
24043,148,148,1
24045,141,141,1
24047,141,141,1
24510,145,145,1
25001,144,144,1
25003,147,147,1
25005,144,144,1
25007,142,142,1
25009,148,148,1
25011,142,142,1
25013,148,148,1
25015,143,143,1
25017,151,151,1
25019,139,139,1
25021,143,143,1
25023,143,143,1
25025,142,142,1
25027,148,148,1
26001,149,149,1
26003,146,146,1
26005,152,152,1
26007,150,150,1
26009,141,141,1
26011,141,141,1
26013,148,148,1
26015,143,143,1
26017,143,143,1
26019,144,144,1
26021,146,146,1
26023,150,150,1
26025,149,149,1
26027,151,151,1
26029,144,144,1
26031,143,143,1
26033,143,143,1
26035,144,144,1
26037,143,143,1
26039,150,150,1
26041,146,146,1
26043,148,148,1
26045,144,144,1
26047,139,139,1
26049,150,150,1
26051,143,143,1
26053,142,142,1
26055,143,143,1
26057,142,142,1
26059,144,144,1
26061,141,141,1
26063,142,142,1
26065,145,145,1
26067,140,140,1
26069,144,144,1
26071,142,142,1
26073,150,150,1
26075,146,146,1
26077,147,147,1
26079,143,143,1
26081,152,152,1
26083,138,138,1
26085,142,142,1
26087,144,144,1
26089,140,140,1
26091,146,146,1
