fips,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)",adult obesity,air pollution - particulate matter,children in poverty,children in single-parent households,drinking water violations,drug overdose deaths,firearm fatalities,food insecurity,frequent mental distress,homicides,income inequality,life expectancy,limited access to healthy foods,low birthweight,mental health providers,motor vehicle crash deaths,physical inactivity,poor or fair health,premature death,preventable hospital stays,primary care physicians,residential segregation - black/white,rural,severe housing cost burden,severe housing problems,unemployment,uninsured
24005,0.5175,31.7,8.3,14.2,29.080153928,0.0,0.05084982057500001,0.012930269181,10.3,14.5,0.0088052362724,4.3048874456,77.486107419,4.4240841728,9.0695296524,262.0,0.0083055261904,21.9,12.0,8.370728316000001,3.007,1098.0,59.68657035,6.5338018879,14.35297867,15.306838479,5.6644865484,6.4949807975
24009,0.0086,34.0,7.6,7.4,15.573656685,0.0,0.038544668588,0.0065167382422,7.2,13.9,,3.5002465525,79.448763915,5.2296372326,6.5159365678,465.0,0.011846106605999999,18.6,9.9,6.530916958200001,2.481,2068.0,17.357759969,38.709895534,8.7886798321,9.4136043784,4.5864599992,3.9018980813
24011,0.676,37.9,7.4,20.3,27.685688979,0.0,0.048901219537,0.014436524407,12.2,16.5,,4.1093559322,76.203495586,4.0201799459,7.7614085519,1964.0,0.024636716488,26.4,15.3,9.003177255799999,2.497,3349.0,38.999885939,75.999516119,12.839420491,15.8004158,4.7375967881,9.1610590989
24013,0.0328,29.4,8.5,6.2,14.695578322,1.0,0.041109319166000004,0.0066555344929,8.5,13.7,0.0014445194083999998,3.9371381307,78.480515434,3.0085234316,6.3200205251,404.0,0.011896042187000001,17.8,9.6,6.6040016352999995,2.692,2255.0,36.985506565,39.506025106,8.8206706626,10.47564187,4.1783917455,4.3178511635
24015,0.3208,37.7,6.4,15.1,21.393418068,1.0,0.075703655775,0.012246111859000002,11.1,15.3,0.0043102609237,4.1856089204,75.076285717,6.5409237665,7.9237713139,426.0,0.014877352221000001,24.7,12.8,10.405442762999998,3.082,2652.0,45.809743273,42.102504253,11.690062654,12.412304371,5.2409339295,5.8607887548
24017,0.197,40.2,8.2,9.2,25.266778818,0.0,0.028209552,0.013513496760000002,7.2,13.7,0.0071590545037,3.486528397,77.836944793,5.1839235776,9.4228229628,519.0,0.013870668101,23.8,11.8,7.7862052326,2.635,2696.0,40.345969061,29.503722254,12.475039411,13.508492569,5.7303266518,4.9876193845
24019,0.7874,39.8,5.9,25.7,38.979830459,0.0,0.0407183128,0.012484394506999999,14.0,15.7,0.0075501194695,4.8041599722,75.630354379,4.9893125099,10.422316931,382.0,0.013323740239999998,26.8,15.7,10.397727503,2.094,2275.0,44.4483608,56.220491753,13.847864062,16.154721274,5.6298121343,6.9349279515
24021,0.1827,31.4,8.5,8.4,18.368000512,0.0,0.029858167298000005,0.0064064051551,8.9,13.5,0.0023177381589,3.753865195,80.1567493,3.1136978411,7.0716635104,376.0,0.007405456068700001,19.2,9.9,5.8852036951999995,1.9060000000000001,1637.0,42.900271721,25.207704008,10.738936677,12.245339098,4.7981483954,4.9006060278
24023,0.2327,33.1,5.6,17.1,21.402567542,0.0,0.025278930012,0.013728060843,13.2,15.8,,4.0709092902,77.693410549,4.1647705888,8.1025641026,574.0,0.018552332222999998,24.3,13.3,7.5206449806,2.233,2061.0,,83.898727448,9.6176619861,11.911468813,5.2326716564,6.9970712063
24025,0.1015,32.2,7.0,10.2,18.216694192,0.0,0.040850846122,0.010004773931,8.9,13.8,0.004237793318899999,3.9976896859,78.549244789,4.6620521475,7.4072087535,412.0,0.0081365631722,19.7,10.8,7.0052037197,2.579,1848.0,50.904716296,17.757100961,10.553689344,12.58049066,4.7890822421,4.1879396078
24027,0.1369,25.5,7.4,7.4,18.395751191,0.0,0.015761151014,0.0044570121181,7.3,11.4,0.0025020887973,3.8658172275,82.716875351,1.8904110911,8.1688055281,278.0,0.0054509791656,16.9,8.1,4.341549679200001,1.7389999999999999,521.0,37.147814571,9.2516153752,11.235481373,13.322238767,4.3441208314,3.8829323803
24029,0.4567,32.4,6.0,20.2,42.95212766,1.0,0.025863406728000003,0.01029749462,12.0,14.7,,4.8766078913,77.896096976,0.3858837822,9.963099631,507.0,0.016822949429000002,21.1,12.0,7.8103487077,1.847,1476.0,16.818929617,72.585037382,14.698364008,15.015576324,5.4532209387,8.3451424972
24031,0.4631,21.6,6.1,11.4,19.851282989,0.0,0.012392748055000001,0.0035756780855,8.3,11.3,0.0022378975117,4.5189080198,83.974014569,1.8318877973,7.3714214616,265.0,0.0049806865351,16.6,8.9,4.304132490400001,1.498,724.0,45.156747075,2.3837773481,14.396857228,16.866154468,5.4862264313,7.1654032842
24033,0.7969,36.9,7.2,15.7,32.979336385,0.0,0.019353086432,0.011694744311999999,8.1,13.0,0.010906775827,3.8824210352,78.511916516,3.4591464118,9.4468246266,520.0,0.010168132507,23.4,13.8,7.4844467688,3.021,1923.0,47.831446203,1.9667137662,16.293972123,19.072090446,7.4584668729,11.185608009
24035,0.0404,30.2,7.5,10.5,18.350939516,0.0,0.040843483816999995,0.0087825052495,8.9,14.1,,4.040108585,79.918977005,3.6081599048,7.3185185185,696.0,0.013210570754000001,18.1,9.6,6.3844289485,2.191,2843.0,23.409106755,54.487635466,12.245230719,11.736204576,4.3647504055,5.2378723299
