fips,n_fac
48227,1056
48229,85
48231,830
48233,415
48235,196
48237,232
48239,335
48241,441
48243,36
48245,3110
48247,90
48249,440
48251,2635
48253,279
48255,690
48257,1269
48259,458
48261,65
48263,553
48265,479
48267,143
48269,38
48271,62
48273,299
48275,138
48277,451
48279,246
48281,188
48283,608
48285,327
48287,232
48289,552
48291,929
48293,580
48295,226
48297,372
48299,239
48301,423
48303,3189
48305,131
48307,199
48309,2288
48311,355
48313,167
48315,147
48317,822
48319,86
48321,557
48323,321
48325,536
48327,58
48329,1887
48331,285
48333,77
48335,187
48337,366
48339,4325
48341,527
48343,140
48345,43
48347,846
48349,640
48351,166
48353,359
48355,2744
48357,794
48359,83
48361,1117
48363,420
48365,706
48367,1668
48369,268
48371,885
48373,516
48375,1094
48377,98
48379,120
48381,934
48383,305
48385,53
48387,153
48389,1468
48391,250
48393,125
48395,553
48397,768
48399,196
48401,735
48403,160
48405,153
48407,203
48409,760
48411,75
48413,107
48415,503
48417,130
48419,526
48421,173
48423,2229
48425,168
48427,409
48429,215
48431,123
48433,43
48435,228
48437,118
48439,13524
48441,1376
48443,45
48445,240
48447,70
48449,309
48451,1221
48453,6912
48455,148
48457,272
48459,488
48461,371
48463,320
48465,364
48467,414
48469,780
48471,508
48473,531
48475,730
48477,306
48479,2341
48481,711
48483,714
48485,1019
48487,203
48489,222
48491,4763
48493,268
48495,465
48497,1443
48499,453
