fips,n_prov
56031,1
56033,2
56037,1
56039,2
56041,3
56043,1
56045,1
72005,1
72009,1
72013,2
72023,1
72025,1
72031,1
72035,1
72041,1
72057,1
72063,2
72069,1
72085,2
72107,1
72113,3
72127,6
