fips,var,val,year
55095,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.0885(0.1687,0.1715,0.0977,0.119)",2020
28033,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.3164(0.3144,0.6362,0.7632,0.0993)",2020
20175,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.9099(0.8024,0.8071,0.9659,0.9297)",2020
55043,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.2381(0.2766,0.0197,0.1066,0.8285)",2020
13011,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.5102(0.7673,0.5162,0.3908,0.1862)",2020
34021,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.7104(0.5302,0.3854,0.8829,0.9071)",2020
37033,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.753(0.7218,0.6003,0.7842,0.6884)",2020
19035,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.1187(0.0611,0.1766,0.2381,0.4007)",2020
39045,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.2062(0.1645,0.4574,0.4535,0.1948)",2020
05075,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.5802(0.6184,0.5821,0.1655,0.654)",2020
48239,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.7645(0.6483,0.8896,0.8081,0.5395)",2020
41067,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.3495(0.2533,0.2094,0.7406,0.535)",2020
54069,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.4793(0.4007,0.4911,0.2702,0.7075)",2020
51071,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.133(0.1996,0.0987,0.1127,0.2922)",2020
53077,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.957(0.9558,0.9249,0.9131,0.8135)",2020
48175,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.543(0.4774,0.6677,0.8141,0.3466)",2020
36057,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.7756(0.6951,0.8278,0.5481,0.7167)",2020
51107,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.0952(0.0302,0.3125,0.8421,0.0872)",2020
40013,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.8746(0.8367,0.8135,0.6805,0.8361)",2020
37097,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.4032(0.3756,0.5169,0.6155,0.2938)",2020
56041,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.4064(0.1992,0.5789,0.4007,0.6913)",2020
72061,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.0779(0.1169,0.026,0.1818,0.4935)",2020
27133,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.1279(0.0411,0.3854,0.1945,0.352)",2020
47083,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.4946(0.6432,0.5076,0.2613,0.3657)",2020
48039,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.6174(0.4198,0.528,0.8921,0.7342)",2020
45091,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.3727(0.3087,0.3861,0.684,0.3756)",2020
51051,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.7177(0.8202,0.6394,0.0067,0.7689)",2020
46097,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.1525(0.1394,0.7129,0.0812,0.1114)",2020
19031,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.0048(0.0067,0.0802,0.0735,0.0331)",2020
17077,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.789(0.7791,0.2931,0.6353,0.9513)",2020
20007,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.5181(0.415,0.8348,0.3141,0.4653)",2020
29195,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.5729(0.4545,0.6652,0.557,0.6171)",2020
05087,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.5146(0.6999,0.4857,0.3705,0.2938)",2020
38033,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.1241(0.0439,0.1365,0.3657,0.4796)",2020
06061,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.1782(0.1346,0.2934,0.6617,0.1814)",2020
41017,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.3122(0.4083,0.2199,0.4147,0.3164)",2020
50001,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.1394(0.1738,0.0436,0.2336,0.4367)",2020
36067,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.557(0.3698,0.4465,0.6044,0.8316)",2020
46011,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.1416(0.1655,0.0092,0.3355,0.6852)",2020
18057,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.035(0.007,0.3103,0.5006,0.0344)",2020
13129,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.8721(0.8425,0.8803,0.5907,0.7871)",2020
55091,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.0863(0.204,0.1992,0.0344,0.0713)",2020
32011,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.2387(0.1585,0.2849,0.2966,0.5201)",2020
29053,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.4408(0.5283,0.3335,0.3819,0.4185)",2020
16027,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.6429(0.7231,0.6445,0.6827,0.3383)",2020
46019,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.4997(0.6254,0.3899,0.3253,0.443)",2020
36035,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.409(0.3641,0.4669,0.2778,0.5449)",2020
39073,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.3393(0.2502,0.6575,0.0506,0.5185)",2020
72001,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.7792(1.0,0.7792,0.5714,0.1688)",2020
39159,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.0223(0.0089,0.0455,0.3552,0.1442)",2020
46027,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.5684(0.6289,0.015,0.4179,0.9889)",2020
