rank,instr,k,category,tier,riskClass,criticality,footprint_score,footprint_frac_score,rank_gap,corroboration,DB,IR,nPlat,nDs,fracDs,allPubs,nKeywords,nProjects,nDaacs,firstStartYear,lastStartYear,R1_cmMentionPapers,R1b_platMentionPapers,R2_cmModelPapers,R2_cmDistinctModels,R3_doiPapers,R4_modelTitlePubs,R5_nModelVars,R5_nSoleVars,R5_soleVars,soleKeyword,nSources
96,XPS,xps,science instrument,B,—,15.4907,30.825,18.8312,80.0,3,0.118,0.0,1,16,4.0,20.0,2,1,1,2003,2003,1.0,3.0,1.0,1.0,0.0,0.0,0,0.0,,,2
97,SSALT,ssalt,science instrument,B,—,15.4582,37.4885,15.4912,46.0,2,0.172,0.0,1,26,3.25,72.0,10,8,3,1950,2021,0.0,12.0,0.0,0.0,0.0,5.0,0,0.0,,,2
98,ALT (TOPEX),alt (topex),science instrument,B,—,15.4582,37.4885,15.4912,46.0,2,0.172,0.0,1,26,3.25,72.0,10,8,3,1950,2021,0.0,12.0,0.0,0.0,0.0,5.0,0,0.0,,,2
99,NRA,nra,science instrument,B,—,15.4582,37.4885,15.4912,46.0,2,0.172,0.0,1,26,3.25,72.0,10,8,3,1950,2021,0.0,12.0,0.0,0.0,0.0,5.0,0,0.0,,,2
100,POSEIDON-3B,poseidon-3b,science instrument,B,—,15.4582,39.0061,27.838,35.0,2,0.172,0.0,2,29,6.75,85.0,10,9,3,1950,2021,0.0,12.0,0.0,0.0,0.0,5.0,0,0.0,,,2
101,VISSR-METEOSAT,vissr-meteosat,science instrument,B,—,14.7329,38.5178,49.4355,33.0,2,0.1588,0.0,5,28,21.1667,94.0,19,9,4,1982,2019,0.0,5.0,0.0,0.0,0.0,9.0,0,0.0,,,2
102,MVIRI,mviri,science instrument,B,—,14.3182,35.792,32.3797,56.0,2,0.1512,0.0,3,23,8.6667,60.0,16,8,3,1983,2015,0.0,4.0,0.0,0.0,0.0,9.0,0,0.0,,,2
103,TRSR,trsr,science instrument,B,—,14.0502,40.3789,25.2509,20.0,2,0.1464,0.0,2,32,5.8333,72.0,10,9,3,1950,2021,0.0,6.0,0.0,0.0,0.0,5.0,0,0.0,,,2
104,JASON-1 Microwave Radiometer,jason-1 microwave radiometer,science instrument,B,—,14.0502,40.3789,25.2509,20.0,2,0.1464,0.0,2,32,5.8333,72.0,10,9,3,1950,2021,0.0,6.0,0.0,0.0,0.0,5.0,0,0.0,,,2
105,POSEIDON-2,poseidon-2,science instrument,B,—,14.0502,40.3789,25.2509,20.0,2,0.1464,0.0,2,32,5.8333,72.0,10,9,3,1950,2021,0.0,6.0,0.0,0.0,0.0,5.0,0,0.0,,,2
106,OTD,otd,science instrument,B,—,13.7891,47.9962,43.2431,-16.0,2,0.1416,0.0,2,55,15.4,68.0,36,12,4,1962,2021,1.0,15.0,0.0,0.0,0.0,0.0,0,0.0,,,2
107,X-SAR,x-sar,science instrument,B,—,13.7395,41.6322,35.1902,10.0,2,0.1407,0.0,3,35,10.0833,860.0,27,8,5,1985,2021,0.0,0.0,0.0,0.0,1.0,10.0,0,0.0,,,2
108,SIRAL,siral,science instrument,B,—,13.7083,25.808,17.4133,91.0,2,0.1402,0.0,1,11,3.6667,80.0,13,2,2,1985,2018,0.0,15.0,0.0,0.0,0.0,1.0,0,0.0,,,2
109,TANSO-FTS,tanso-fts,science instrument,B,—,13.5875,25.808,36.8234,90.0,2,0.138,0.0,1,11,11.0,13.0,5,3,1,2009,2014,2.0,9.0,0.0,0.0,0.0,0.0,0,0.0,,,2
110,DDMI,ddmi,science instrument,C,"B: narrow, irreplaceable",12.9203,45.1629,64.4392,-8.0,0,0.0,0.4307,1,45,45.0,120.0,13,1,2,2017,2024,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,WATER QUALITY,1
111,SRTM C-BAND RADAR,srtm c-band radar,science instrument,B,—,12.8253,30.825,30.9111,65.0,2,0.1241,0.0,1,16,8.0,764.0,5,3,2,1994,2000,0.0,0.0,0.0,0.0,1.0,6.0,0,0.0,,,2
112,CERES-FM5,ceres-fm5,science instrument,B,—,12.7774,80.3145,74.835,-92.0,2,0.1232,0.0,1,527,75.2857,568.0,53,19,13,1978,2025,0.0,3.0,0.0,0.0,0.0,5.0,0,0.0,,,2
