k,instr,nPlat,nDs,nKeywords,nProjects,nDaacs,allPubs,dsWithPubs,firstStartYear,lastStartYear,nDsDated,R1_cmMentionPapers,R2_cmModelPapers,R2_cmDistinctModels,R3_doiPapers,R3_doiDatasets,R4_modelTitlePubs,R4_modelTitleDatasets,R1b_platMentionPapers,R5_nSoleVars,R5_soleVars,fracDs,R5_nModelVars,category,soleKeyword
gnss receiver,GNSS RECEIVER,1,49,12,4,3,24.0,7.0,1992,2020,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,5.44444,0,generic GCMD class,
gnss-ro receiver,GNSS-RO RECEIVER,1,49,12,4,3,24.0,7.0,1992,2020,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,5.44444,0,generic GCMD class,
goes i-m imager,GOES I-M Imager,9,41,28,18,4,119.0,5.0,1966,2014,41,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,,29.4167,0,science instrument,
goes n-p imager,GOES N-P Imager,3,32,12,13,6,166.0,8.0,1966,2021,32,0.0,0.0,0.0,0.0,0.0,18.0,6.0,7.0,0.0,,10.3333,0,science instrument,
goes-10 imager,GOES-10 Imager,1,13,20,6,3,9.0,4.0,1983,2013,13,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,4.33333,0,science instrument,
goes-11 imager,GOES-11 Imager,2,30,17,10,4,11.0,5.0,1983,2023,30,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,15.1667,0,science instrument,
goes-12 imager,GOES-12 Imager,1,13,17,6,3,9.0,4.0,1983,2005,13,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,4.33333,0,science instrument,
goes-13 imager,GOES-13 Imager,1,19,7,11,4,5.0,2.0,1982,2021,19,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,6.33333,0,science instrument,
goes-14 imager,GOES-14 Imager,1,7,4,3,3,2.0,1.0,2000,2014,7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,2.33333,0,science instrument,
goes-15 imager,GOES-15 Imager,2,31,12,10,6,170.0,9.0,1966,2023,31,0.0,0.0,0.0,0.0,0.0,18.0,6.0,7.0,0.0,,12.1667,0,science instrument,
goes-16 imager,GOES-16 Imager,2,40,21,16,7,218.0,17.0,1966,2022,40,0.0,0.0,0.0,0.0,0.0,17.0,5.0,7.0,0.0,,11.6667,0,science instrument,
goes-17 imager,GOES-17 Imager,1,22,12,10,5,16.0,4.0,2000,2021,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,5.5,0,science instrument,
goes-8 imager,GOES-8 Imager,1,18,24,10,3,4.0,3.0,1983,2013,18,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,4.5,0,science instrument,
goes-9 imager,GOES-9 Imager,1,13,16,7,2,4.0,3.0,1983,2003,13,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,3.25,0,science instrument,
gome,GOME,1,24,27,9,5,744.0,19.0,1985,2021,24,16.0,2.0,6.0,0.0,0.0,10.0,5.0,0.0,0.0,,2.66667,0,science instrument,
gome-2,GOME-2,2,72,23,12,6,134.0,31.0,1982,2025,72,8.0,1.0,5.0,0.0,0.0,10.0,12.0,0.0,1.0,total_solar_irradiance,10.1111,0,science instrument,
gps,GPS,16,1684,76,67,14,13722.0,611.0,1900,2025,1676,10.0,4.0,6.0,18.0,18.0,245.0,129.0,103.0,0.0,,279.732,0,generic GCMD class,
gps p,GPS P,1,91,18,3,2,52.0,27.0,1992,2014,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,22.75,0,generic GCMD class,
gps receiver,GPS Receiver,1,18,20,1,2,76.0,16.0,1985,2003,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,,2.57143,0,generic GCMD class,
gps receivers,GPS RECEIVERS,1,91,18,3,2,52.0,27.0,1992,2014,84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,22.75,0,generic GCMD class,
gpsp,GPSP,3,151,29,9,4,153.0,46.0,1950,2022,144,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,,31.125,0,science instrument,
grace acc,GRACE ACC,2,47,21,7,2,169.0,23.0,1900,2021,47,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,,7.66667,0,science instrument,
grace interferometer,GRACE INTERFEROMETER,1,36,21,7,2,156.0,20.0,1900,2021,36,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,,4.0,0,science instrument,
grace lrr,GRACE LRR,1,36,21,7,2,156.0,20.0,1900,2021,36,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,,4.0,0,platform/bus subsystem,
grace sca,GRACE SCA,1,36,21,7,2,156.0,20.0,1900,2021,36,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,,4.0,0,platform/bus subsystem,
grace-fo acc,GRACE-FO ACC,2,47,21,7,2,169.0,23.0,1900,2021,47,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,,7.66667,0,science instrument,
grace-fo kbr,GRACE-FO KBR,1,36,21,7,2,156.0,20.0,1900,2021,36,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,,4.0,0,science instrument,
grace-fo lri,GRACE-FO LRI,1,22,16,4,1,34.0,6.0,1900,2018,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.66667,0,science instrument,
grace-fo mwi,GRACE-FO MWI,1,22,16,4,1,34.0,6.0,1900,2018,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.66667,0,science instrument,
grace-fo sca,GRACE-FO SCA,1,22,16,4,1,34.0,6.0,1900,2018,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.66667,0,platform/bus subsystem,
gvhrr,GVHRR,1,2,3,1,1,0.0,0.0,1974,1974,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0,science instrument,
gyros,GYROS,1,39,18,1,1,31.0,9.0,1950,2022,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,4.875,0,platform/bus subsystem,
haloe,HALOE,1,17,8,4,2,44.0,10.0,1979,2004,17,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,,4.25,0,science instrument,
harp2,HARP2,1,68,0,0,1,1.0,1.0,2024,2024,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,22.6667,0,science instrument,
hawkeye,HawkEye,1,2,0,0,1,1.0,2.0,2018,2019,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0,science instrument,
hico,HICO,1,131,37,10,6,350.0,47.0,1979,2022,131,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,,11.9091,0,science instrument,
hirdls,HIRDLS,1,344,31,7,2,924.0,163.0,1978,2021,344,3.0,0.0,0.0,2.0,3.0,23.0,27.0,25.0,0.0,,68.8,0,science instrument,
hirs,HIRS,9,178,34,19,7,697.0,28.0,1970,2021,178,5.0,0.0,0.0,1.0,1.0,25.0,7.0,4.0,0.0,,62.3857,0,science instrument,
hirs/2,HIRS/2,9,141,35,15,8,679.0,26.0,1970,2021,141,0.0,0.0,0.0,1.0,1.0,23.0,6.0,4.0,0.0,,57.1607,0,science instrument,
hrir,HRIR,3,22,5,1,2,5.0,3.0,1964,1969,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.93333,0,science instrument,
hrs,HRS,1,7,8,1,2,191.0,2.0,1950,2003,7,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,,2.33333,0,science instrument,
hrv,HRV,1,1,2,1,1,0.0,0.0,2008,2008,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0,science instrument,
hrvir,HRVIR,1,10,15,4,3,4.0,2.0,1990,2012,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0,science instrument,
hsb,HSB,1,717,49,31,14,6624.0,372.0,1978,2023,717,0.0,0.0,0.0,7.0,7.0,127.0,80.0,73.0,0.0,,59.75,0,science instrument,
hyperion,HYPERION,1,3,7,1,2,8.0,2.0,2002,2008,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0,science instrument,
iasi,IASI,2,72,23,12,6,134.0,31.0,1982,2025,72,9.0,2.0,2.0,0.0,0.0,10.0,12.0,0.0,0.0,,10.1111,0,science instrument,
idcs nimbus-3,IDCS Nimbus-3,1,13,5,1,2,5.0,3.0,1964,1969,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.6,0,science instrument,
idcs nimbus-4,IDCS Nimbus-4,1,28,7,2,2,0.0,0.0,1969,1970,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.11111,0,science instrument,
igor,IGOR,4,14,4,1,2,590.0,13.0,1995,2014,14,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,12.6667,0,science instrument,
iir,IIR,1,76,17,3,2,260.0,40.0,1979,2020,76,0.0,0.0,0.0,0.0,0.0,9.0,6.0,26.0,0.0,,25.3333,0,science instrument,
imaging radiometers,IMAGING RADIOMETERS,3,804,59,35,11,11421.0,331.0,1950,2023,804,1.0,1.0,1.0,12.0,14.0,163.0,96.0,83.0,0.0,,96.2909,0,generic GCMD class,
infrared radiometers,INFRARED RADIOMETERS,5,25,18,9,5,166.0,11.0,1966,2015,25,0.0,0.0,0.0,0.0,0.0,18.0,6.0,10.0,0.0,,11.8333,0,generic GCMD class,
iris,IRIS,1,28,7,2,2,0.0,0.0,1969,1970,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.11111,0,science instrument,
itpr,ITPR,1,14,11,1,2,48.0,3.0,1970,1978,14,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,,2.33333,0,science instrument,
jami,JAMI,2,15,16,5,4,5.0,5.0,1983,2015,15,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,5.33333,0,science instrument,
jason-1 microwave radiometer,JASON-1 Microwave Radiometer,2,32,10,9,3,72.0,11.0,1950,2021,32,0.0,0.0,0.0,0.0,0.0,5.0,2.0,6.0,0.0,,5.83333,0,science instrument,
jason-class altimeter,Jason-class Altimeter,1,39,18,1,1,31.0,9.0,1950,2022,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,4.875,0,science instrument,
karin,KaRIn,1,39,18,1,1,31.0,9.0,1950,2022,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,4.875,0,science instrument,
kbr,KBR,1,36,21,7,2,156.0,20.0,1900,2021,36,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,,4.0,0,science instrument,
ku-band radar,KU-BAND RADAR,1,24,27,9,5,744.0,19.0,1985,2021,24,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,,2.66667,0,science instrument,
la,LA,1,18,20,1,2,76.0,16.0,1985,2003,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,,2.57143,0,platform/bus subsystem,
laser reflector,LASER REFLECTOR,8,6,4,1,1,0.0,0.0,1976,2016,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.0,0,platform/bus subsystem,
