clade,species,records,individuals,places_n,first,last
Bird,Setophaga coronata coronata,10,12,10,2012-12-16,2024-01-10
Bird,Setophaga discolor,10,14,10,2010-04-09,2024-04-26
Bird,Setophaga dominica,8,8,8,2019-01-20,2024-02-04
Bird,Setophaga fusca,1,1,1,2016-09-06,2016-09-06
Bird,Setophaga magnolia,1,1,1,2020-10-02,2020-10-02
Bird,Setophaga palmarum,31,42,31,2016-01-24,2024-03-24
Bird,Setophaga palmarum palmarum,16,17,16,2017-03-18,2023-12-16
Bird,Setophaga petechia,2,2,2,2020-08-23,2020-09-28
Bird,Setophaga pinus,9,11,9,2017-11-30,2024-03-17
Bird,Setophaga ruticilla,8,9,8,2018-04-13,2024-04-22
Bird,Setophaga striata,2,2,2,2013-04-23,2024-05-11
Bird,Setophaga tigrina,6,8,6,2005-05-01,2023-04-25
Bird,Setophaga virens,1,1,1,2023-10-16,2023-10-16
Bird,Sialia sialis,15,17,15,2018-03-11,2024-04-13
Bird,Sitta pusilla,8,10,8,2013-06-28,2024-04-28
Bird,Spatula clypeata,3,7,3,2021-12-03,2023-02-25
Bird,Spatula discors,11,20,11,2015-01-25,2023-10-29
Bird,Sphyrapicus varius,9,10,9,2016-12-24,2023-02-08
Bird,Spindalis zena,1,1,1,2005-02-11,2005-02-11
Bird,Spinus tristis,5,5,5,2016-03-06,2023-03-17
Bird,Spizella passerina,1,1,1,2024-02-01,2024-02-01
Bird,Stelgidopteryx serripennis,2,2,2,2018-01-21,2021-02-09
Bird,Sterna forsteri,6,8,6,2011-01-30,2024-02-01
Bird,Sterna hirundo,1,1,1,2023-09-29,2023-09-29
Bird,Sternula antillarum,3,3,3,2014-04-11,2024-04-22
Bird,Streptopelia decaocto,16,18,16,2021-02-07,2024-05-11
Bird,Strix varia,19,23,19,2007-06-01,2024-04-06
Bird,Sturnella magna,5,5,5,2009-05-05,2024-03-02
Bird,Sturnus vulgaris,8,8,8,2017-12-26,2022-05-06
Bird,Thalasseus maximus,10,12,10,2007-03-23,2024-02-04
Bird,Thalasseus sandvicensis,4,5,4,2019-02-07,2022-08-31
Bird,Thectocercus acuticaudatus,1,1,1,2022-08-13,2022-08-13
Bird,Thraupis episcopus,1,1,1,2019-07-20,2019-07-20
Bird,Thryothorus ludovicianus,17,21,17,2014-03-04,2024-03-08
Bird,Thryothorus ludovicianus miamensis,1,1,1,2023-08-16,2023-08-16
Bird,Toxostoma rufum,6,6,6,2018-03-14,2023-11-27
Bird,Tringa flavipes,6,7,6,2018-02-24,2024-05-03
Bird,Tringa melanoleuca,12,13,12,2018-12-27,2024-04-02
Bird,Tringa semipalmata,14,17,14,2009-01-03,2023-08-02
Bird,Tringa semipalmata inornata,2,2,2,2021-03-24,2023-11-21
Bird,Tringa solitaria,8,8,8,2019-04-10,2024-04-23
Bird,Troglodytes aedon,4,4,4,2020-09-22,2023-10-28
Bird,Troglodytes hiemalis,1,1,1,2023-02-15,2023-02-15
Bird,Turdus migratorius,7,7,7,2017-02-23,2024-02-24
Bird,Tyrannus dominicensis,3,3,3,2018-06-23,2022-10-12
Bird,Tyrannus forficatus,2,2,2,2018-02-10,2023-12-17
Bird,Tyrannus melancholicus,2,5,2,2021-12-26,2024-03-16
Bird,Tyrannus tyrannus,4,4,4,2018-04-19,2024-05-05
Bird,Tyrannus verticalis,3,3,3,2014-12-19,2024-02-06
Bird,Vireo altiloquus,2,2,2,2020-06-29,2023-05-16
Bird,Vireo flavifrons,1,1,1,2020-04-25,2020-04-25
Bird,Vireo griseus,5,6,5,2019-03-08,2023-01-17
Bird,Vireo olivaceus,7,7,7,2017-05-08,2023-05-02
Bird,Vireo solitarius,3,5,3,2022-02-09,2024-01-26
Bird,Zenaida asiatica,2,2,2,2017-05-02,2023-05-28
Bird,Zenaida aurita,1,1,1,2016-03-19,2016-03-19
Bird,Zenaida macroura,40,50,40,2017-11-07,2024-04-16
