comid,s2
1100390,5959146915655319552
1100438,5959159422600085504
1100438,5959159456959823872
1100440,5959186566793396224
1100444,5959160109794852864
1100446,5959161278025957376
1100446,5959161312385695744
1100544,5959063490210562048
1100598,5959171482868252672
1100600,5959171482868252672
1100602,5959171482868252672
1100604,5959171482868252672
1100612,5959171482868252672
1100614,5959171482868252672
1100616,5959171482868252672
1100650,5959185673440198656
1100652,5959185673440198656
1100654,5959185673440198656
1100664,5959159628758515712
1100666,5959159628758515712
1100668,5959159628758515712
1100670,5959159628758515712
1100672,5959159628758515712
1100674,5959159628758515712
1100676,5959159628758515712
1100678,5959160109794852864
1100682,5959167909455462400
1100686,5959168081254154240
1100688,5959158254368980992
1100690,5959168081254154240
1100692,5959158254368980992
1100694,5959158254368980992
1100716,5959188594017959936
1100718,5959188594017959936
1100720,5959188594017959936
1100742,5959160865709096960
1100750,5959060226035417088
1100800,5959159628758515712
1100822,5959060638352277504
1100836,5959164026805026816
1101300,9797536785541103616
1101450,9797536785541103616
1103718,5959188594017959936
1103852,9797062621151625216
1103854,9797062621151625216
1103864,9797063136547700736
1104060,9797062621151625216
1104080,5959188594017959936
1104192,9797065163772264448
1104306,9797062621151625216
1104330,9797065163772264448
1104372,5959188594017959936
11621066,9831159026484772864
11621088,9829304906282958848
11621094,9831159610600325120
11621282,9831158098771836928
11621886,9831151192464424960
11621902,9831151192464424960
11621918,9831151192464424960
11621954,9831160332154830848
11622166,9831151570421547008
11622192,9831152841731866624
11622198,9831152841731866624
11622430,9831164008646836224
11622736,9831151192464424960
11622740,9831151192464424960
11622764,9831151192464424960
11622768,9831152841731866624
11627473,9831179985925177344
11627657,9831181600832880640
11627697,9831181600832880640
11628703,9831181600832880640
11877010,9834339432587591680
11877012,9834339432587591680
11877014,9834339432587591680
11877034,9834339432587591680
11880680,9834432787996737536
12152190,9826140786696126464
12152192,9826140786696126464
12152204,9826140786696126464
12152244,9826021936361111552
12152330,9826021386605297664
12152706,9826021386605297664
12152708,9826021386605297664
12152728,9826021386605297664
12152728,9826021455324774400
12152730,9826021455324774400
12152732,9826021455324774400
12152734,9826021455324774400
12152750,9826021455324774400
12152750,9826186553867632640
12152762,9826021455324774400
12152762,9826186553867632640
12152780,9826021455324774400
12152780,9826186553867632640
12152868,9826187137983184896
12152870,9826187137983184896
12152906,9826187137983184896
12152908,9826187137983184896
12152958,9826187137983184896
12152958,9826187241062400000
12153090,9826158104004263936
12153166,9826158653760077824
12153222,9826158378882170880
12153234,9826158962997723136
12153240,9826157760406880256
12153246,9826158378882170880
12153356,9826157760406880256
12153514,9826168240127082496
12153568,9826168240127082496
12992677,5956685865034973184
12992887,5956685865034973184
12992889,5956685865034973184
13122062,5956997404782755840
13132075,5956737645160693760
13132221,5956793960771878912
13132635,5956793960771878912
13289714,9801078553012338688
13289804,9800982689342291968
13289814,9800982689342291968
13289818,9800982654982553600
13289828,9800982654982553600
13289834,9800982654982553600
13289834,9800982689342291968
13289836,9800982689342291968
13289840,9800982654982553600
13289866,9800982689342291968
13289866,9800982723702030336
13289868,9800982654982553600
13290348,9800973274773979136
13291162,9800982723702030336
13291432,9801035156662779904
13291432,9801046083059580928
13293416,9801801722425769984
13293424,9801801997303676928
13293430,9801801997303676928
13293430,9801802031663415296
13293432,9801802031663415296
13293452,9801802031663415296
13293452,9801802753217921024
13293454,9801802031663415296
13293456,9801802031663415296
13293458,9801802169102368768
13293458,9801802203462107136
13293482,9801802203462107136
13293494,9801802478340014080
13293518,9801803612211380224
13294128,9801802031663415296
13294130,9801802478340014080
13296106,9801492347341504512
13395623,5572570825036398592
13395635,5572524061432479744
13395641,5572570996835090432
13395861,5572172252071329792
13395861,5572172286431068160
13395861,5572547872731168768
13395863,5572547872731168768
13395883,5572547872731168768
13396841,5572496642361262080
13397073,5572570825036398592
13397075,5572524061432479744
13397085,5572570996835090432
13397087,5572524061432479744
13397091,5572570996835090432
13397095,5572570996835090432
13397121,5572570996835090432
13410714,9802048253548560384
13410716,9802048253548560384
13410798,9802047566353793024
13410798,9802048253548560384
13412280,9799050881772027904
13412356,9799050297656475648
13412364,9799050297656475648
13412388,9799050297656475648
13412910,9799050297656475648
13412912,9799050297656475648
13549747,9803063755616026624
13549749,9803063755616026624
13550813,9803053550773731328
13551281,9803052382542626816
13580646,9802651747993255936
13585126,9790881029341315072
13585128,9790881029341315072
13585144,9790881029341315072
13585162,9790873813796257792
