s2_l13,n_buildings,max_depth,mean_depth,lat,lng
9263905962509467648,1,0.001,0.001,37.9619,-121.565
9263905996869206016,2,0.047,0.047,37.97065,-121.571
9263908883087228928,3,0.047,0.037,37.946266666666666,-121.536
9263911769305251840,1,0.047,0.047,37.969,-121.537
9263911906744205312,1,0.024,0.024,37.9889,-121.534
9263935924201324544,1,0.016,0.016,37.8668,-121.544
9263936061640278016,3,0.186,0.11499999999999999,37.858200000000004,-121.568
9266505276717006848,2,0.091,0.091,39.50905,-119.6435
9266906976418267136,51,2.215,1.1452745098039216,38.0370137254902,-121.62690196078431
9266949376335413248,1,0.402,0.402,38.5615,-121.528
9266950441487302656,1,0.771,0.771,38.5162,-121.582
9266950475847041024,1,0.276,0.276,38.5044,-121.575
9266951747157360640,1,0.771,0.771,38.5573,-121.574
9266951781517099008,1,0.771,0.771,38.5619,-121.56
9279903478736486400,2,0.069,0.0405,36.083650000000006,-114.9575
9282107243635933184,7,0.095,0.095,33.177299999999995,-115.57785714285714
9282107277995671552,1,0.095,0.095,33.1781,-115.578
9283981086327570432,1,0.276,0.276,33.1138,-115.553
9665011583893372928,6,0.871,0.5806666666666667,29.592966666666666,-90.70991666666667
9665011927490756608,1,0.205,0.205,29.5833,-90.7158
9665030687907905536,1,0.248,0.248,29.7671,-90.7963
9665032234096132096,1,0.141,0.141,29.7451,-90.7681
9665032268455870464,1,0.179,0.179,29.7513,-90.7763
9665034639277817856,6,0.358,0.21566666666666667,29.73385,-90.73478333333333
9665074427854848000,1,0.896,0.896,29.7971,-90.8278
9665074496574324736,1,0.271,0.271,29.7997,-90.8384
9665074702732754944,1,0.102,0.102,29.8061,-90.8572
9665077760749469696,1,0.479,0.479,29.837,-90.9508
9665082845990748160,1,1.997,1.997,29.9369,-91.0181
9665090130255282176,2,1.098,1.098,30.0964,-91.00399999999999
9665185512888991744,1,0.104,0.104,29.2671,-90.859
9665191835080851456,1,0.767,0.767,29.3429,-90.7335
9665192968952217600,1,0.086,0.086,29.3943,-90.7102
9665978947967385600,3,0.042,0.042,30.240966666666665,-91.53246666666666
9666588833323417600,2,0.069,0.0605,30.529449999999997,-91.1417
9670177364398571520,4,0.412,0.412,34.15545,-93.713975
9670660737197932544,1,0.295,0.295,33.9817,-94.628
