fips,rucc,pop
26075,3,160248
26077,2,250331
26079,7,17153
26081,2,602622
26083,9,2156
26085,9,11539
26087,1,88319
26089,9,21708
26091,4,99892
26093,1,180967
26095,7,6631
26097,7,11113
26099,1,840978
26101,7,24733
26103,5,67077
26105,7,28705
26107,6,42798
26109,7,24029
26111,3,83629
26113,9,14849
26115,3,152021
26117,2,63342
26119,9,9765
26121,3,172188
26123,6,48460
26125,1,1202362
26127,6,26570
26129,9,21699
26131,9,6780
26133,9,23528
26135,9,8640
26137,7,24164
26139,2,263801
26141,7,13376
26143,7,24449
26145,3,200169
26147,1,163040
26149,4,61295
26151,6,43114
26153,7,8485
26155,4,70648
26157,6,55729
26159,2,76258
26161,2,344791
26163,1,1820584
26165,7,32735
27001,8,16202
27003,1,330844
27005,6,32504
27007,7,44442
27009,3,38451
27011,9,5269
27013,3,64013
27015,6,25893
27017,2,35386
27019,1,91042
27021,9,28567
27023,7,12441
27025,1,53887
27027,3,58999
27029,8,8695
27031,9,5176
27033,7,11687
27035,4,62500
27037,1,398552
27039,3,20087
27041,6,36009
27043,6,14553
27045,3,20866
27047,7,31255
27049,4,46183
27051,9,6018
27053,1,1152425
27055,3,19027
27057,7,20428
27059,1,37816
27061,6,45058
27063,7,10266
27065,6,16239
27067,4,42239
27069,9,4552
27071,6,13311
27073,9,7259
27075,6,10866
27077,9,4045
27079,1,27703
27081,9,5896
27083,7,25857
27085,6,36651
27087,8,5413
27089,8,9439
27091,7,20840
27093,6,23300
27095,1,26097
27097,6,33198
27099,4,39163
27101,9,8725
27103,3,32727
27105,7,21378
27107,8,6852
27109,3,144248
27111,6,57303
27113,6,13930
27115,6,29750
27117,6,9596
27119,3,31600
27121,8,10995
27123,1,508640
27125,8,4089
27127,7,16059
27129,8,15730
27131,4,64142
27133,6,9687
27135,7,15629
27137,2,200226
27139,1,129928
27141,1,88499
27143,1,15226
27145,3,150642
27147,5,36576
27149,7,9726
27151,7,9783
27153,6,24895
27155,9,3558
27157,3,21676
27159,7,13843
27161,6,19136
27163,1,238136
27165,6,11211
27167,6,6576
27169,4,51461
27171,1,124700
27173,9,10438
28001,5,32297
28003,7,37057
28005,8,13131
28007,6,19564
28009,1,8729
28011,7,34145
28013,9,14962
28015,9,10597
28017,7,17392
28019,9,8547
28021,8,9604
28023,9,16732
28025,7,20634
28027,7,26151
28029,2,29449
28031,8,19568
28033,1,161252
28035,3,74934
28037,9,8118
28039,6,22578
28041,8,14400
28043,7,21906
28045,2,43929
28047,2,187105
28049,2,245285
28051,6,19198
28053,6,9375
28055,8,1406
28057,7,23401
28059,2,139668
28061,9,17062
28063,8,7726
28065,8,12487
28067,4,67761
28069,9,10456
28071,4,47351
28073,3,55658
28075,5,80261
28077,8,12929
28079,6,23805
28081,5,82910
28083,5,32317
28085,6,34869
28087,5,59779
28089,2,95203
28091,6,27088
28093,1,37144
28095,7,36989
28097,7,10925
28099,7,29676
28101,7,21720
28103,7,11545
28105,5,47671
28107,6,34707
28109,6,55834
28111,3,12250
28113,6,40404
28115,7,29957
28117,7,25276
28119,6,8223
28121,2,141617
28123,6,28264
28125,8,4916
28127,2,27503
28129,8,16491
28131,6,17786
28133,7,29450
28135,7,15378
28137,1,28886
28139,6,22232
28141,8,19593
28143,1,10778
28145,6,27134
28147,9,15443
28149,4,48773
28151,5,51137
28153,7,20747
28155,9,10253
28157,8,9878
28159,7,19198
28161,7,12678
28163,2,28065
29001,7,25607
29003,3,17291
29005,9,5685
29007,6,25529
29009,6,35597
29011,6,12402
29013,1,17049
29015,7,19056
29017,3,12363
29019,3,162642
29021,3,89201
29023,5,42794
29025,1,9424
29027,3,44332
29029,7,44002
29031,3,75674
29033,6,9295
29035,9,6265
29037,1,99478
29039,6,13982
29041,9,7831
29043,2,77422
29045,9,7139
29047,1,221939
29049,1,20743
29051,3,75990
29053,6,17601
29055,6,24696
29057,8,7883
29059,2,16777
29061,8,8433
29063,3,12892
29065,7,15657
29067,6,13684
29069,7,31953
29071,1,101492
29073,6,15222
29075,8,6738
29077,2,275174
29079,7,10261
29081,7,8957
29083,6,22272
29085,8,9627
29087,8,4912
29089,6,10144
29091,7,40400
29093,7,10630
29095,1,674158
29097,3,117404
29099,1,218733
29101,4,52595
29103,9,4131
29105,6,35571
29107,1,33381
29109,6,38634
29111,9,10211
29113,1,52566
29115,7,12761
29117,6,15195
29119,2,23083
29121,7,15566
29123,6,12226
29125,8,9176
29127,5,28781
29129,9,3785
29131,6,24748
29133,6,14358
29135,3,15607
29137,9,8840
29139,6,12236
29141,8,20565
29143,7,18956
29145,3,58114
29147,6,23370
29149,9,10881
29151,3,13878
29153,9,9723
29155,7,18296
29157,6,18971
29159,4,42201
29161,5,45156
29163,6,18516
29165,1,89322
29167,2,31137
29169,5,52274
29171,9,4979
29173,9,10167
29175,6,25414
29177,1,23494
29179,9,6696
29181,9,14100
29183,1,360485
29185,8,9805
29186,6,18145
29187,4,65359
29189,1,998954
29195,6,23370
29197,9,4431
29199,9,4843
29201,4,39191
29203,9,8441
29205,9,6373
29207,6,29968
29209,6,32202
29211,9,6714
29213,4,51675
29215,9,26008
29217,7,21159
29219,1,32513
29221,6,25195
29223,9,13521
29225,2,36202
29227,9,2171
29229,6,18815
29510,1,319294
30001,7,9246
30003,6,12865
30005,9,6491
30007,9,5612
30009,3,10078
30011,9,1160
30013,3,81327
30015,8,5813
30017,7,11699
30019,9,1751
30021,7,8966
30023,7,9298
30025,9,2890
30027,7,11586
30029,5,90928
30031,5,89513
30033,9,1206
30035,7,13399
30037,3,884
30039,8,3079
30041,7,16096
30043,9,11406
30045,8,2072
30047,6,28746
30049,5,63395
30051,9,2339
30053,7,19687
30055,9,1734
30057,9,7691
30059,9,1891
30061,8,4223
30063,3,109299
30065,8,4538
30067,7,15636
30069,9,494
30071,9,4253
30073,7,6153
30075,9,1743
30077,6,7027
30079,9,1179
30081,6,40212
30083,7,9746
30085,7,10425
30087,9,9233
30089,8,11413
30091,9,3384
30093,5,34200
30095,8,9117
30097,9,3651
30099,8,6073
30101,7,5324
30103,8,718
30105,7,7369
30107,9,2168
30109,9,1017
30111,3,147972
31001,4,31364
31003,9,6685
31005,9,460
31007,9,690
31009,9,478
31011,9,5505
31013,7,11308
31015,9,2099
31017,9,3145
31019,4,46102
31021,8,6858
31023,6,8395
31025,2,25241
31027,9,8852
31029,9,3966
31031,7,5713
31033,7,9998
31035,8,6542
31037,7,10515
31039,7,9139
31041,7,10939
31043,3,21006
31045,7,9182
31047,7,24326
31049,9,1941
31051,3,6000
31053,4,36691
31055,2,517110
31057,9,2008
31059,8,5890
31061,9,3225
31063,9,2756
31065,9,4959
31067,6,22311
31069,9,2057
31071,9,2049
31073,9,2044
31075,9,614
31077,8,2538
31079,3,58607
31081,3,9124
31083,9,3423
31085,9,967
31087,9,2908
31089,7,10435
31091,9,736
31093,3,6274
31095,7,7547
31097,8,5217
31099,7,6489
31101,7,8368
31103,9,824
31105,8,3821
31107,9,8701
31109,2,285407
31111,5,36288
31113,9,763
31115,9,632
31117,9,539
31119,5,34876
31121,3,7845
31123,9,5042
31125,8,3735
31127,7,7248
31129,9,4500
31131,6,15740
31133,9,2773
31135,9,2970
31137,7,9188
31139,9,7266
31141,5,32237
31143,9,5406
31145,7,11055
31147,7,8363
31149,9,1526
31151,6,14200
31153,2,158840
31155,2,20780
31157,5,36970
31159,2,16750
31161,9,5469
31163,8,3152
31165,9,1311
31167,9,6129
31169,9,5228
31171,9,647
31173,8,6940
31175,9,4260
31177,2,20234
