feat,cell,ftype,s2
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022811592458240,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022811592458240,,5529022811592458240
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022845952196608,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022845952196608,,5529022845952196608
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022880311934976,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022880311934976,,5529022880311934976
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022914671673344,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022914671673344,,5529022914671673344
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022949031411712,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022949031411712,,5529022949031411712
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022983391150080,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022983391150080,,5529022983391150080
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023017750888448,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023017750888448,,5529023017750888448
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023052110626816,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023052110626816,,5529023052110626816
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023086470365184,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023086470365184,,5529023086470365184
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023120830103552,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023120830103552,,5529023120830103552
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023155189841920,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023155189841920,,5529023155189841920
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023189549580288,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023189549580288,,5529023189549580288
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023223909318656,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023223909318656,,5529023223909318656
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023258269057024,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023258269057024,,5529023258269057024
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023292628795392,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023292628795392,,5529023292628795392
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023326988533760,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023326988533760,,5529023326988533760
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023361348272128,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023361348272128,,5529023361348272128
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023395708010496,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023395708010496,,5529023395708010496
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023430067748864,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023430067748864,,5529023430067748864
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023464427487232,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023464427487232,,5529023464427487232
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023498787225600,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023498787225600,,5529023498787225600
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023533146963968,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023533146963968,,5529023533146963968
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023567506702336,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023567506702336,,5529023567506702336
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023601866440704,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023601866440704,,5529023601866440704
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023636226179072,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023636226179072,,5529023636226179072
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023670585917440,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023670585917440,,5529023670585917440
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023704945655808,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023704945655808,,5529023704945655808
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023739305394176,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023739305394176,,5529023739305394176
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023773665132544,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023773665132544,,5529023773665132544
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023808024870912,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023808024870912,,5529023808024870912
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023842384609280,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023842384609280,,5529023842384609280
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023876744347648,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023876744347648,,5529023876744347648
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023911104086016,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023911104086016,,5529023911104086016
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023945463824384,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023945463824384,,5529023945463824384
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023979823562752,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529023979823562752,,5529023979823562752
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529024014183301120,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529024014183301120,,5529024014183301120
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529024048543039488,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529024048543039488,,5529024048543039488
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529024082902777856,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529024082902777856,,5529024082902777856
