assay	gene	symbol	taxonomy	log2fc	adj_p_value	group_mean_1	group_mean_2	osd	entrez
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/76265	Tsen54	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.239368	0.0853667	6.99045	7.22982	OSD-25	76265
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/76282	Gpt	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.367823	0.0285108	10.8245	10.4567	OSD-25	76282
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/76308	Rab1b	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.441462	0.00497262	10.7689	10.3274	OSD-25	76308
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/76332	Cog2	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.254504	0.0181249	7.77267	7.51817	OSD-25	76332
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/76355	Tgds	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.634692	0.00773029	7.86967	7.23498	OSD-25	76355
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/76357	Trmt5	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.273483	0.0487694	6.80315	6.52967	OSD-25	76357
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/76366	Mtif3	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.305003	0.0159134	8.5411	8.23609	OSD-25	76366
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/76375	Det1	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.896737	6.56575e-05	7.7519	6.85516	OSD-25	76375
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/76416	Polr1has	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.375001	0.00760001	7.60946	7.23446	OSD-25	76416
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/76429	Lhpp	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.84547	0.0023616	10.4472	9.60171	OSD-25	76429
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/76454	Fbxo31	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.01521	1.26288e-05	11.0235	10.0083	OSD-25	76454
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/76467	Msrb2	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.352243	0.0113838	8.06594	7.71369	OSD-25	76467
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/76478	Haus8	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.348845	0.0147462	6.22547	6.57432	OSD-25	76478
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/76479	Smndc1	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.37085	0.0168223	7.91072	7.53987	OSD-25	76479
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/76487	Ppp1r3g	http://purl.obolibrary.org/obo/NCBITaxon_10090	-1.0089	0.0386272	9.38135	10.3902	OSD-25	76487
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/76499	Clasp2	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.387214	0.00105735	7.57295	7.18574	OSD-25	76499
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/76500	Ip6k2	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.61782	0.0116643	8.99764	9.61546	OSD-25	76500
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/76501	Commd9	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.333578	0.0143339	8.34515	8.01157	OSD-25	76501
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/76522	Lsm8	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.55244	0.0973119	7.05596	6.50352	OSD-25	76522
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/76539	Fam204a	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.462262	0.00735637	6.87848	6.41622	OSD-25	76539
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/76563	Qrsl1	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.41251	0.0180537	6.71643	6.30392	OSD-25	76563
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/76574	Mfsd2a	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.665981	0.00124938	12.7485	12.0826	OSD-25	76574
