category	K	k	n	N	expected	fold	p	fdr	label	id	family	threshold
http://purl.obolibrary.org/obo/GO_0007018	6	6	1560	2160	4.33	1.38	0.1415346435604286	0.9999561234632744	microtubule-based movement	GO_0007018	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0033554	6	6	1560	2160	4.33	1.38	0.1415346435604286	0.9999561234632744	cellular response to stress	GO_0033554	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0048026	6	6	1560	2160	4.33	1.38	0.1415346435604286	0.9999561234632744	positive regulation of mRNA splicing, via spliceosome	GO_0048026	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0006654	6	6	1560	2160	4.33	1.38	0.1415346435604286	0.9999561234632744	phosphatidic acid biosynthetic process	GO_0006654	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0006310	6	6	1560	2160	4.33	1.38	0.1415346435604286	0.9999561234632744	DNA recombination	GO_0006310	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0070059	6	6	1560	2160	4.33	1.38	0.1415346435604286	0.9999561234632744	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	GO_0070059	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0008209	6	6	1560	2160	4.33	1.38	0.1415346435604286	0.9999561234632744	androgen metabolic process	GO_0008209	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0007265	6	6	1560	2160	4.33	1.38	0.1415346435604286	0.9999561234632744	Ras protein signal transduction	GO_0007265	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_2000779	6	6	1560	2160	4.33	1.38	0.1415346435604286	0.9999561234632744	regulation of double-strand break repair	GO_2000779	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0140673	6	6	1560	2160	4.33	1.38	0.1415346435604286	0.9999561234632744	transcription elongation-coupled chromatin remodeling	GO_0140673	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0008104	6	6	1560	2160	4.33	1.38	0.1415346435604286	0.9999561234632744	intracellular protein localization	GO_0008104	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0050796	6	6	1560	2160	4.33	1.38	0.1415346435604286	0.9999561234632744	regulation of insulin secretion	GO_0050796	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0022617	6	6	1560	2160	4.33	1.38	0.1415346435604286	0.9999561234632744	extracellular matrix disassembly	GO_0022617	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0000956	6	6	1560	2160	4.33	1.38	0.1415346435604286	0.9999561234632744	nuclear-transcribed mRNA catabolic process	GO_0000956	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0060337	6	6	1560	2160	4.33	1.38	0.1415346435604286	0.9999561234632744	type I interferon-mediated signaling pathway	GO_0060337	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0051049	6	6	1560	2160	4.33	1.38	0.1415346435604286	0.9999561234632744	regulation of transport	GO_0051049	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0006511	33	27	1560	2160	23.83	1.13	0.14724227904142914	0.9999561234632744	ubiquitin-dependent protein catabolic process	GO_0006511	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0032259	37	30	1560	2160	26.72	1.12	0.151274066002577	0.9999561234632744	methylation	GO_0032259	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_1902895	15	13	1560	2160	10.83	1.2	0.16827071666526805	0.9999561234632744	positive regulation of miRNA transcription	GO_1902895	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0016241	15	13	1560	2160	10.83	1.2	0.16827071666526805	0.9999561234632744	regulation of macroautophagy	GO_0016241	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0010508	15	13	1560	2160	10.83	1.2	0.16827071666526805	0.9999561234632744	positive regulation of autophagy	GO_0010508	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0071356	15	13	1560	2160	10.83	1.2	0.16827071666526805	0.9999561234632744	cellular response to tumor necrosis factor	GO_0071356	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0006281	68	53	1560	2160	49.11	1.08	0.17620323141748295	0.9999561234632744	DNA repair	GO_0006281	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0032787	10	9	1560	2160	7.22	1.25	0.18647001541913677	0.9999561234632744	monocarboxylic acid metabolic process	GO_0032787	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0034644	10	9	1560	2160	7.22	1.25	0.18647001541913677	0.9999561234632744	cellular response to UV	GO_0034644	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0140861	10	9	1560	2160	7.22	1.25	0.18647001541913677	0.9999561234632744	DNA repair-dependent chromatin remodeling	GO_0140861	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0045892	83	64	1560	2160	59.94	1.07	0.18809687696566352	0.9999561234632744	negative regulation of DNA-templated transcription	GO_0045892	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0034453	5	5	1560	2160	3.61	1.38	0.19614608159017602	0.9999561234632744	microtubule anchoring	GO_0034453	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0038095	5	5	1560	2160	3.61	1.38	0.19614608159017602	0.9999561234632744	Fc-epsilon receptor signaling pathway	GO_0038095	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
