assay	gene	symbol	taxonomy	log2fc	adj_p_value	group_mean_1	group_mean_2	osd	entrez
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/11549	Adra1a	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.0338	7.44607e-06	8.16395	7.13015	OSD-25	11549
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/11630	Crybg1	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.0267	0.000901782	8.61957	7.59287	OSD-25	11630
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/116939	Pnpla3	http://purl.obolibrary.org/obo/NCBITaxon_10090	-1.15187	0.0323652	7.37155	8.52342	OSD-25	116939
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-137-2d49c2d99e55a9e2c2729122a7521106	http://www.ncbi.nlm.nih.gov/gene/11790	Speg	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.01203	0.0321181	68.2683	33.0508	OSD-137	11790
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/11808	Apoa4	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.19627	2.38579e-05	12.7829	11.5866	OSD-25	11808
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-47-65754b3ba1b48856d4afd330ef225e46	http://www.ncbi.nlm.nih.gov/gene/11833	Aqp8	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.06014	0.0101192	4575.33	2194.49	OSD-47	11833
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/12053	Bcl6	http://purl.obolibrary.org/obo/NCBITaxon_10090	-1.6103	0.00802322	7.25311	8.86341	OSD-25	12053
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-47-65754b3ba1b48856d4afd330ef225e46	http://www.ncbi.nlm.nih.gov/gene/12288	Cacna1c	http://purl.obolibrary.org/obo/NCBITaxon_10090	-2.94713	0.0366324	7.43302	49.7146	OSD-47	12288
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/12575	Cdkn1a	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.66264	0.000240587	11.4185	9.75591	OSD-25	12575
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/12660	Chka	http://purl.obolibrary.org/obo/NCBITaxon_10090	-1.16287	0.00271557	8.3365	9.49937	OSD-25	12660
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/12686	Elovl3	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.87793	0.000204746	7.93641	6.05848	OSD-25	12686
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/12696	Cirbp	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.02116	0.000319783	8.74488	7.72372	OSD-25	12696
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/12908	Crat	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.02913	4.12544e-06	11.1912	10.1621	OSD-25	12908
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/13009	Csrp3	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.06035	0.000120305	8.15679	7.09644	OSD-25	13009
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/13082	Cyp26a1	http://purl.obolibrary.org/obo/NCBITaxon_10090	-1.10626	0.00627134	7.25707	8.36333	OSD-25	13082
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/13636	Efna1	http://purl.obolibrary.org/obo/NCBITaxon_10090	-1.08699	0.000526357	8.6195	9.70649	OSD-25	13636
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/13803	Enc1	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.01217	3.53789e-05	8.38553	7.37337	OSD-25	13803
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/14281	Fos	http://purl.obolibrary.org/obo/NCBITaxon_10090	-1.35463	0.0251745	6.24877	7.60339	OSD-25	14281
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/14311	Cidec	http://purl.obolibrary.org/obo/NCBITaxon_10090	2.59911	1.12049e-06	9.24941	6.6503	OSD-25	14311
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/14373	G0s2	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.13599	0.00153049	11.3718	10.2358	OSD-25	14373
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/14571	Gpd2	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.53549	2.09722e-06	10.2926	8.75707	OSD-25	14571
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/14664	Slc6a9	http://purl.obolibrary.org/obo/NCBITaxon_10090	1.21352	0.000128864	11.235	10.0215	OSD-25	14664
