gene	gene_symbol	disease	doid
http://www.ncbi.nlm.nih.gov/gene/2147	F2	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/215	ABCD1	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/2152	F3	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/2153	F5	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/2162	F13A1	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/2165	F13B	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/2175	FANCA	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/2176	FANCC	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/2177	FANCD2	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/2178	FANCE	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/2184	FAH	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/2187	FANCB	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/2188	FANCF	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/2189	FANCG	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/2193	FARSA	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/2194	FASN	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/219736	STOX1	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/2200	FBN1	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/220296	HEPACAM	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/2203	FBP1	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/221037	JMJD1C	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/2212	FCGR2A	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/2215	FCGR3B	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/222546	RFX6	http://purl.obolibrary.org/obo/DOID_409	DOID_409
http://www.ncbi.nlm.nih.gov/gene/2235	FECH	http://purl.obolibrary.org/obo/DOID_409	DOID_409
