disease	disease_label	phenotype	phenotype_label	mondo	hp
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0012418	Hypoxemia	MONDO_0001382	HP_0012418
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0012461	Bacteriuria	MONDO_0001382	HP_0012461
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0012514	Lower limb pain	MONDO_0001382	HP_0012514
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0012531	Pain	MONDO_0001382	HP_0012531
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0012585	Renal atrophy	MONDO_0001382	HP_0012585
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0012587	Macroscopic hematuria	MONDO_0001382	HP_0012587
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0012622	Chronic kidney disease	MONDO_0001382	HP_0012622
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0012623	Stage 1 chronic kidney disease	MONDO_0001382	HP_0012623
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0012624	Stage 2 chronic kidney disease	MONDO_0001382	HP_0012624
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0012625	Stage 3 chronic kidney disease	MONDO_0001382	HP_0012625
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0012626	Stage 4 chronic kidney disease	MONDO_0001382	HP_0012626
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0012764	Orthopnea	MONDO_0001382	HP_0012764
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0020071	Viremia	MONDO_0001382	HP_0020071
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0025143	Chills	MONDO_0001382	HP_0025143
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0025144	Shivering	MONDO_0001382	HP_0025144
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0025406	Asthenia	MONDO_0001382	HP_0025406
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0025615	Abscess	MONDO_0001382	HP_0025615
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0030142	Abnormal bowel sounds	MONDO_0001382	HP_0030142
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0030149	Cardiogenic shock	MONDO_0001382	HP_0030149
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0030169	Gastric varix	MONDO_0001382	HP_0030169
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0030242	Portal vein thrombosis	MONDO_0001382	HP_0030242
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0030718	Right atrial enlargement	MONDO_0001382	HP_0030718
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0030830	Crackles	MONDO_0001382	HP_0030830
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0030878	Abnormality on pulmonary function testing	MONDO_0001382	HP_0030878
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0030955	Alcoholism	MONDO_0001382	HP_0030955
