hEntrez,humanSymbol,n_assays,n_studies,n_tissues,tissues,studies,organisms,n_up,n_down,max_abs_log2fc,min_adj_p,mean_log2fc,ambiguous,consistent_direction,net_direction
8322,FZD4,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,3,0,1.1297,2.9127e-15,1.0789666666666666,False,consistent,up
83538,ODAD4,3,3,3,extensor digitorum longus; quadriceps femoris; soleus,OSD-103; OSD-770; OSD-99,Mus musculus,2,1,-1.9188,4.50237e-08,0.3557333333333333,False,mixed,up
84166,NLRC5,3,3,3,extensor digitorum longus; soleus; tibialis anterior,OSD-576; OSD-665; OSD-770,Mus musculus,0,3,-1.2859,0.00407292,-1.2351333333333334,False,consistent,down
84318,CCDC77,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,3,0,1.4261,8.36411e-25,1.2444,False,consistent,up
84530,SRRM4,3,3,3,quadriceps femoris; soleus; tibialis anterior,OSD-104; OSD-576; OSD-666,Mus musculus,0,3,-1.8767,2.1258e-06,-1.8032666666666668,False,consistent,down
84676,TRIM63,3,3,3,extensor digitorum longus; gastrocnemius; quadriceps femoris,OSD-422; OSD-665; OSD-666,Mus musculus; Rattus norvegicus,3,0,1.1129,0.000941755,1.0727666666666666,False,consistent,up
84842,HPDL,3,3,3,extensor digitorum longus; quadriceps femoris; soleus,OSD-103; OSD-770; OSD-99,Mus musculus,2,1,1.3441,1.30423e-07,0.4605333333333334,False,mixed,up
8501,SLC43A1,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,3,0,2.5472,2.62273e-34,2.4978000000000002,False,consistent,up
8614,STC2,3,3,3,extensor digitorum longus; quadriceps femoris; soleus,OSD-665; OSD-666; OSD-770,Mus musculus,3,0,1.6967,5.00843e-10,1.3844333333333332,False,consistent,up
8660,IRS2,3,3,3,extensor digitorum longus; soleus; tibialis anterior,OSD-104; OSD-576; OSD-665,Mus musculus,0,3,-1.7676,0.000148003,-1.5593000000000001,False,consistent,down
