humanSymbol	symbol	hEntrez	direction	l2fc_WT	p_WT	l2fc_KO	p_KO	n_arms	both_samedir	nrf2_dependent	bone_role	bone_evidence	digcfde_bonecat	rdkg_pheno	osteoarthritis	specificity	nTissues	priority	tier
SLC30A1	Slc30a1	7779	↓	-0.259311	0.0398934	-0.489627	2.13028e-05	2	True	False		gwas_strong	fracture|osteoporosis		False			43.3	B
FBXO30	Fbxo30	84085	↓	-0.488422	0.00483057	-0.434277	0.0131586	2	True	False		gwas_strong	BMD|fracture		False			43.3	B
RCN1	Rcn1	5954	↑	0.48381	7.29308e-06	0.285325	0.0131913	2	True	False		gwas_strong	osteoporosis		False			43.2	B
URB2	Urb2	9816	↓	-0.410578	0.00372989	-0.474437	0.000758656	2	True	False		gwas_strong	osteoporosis		False			43.2	B
SMG6	Smg6	23293	↓	-0.468494	0.000411774	-0.390934	0.00411068	2	True	False		gwas_strong	BMD|fracture		True			43.1	B
RAB28	Rab28	9364	↑	0.464644	0.00185512	0.366295	0.0165683	2	True	False		gwas_strong	osteoporosis		False			43.1	B
CMAS	Cmas	55907	↓	-0.385126	0.00989375	-0.459998	0.00148297	2	True	False		gwas_strong	osteoporosis		False			43.1	B
TMED7-TICAM2	Tmed7	100302736	↑	0.457474	3.53547e-07	0.211994	0.033112	2	True	False		gwas_strong	osteoporosis		False			43.0	B
TMED7	Tmed7	51014	↑	0.457474	3.53547e-07	0.211994	0.033112	2	True	False		gwas_strong	osteoporosis		False			43.0	B
FER	Fer	2241	↑	0.456129	5.18969e-05	0.373709	0.000897897	2	True	False		gwas_strong	BMD|fracture		False			43.0	B
ARNTL	Arntl	406	↓	-0.430999	0.00223661	-0.455885	0.00154275	2	True	False		gwas_strong	BMD|fracture		True			43.0	B
RNF144B	Rnf144b	255488	↑	0.453843	0.00032043	0.36033	0.00595401	2	True	False		gwas_strong	osteoporosis		False			43.0	B
