geneEntrez	digcfde_bonecats
2624	BMD|osteoporosis
2625	BMD|fracture
26259	fracture
2626	BMD|fracture
26260	osteolysis_necrosis
26266	osteoporosis
26269	BMD
2627	BMD|fracture
26281	BMD|fracture|osteoporosis
2629	BMD|fracture|osteolysis_necrosis
26290	BMD
26291	BMD
2636	BMD
2637	BMD
2648	BMD|fracture
26503	BMD
26508	BMD
26524	BMD
26532	osteolysis_necrosis
26538	osteolysis_necrosis
26578	BMD|fracture
2658	BMD
26585	BMD|fracture
2660	BMD
2662	BMD
2668	BMD
2674	BMD
26747	BMD
2675	osteoporosis
26762	BMD|fracture
2690	BMD
2692	BMD|fracture
2693	BMD
2697	BMD
27	fracture
27010	osteoporosis
27022	BMD
27023	BMD|osteoporosis
27030	BMD
27031	BMD
27044	BMD
27072	fracture
27074	osteoporosis
27075	fracture
27086	BMD
27097	osteoporosis
27106	BMD|fracture
27115	BMD
2712	osteoporosis
27120	BMD
27121	BMD
27123	BMD|fracture
27124	fracture
27132	BMD
27152	BMD|fracture
27158	BMD
27164	osteoporosis
27185	BMD
2719	BMD|fracture
27190	BMD
271fd1b9fa953cb0eb12	BMD
2720	fracture
27201	BMD
27239	BMD
27252	osteolysis_necrosis
27253	BMD
27255	fracture
27257	BMD
27289	fracture
27291	fracture
27302	BMD
27303	BMD
2731	BMD
27324	BMD
2734	BMD
27345	fracture
27347	BMD
2735	BMD|fracture
2736	BMD|fracture
2737	BMD|fracture
2738	BMD
274	fracture
275	BMD|osteoporosis
2762	BMD|fracture
2767	BMD
2770	BMD
2776	BMD|fracture
2778	fracture
2779	BMD
278	osteoporosis
2781	BMD
2784	BMD
2788	BMD
2796	BMD
28	BMD
2812	BMD|fracture
2822	BMD
28232	BMD
282763	osteoporosis
2830	osteoporosis
283078	BMD
283092	BMD
283093	BMD
2831	osteoporosis
283149	BMD|fracture
283189	fracture
283358	BMD|fracture
283375	BMD|fracture
283576	fracture
283598	BMD
283807	BMD
284018	fracture|osteoporosis
284058	BMD
284067	BMD|fracture|osteoporosis
284207	fracture
284217	osteolysis_necrosis
284252	fracture|osteoporosis
284266	BMD|fracture
284443	BMD
284467	BMD
284654	BMD
284695	BMD
285025	fracture
285051	BMD
28513	BMD
28514	BMD|fracture
285190	BMD
285220	BMD
2853	osteoporosis
285386	osteoporosis
285590	BMD|fracture
285605	BMD|osteoporosis
285636	BMD|fracture
285672	BMD
285704	BMD|fracture
285877	BMD
285941	osteoporosis
286046	BMD
286128	BMD
286144	osteoporosis
286204	BMD|fracture
286319	BMD|fracture|osteoporosis
286749	osteoporosis
287	osteoporosis
287015	BMD
2877	BMD
288	BMD|osteoporosis
2885	BMD
2887	BMD
2888	osteoporosis
2890	osteoporosis
2894	osteoporosis
28951	BMD
28957	BMD
28962	BMD|fracture
28964	BMD
28965	BMD
28982	BMD
28983	fracture
28990	BMD
29	BMD
29035	BMD|osteoporosis
2906	BMD
29072	BMD|fracture
2908	BMD|fracture|osteoporosis
29081	BMD
29091	BMD
29094	osteoporosis
29100	BMD
29102	BMD|fracture
29104	BMD|fracture
29109	BMD
29113	osteoporosis
2913	BMD|fracture
2917	BMD
2931	BMD
2932	BMD|fracture
2937	BMD
2952	BMD
29763	BMD|fracture
2977	BMD
29780	BMD|fracture
2983	osteoporosis
2984	BMD
29886	BMD
29887	BMD|fracture
2989	BMD
29906	osteoporosis
29928	BMD
2993	BMD
29940	fracture
29947	BMD|fracture
29951	osteoporosis
29967	osteoporosis
29970	BMD|osteoporosis
29978	BMD
29985	BMD
29995	BMD
2d3881713a3846a59788	BMD
30010	BMD|osteoporosis
3026	BMD
3043	osteolysis_necrosis
3062	BMD
3065	BMD|fracture
3066	BMD
3069	fracture
3073	BMD|fracture
3074	BMD|fracture
3075	BMD|bone_marker
3080	BMD
3081	BMD
30812	BMD|fracture
3082	BMD|fracture
3084	BMD|osteoporosis
3087	BMD
3090	BMD|fracture
3091	BMD|fracture
3092	BMD
3093	BMD
3094	BMD
3105	BMD
3117	osteoporosis
3122	bone_marker|osteoporosis
3127	osteoporosis
3142	BMD
3159	BMD
3161	BMD|fracture
3166	fracture
3169	BMD
317	BMD|fracture
3170	BMD
3174	osteoporosis
3176	osteoporosis
3190	BMD
3192	BMD
3198	BMD
3199	BMD|fracture
3200	BMD
3201	BMD
3202	BMD
3204	BMD
3205	BMD
3206	BMD|fracture
3207	BMD|fracture
3209	BMD|fracture
320ad6c135a22640880d	osteolysis_necrosis
321	BMD
3213	BMD
3214	BMD
3218	BMD
3219	BMD
3221	BMD|fracture|osteoporosis
3222	BMD|fracture|osteoporosis
3223	BMD|fracture|osteoporosis
3224	BMD|fracture|osteoporosis
3225	BMD|fracture|osteoporosis
3226	BMD|fracture|osteoporosis
3227	BMD
3232	BMD
3235	BMD
3236	BMD|fracture
3237	BMD|fracture
3238	BMD
3239	BMD|fracture
324	BMD|fracture|osteoporosis
3248	BMD
3251	BMD
3269	BMD
3273	osteolysis_necrosis
3280	BMD|fracture
3281	osteoporosis
3295	BMD
3308	BMD|osteoporosis
331	BMD
3312	osteoporosis
3336	BMD|fracture|osteoporosis
3339	BMD|fracture
333926	BMD
333929	BMD
3340	BMD
3350	BMD
3351	fracture
3356	fracture
3357	BMD|fracture
3373	BMD
3375	BMD
337876	BMD|fracture
337878	BMD
337879	BMD
337880	BMD|osteolysis_necrosis
338094	BMD
3381	BMD|fracture|osteoporosis
3382	osteoporosis
3384	osteoporosis
338442	BMD
338761	BMD
338773	BMD|fracture
338811	BMD|osteoporosis
338872	BMD
339291	osteolysis_necrosis
3394	osteoporosis
339416	osteolysis_necrosis
339448	BMD|fracture
339745	fracture
339761	fracture
3398	BMD
339896	BMD
3399	BMD|fracture
339976	BMD
339977	osteolysis_necrosis
3400	BMD|fracture
340069	osteoporosis
340156	BMD|fracture
340204	BMD|osteoporosis
340260	BMD
340267	osteoporosis
340419	BMD|fracture
340665	osteoporosis
340706	BMD
340980	osteoporosis
341	fracture
341019	BMD|fracture|osteoporosis
341359	osteoporosis
341568	BMD
341640	BMD
342035	BMD|fracture
342132	BMD
342184	BMD|fracture
3423	BMD|fracture
342372	BMD
3425	BMD|fracture
342538	BMD
343	osteoporosis
343035	fracture
343263	BMD
343450	BMD
343637	BMD
344	fracture
344022	BMD
344167	BMD
344901	BMD|fracture
345079	BMD
345275	BMD
3456	fracture
345757	BMD
346	fracture
346389	BMD|fracture
346689	osteoporosis
347	osteoporosis
347853	BMD
3479	BMD|fracture|osteoporosis
348	BMD|fracture
3480	BMD
3481	BMD|fracture
348180	BMD
3486	BMD|fracture
3491	BMD|fracture
349136	BMD
351	BMD|osteoporosis
3516	BMD|fracture
352999	fracture
353	BMD
353088	BMD|osteoporosis
353299	osteoporosis
353500	BMD|fracture
3549	BMD|fracture|osteoporosis
3559	osteoporosis
3566	osteoporosis
3569	BMD|fracture
3570	BMD|fracture
3572	BMD|fracture
3574	BMD|osteoporosis
358	BMD|fracture
3586	BMD|fracture
3593	BMD
3594	BMD
359845	BMD|fracture
359948	BMD|fracture
3607	BMD
3611	BMD|fracture
3624	BMD
3630	BMD
3632	BMD
3633	BMD
3635	BMD|fracture
3636	BMD|fracture
3638	fracture
3658	BMD
366	BMD
3662	osteoporosis
3664	BMD|fracture
3667	BMD|fracture
367	BMD
3670	BMD|fracture
3673	BMD|fracture
3675	BMD|osteoporosis
3676	BMD
3685	BMD
3688	BMD|fracture
3690	BMD|fracture
3696	BMD
3704	BMD
3708	BMD|OI
3709	BMD
3714	BMD
3716	BMD|fracture
3717	fracture
3720	BMD|fracture
3725	BMD|fracture
3726	BMD|fracture
3728	BMD|fracture
3732	BMD|osteoporosis
3736	fracture
374	BMD
3741	BMD
3742	BMD|fracture
374786	BMD
374955	fracture
375056	BMD|OI
3751	BMD|fracture
