hEntrez,humanSymbol,mouse_symbols,log2fc,log2fc_mean,adj_p_value,n_mouse_map,sign_flip,assay,osd,tissue,organism
8863,PER3,Per3,-1.167,-1.167,3.32911e-07,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
259249,MRGPRX1,Mrgprb1,1.1604,1.1604,0.000581109,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
117195,MRGPRX3,Mrgprb1,1.1604,1.1604,0.000581109,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
117196,MRGPRX4,Mrgprb1,1.1604,1.1604,0.000581109,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
117194,MRGPRX2,Mrgprb1,1.1604,1.1604,0.000581109,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
51050,PI15,Pi15,1.1571,1.1571,0.00336497,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
54768,HYDIN,Hydin,-1.1554,-1.1554,0.0326614,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
4496,MT1H,Mt1,1.1475,1.1475,9.19215e-07,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
4500,MT1L,Mt1,1.1475,1.1475,9.19215e-07,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
4499,MT1M,Mt1,1.1475,1.1475,9.19215e-07,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
4495,MT1G,Mt1,1.1475,1.1475,9.19215e-07,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
4494,MT1F,Mt1,1.1475,1.1475,9.19215e-07,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
4493,MT1E,Mt1,1.1475,1.1475,9.19215e-07,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
4489,MT1A,Mt1,1.1475,1.1475,9.19215e-07,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
9636,ISG15,Isg15,1.1208,1.1208,0.00160864,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
375057,STUM,Stum,-1.1184,-1.1184,0.038903,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
165055,CCDC138,Ccdc138,1.0894,1.0894,0.0198815,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
6659,SOX4,Sox4,1.0867,1.0867,6.15553e-09,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
4585,MUC4,Muc4,-1.0819,-1.0819,0.00458505,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
54360,CYTL1,Cytl1,1.0664,1.0664,0.00416835,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
4783,NFIL3,Nfil3,1.0633,1.0633,1.28056e-11,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
1026,CDKN1A,Cdkn1a,1.0249,1.0249,0.00115189,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
80339,PNPLA3,Pnpla3,1.0111,1.0111,0.0464669,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
252969,NEIL2,Neil2,-1.0065,-1.0065,0.0403796,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
3872,KRT17,Krt17,21.866,21.866,1.41396e-11,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
147183,KRT25,Krt25,8.3505,8.3505,0.0251392,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
3861,KRT14,Krt14,8.2965,8.2965,0.0262169,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
