hEntrez	humanSymbol	symbol	mEntrez	log2fc	log2fc_mean	adj_p_value	n_mouse_map	digcfde_bonecat	rdkg_pheno	osteoarthritis	bone_loss_gene	in_digcfde_bg
80306	MED28	Med28	66999	0.392436	0.392436	0.0238806	1			False	False	True
80312	TET1	Tet1	52463	-0.709143	-0.709143	0.0224287	1			False	False	True
80315	CPEB4	Cpeb4	67579	-0.635497	-0.635497	1.11202e-05	1			False	False	True
80332	ADAM33	Adam33	110751	-1.01913	-1.01913	0.0026201	1			False	False	True
80336	PABPC1L	Pabpc1l	381404	0.767074	0.767074	0.000209132	1			False	False	True
80346	REEP4	Reep4	72549	-0.291481	-0.291481	0.030522	1			False	False	True
80349	WDR61	Wdr61	66317	0.350096	0.350096	0.0424886	1	osteoporosis		False	True	True
8036	SHOC2	Shoc2	56392	0.288199	0.288199	0.00592499	1			False	False	True
8038	ADAM12	Adam12	11489	-1.26119	-1.26119	0.0103065	1	fracture		False	True	True
805	CALM2	Calm2	12314	0.311299	0.311299	0.0054192	1			False	False	True
80700	UBXN6	Ubxn6	66530	0.367029	0.367029	0.0104559	1			False	False	True
80724	ACAD10	Acad12	338350	0.853107	0.853107	0.00149227	1			False	False	True
80737	VWA7	Vwa7	27762	-1.2179	-1.2179	0.0423424	1			False	False	True
80739	MPIG6B	Mpig6b	106722	-0.863508	-0.863508	0.0196826	1			False	False	True
80762	NDFIP1	Ndfip1	65113	0.354643	0.354643	0.00115698	1			False	False	True
80774	LIMD2	Limd2	67803	0.37884	0.37884	0.000413723	1			False	False	True
80778	ZNF34	Zfp984	100041677	0.714722	0.5492687999999999	6.07208e-06	5			False	False	True
808	CALM3	Calm3	12315	0.274969	0.274969	0.00775156	1			False	False	True
80820	EEPD1	Eepd1	67484	0.309827	0.309827	0.036905	1			False	False	True
80821	DDHD1	Ddhd1	114874	-0.472625	-0.472625	0.0022666	1	BMD|fracture		False	True	True
80832	APOL4	Apol11a	626615	-2.1317	-1.464551	2.53484e-07	4			False	False	True
80833	APOL3	Apol11a	626615	-2.1317	-1.464551	2.53484e-07	4			False	False	True
80896	NPL	Npl	74091	0.912436	0.912436	2.71805e-05	1			False	False	True
81037	CLPTM1L	Clptm1l	218335	0.210404	0.210404	0.0234005	1			False	False	True
8110	DPF3	Dpf3	70127	-0.742312	-0.742312	9.31647e-05	1	osteoporosis		False	True	True
813	CALU	Calu	12321	0.317637	0.317637	0.000210734	1			False	False	True
8131	NPRL3	Nprl3	17168	-0.828275	-0.828275	1.58748e-05	1	BMD		False	True	True
8139	GAN	Gan	209239	-0.711167	-0.711167	1.6642e-05	1			False	False	True
8140	SLC7A5	Slc7a5	20539	-0.8565	-0.8565	0.000100162	1			False	False	True
81490	PTDSS2	Ptdss2	27388	-0.81516	-0.81516	5.13536e-07	1			False	False	True
81533	ITFG1	Itfg1	71927	0.300719	0.300719	0.000401004	1			False	False	True
81537	SGPP1	Sgpp1	81535	0.266021	0.266021	0.000426039	1			False	False	True
81552	VOPP1	Vopp1	232023	-0.527546	-0.527546	0.00118297	1			False	False	True
81558	FAM117A	Fam117a	215512	-0.669609	-0.669609	1.53962e-05	1			False	False	True
81565	NDEL1	Ndel1	83431	0.24731	0.24731	0.0232267	1			False	False	True
81575	APOLD1	Apold1	381823	-0.72185	-0.72185	0.000470928	1			False	False	True
81602	CDADC1	Cdadc1	71891	0.332446	0.332446	0.0405795	1			False	False	True
81608	FIP1L1	Fip1l1	66899	-0.245419	-0.245419	0.010383	1			False	False	True
81611	ANP32E	Anp32e	66471	-0.319065	-0.319065	0.0225689	1	BMD		False	True	True
81618	ITM2C	Itm2c	64294	0.636059	0.636059	2.60065e-07	1			False	False	True
81624	DIAPH3	Diaph3	56419	-0.44129	-0.44129	0.00789584	1	BMD		False	True	True
81669	CCNL2	Ccnl2	56036	-0.33815	-0.33815	0.0266681	1			False	False	True
817	CAMK2D	Camk2d	108058	-0.471261	-0.471261	0.00807438	1	osteoporosis		False	True	True
81839	VANGL1	Vangl1	229658	-0.681217	-0.681217	0.0019186	1	BMD		False	True	True
81844	TRIM56	Trim56	384309	-0.368999	-0.368999	0.00695387	1			False	False	True
