hEntrez	humanSymbol	symbol	mEntrez	log2fc	log2fc_mean	adj_p_value	n_mouse_map	digcfde_bonecat	rdkg_pheno	osteoarthritis	bone_loss_gene	in_digcfde_bg
27159	CHIA	Chil3	12655	0.728948	0.728948	7.43013e-12	1			False	False	True
27161	AGO2	Ago2	239528	-0.833939	-0.833939	2.99875e-06	1		Osteoporosis|Osteopenia	False	True	True
27166	PRELID1	Prelid1	66494	0.269013	0.269013	0.00300742	1			False	False	True
27173	SLC39A1	Slc39a1	30791	0.244483	0.244483	0.0246509	1			False	False	True
272	AMPD3	Ampd3	11717	-0.479798	-0.479798	0.000462583	1			False	False	True
27236	ARFIP1	Arfip1	99889	0.360843	0.360843	0.000249261	1			False	False	True
27241	BBS9	Bbs9	319845	0.344581	0.344581	0.0323477	1			False	False	True
27243	CHMP2A	Chmp2a	68953	0.357212	0.357212	0.000471554	1			False	False	True
27245	AHDC1	Ahdc1	230793	-1.05011	-1.05011	0.000286828	1			False	False	True
27246	RNF115	Rnf115	67845	0.315032	0.315032	0.000510435	1			False	False	True
27247	NFU1	Nfu1	56748	0.47537	0.47537	7.87054e-07	1			False	False	True
2729	GCLC	Gclc	14629	-0.512019	-0.512019	0.000836032	1			False	False	True
27294	DHDH	Dhdh	71755	0.350537	0.350537	0.0445522	1			False	False	True
2730	GCLM	Gclm	14630	-0.41803	-0.41803	0.0285966	1			False	False	True
27303	RBMS3	Rbms3	207181	-1.00375	-1.00375	0.0367173	1	BMD		False	True	True
27334	P2RY10	P2ry10	78826	0.601478	0.601478	0.00974045	1			False	False	True
2734	GLG1	Glg1	20340	-0.506239	-0.506239	0.00556182	1	BMD		False	True	True
27347	STK39	Stk39	53416	0.532292	0.532292	0.0205322	1	BMD		False	True	True
27351	DESI1	Desi1	28075	-0.236154	-0.236154	0.0498157	1			False	False	True
27352	SGSM3	Sgsm3	105835	-0.48545	-0.48545	0.048671	1			False	False	True
27443	CECR2	Cecr2	330409	-0.811331	-0.811331	6.52066e-06	1			False	False	True
2745	GLRX	Glrx	93692	0.427506	0.427506	6.60541e-05	1			False	False	True
2762	GMDS	Gmds	218138	0.351168	0.351168	0.00784827	1	BMD|fracture		False	True	True
2764	GMFB	Gmfb	63985	0.262834	0.262834	0.0418806	1			False	False	True
2767	GNA11	Gna11	14672	-0.527256	-0.527256	0.00361909	1	BMD		False	True	True
2773	GNAI3	Gnai3	14679	0.433917	0.433917	7.26587e-06	1			False	False	True
2787	GNG5	Gng5	14707	0.406579	0.406579	2.54743e-05	1			False	False	True
2790	GNG10	Gng10	14700	0.429804	0.429804	0.0114663	1			False	False	True
2799	GNS	Gns	75612	-0.359757	-0.359757	0.0257076	1			False	False	True
2801	GOLGA2	Golga2	99412	-0.516335	-0.516335	0.00812759	1			False	False	True
