hEntrez	humanSymbol	symbol	l2fc_WT	p_WT	digcfde_bonecat	rdkg_pheno	osteoarthritis	bone_loss_gene	l2fc_KO	p_KO	nTissues	specificity	bone_role	sig_WT	sig_KO	n_arms	direction	maxabs	both_samedir	nrf2_dependent	bone_evidence	priority	tier
10412	NSA2	Nsa2					False	False	0.304567	0.0198744				False	True	1	↑	0.304567		False	none	12.0	C
10418	SPON1	Spon1			BMD		False	True	-0.907793	0.0155008				False	True	1	↓	0.907793		True	gwas_bmd	32.1	C
10420	TESK2	Tesk2	0.280223	0.0224013			False	False	0.373455	0.00161367				True	True	2	↑	0.373455	True	False	none	27.5	C
10422	UBAC1	Ubac1	-0.589466	0.000260508			False	False	-0.598978	0.000190652				True	True	2	↓	0.598978	True	False	none	29.0	C
10424	PGRMC2	Pgrmc2			BMD		False	True	-0.507897	8.88775e-05				False	True	1	↓	0.507897		True	gwas_bmd	29.4	C
10426	TUBGCP3	Tubgcp3					False	False	-0.256814	0.0344835				False	True	1	↓	0.256814		False	none	11.7	C
10428	CFDP1	Cfdp1	0.364497	0.0101765			False	False	0.579277	9.2253e-06				True	True	2	↑	0.579277	True	False	none	28.9	C
1043	CD52	Cd52	0.799658	5.08769e-17			False	False	0.478366	2.05699e-06				True	True	2	↑	0.799658	True	False	none	30.3	C
10432	RBM14	Rbm14			BMD		False	True	-0.75811	1.03333e-05				False	True	1	↓	0.75811		True	gwas_bmd	31.1	C
10434	LYPLA1	Lypla1	0.296739	0.0199046			False	False	0.401965	0.000835873				True	True	2	↑	0.401965	True	False	none	27.7	C
10444	ZER1	Zer1					False	False	-0.421299	0.0259946				False	True	1	↓	0.421299		False	none	12.8	C
10449	ACAA2	Acaa2	0.55345	0.00140232			False	False						True	False	1	↑	0.55345		False	none	13.7	C
10450	PPIE	Ppie	0.501723	0.000549734			False	False						True	False	1	↑	0.501723		False	none	13.3	C
10451	VAV3	Vav3	0.263067	0.0328925			False	False	0.314389	0.00889483				True	True	2	↑	0.314389	True	False	none	27.1	C
10454	TAB1	Tab1					False	False	-0.378224	0.00494214				False	True	1	↓	0.378224		False	none	12.5	C
10456	HAX1	Hax1	0.309173	0.0299116			False	False	0.290487	0.0410477				True	True	2	↑	0.309173	True	False	none	27.1	C
10460	TACC3	Tacc3					False	False	-0.265342	0.0498157				False	True	1	↓	0.265342		False	none	11.8	C
10462	CLEC10A	Mgl2	0.593205	0.00215457			False	False						True	False	1	↑	0.593205		False	none	14.0	C
10463	SLC30A9	Slc30a9	-0.468599	0.00306154			False	False	-0.413224	0.009748				True	True	2	↓	0.468599	True	False	none	28.1	C
10466	COG5	Cog5					False	False	0.228384	0.0378355				False	True	1	↑	0.228384		False	none	11.5	C
10467	ZNHIT1	Znhit1	0.430609	1.12797e-05			False	False	0.437359	6.57197e-06				True	True	2	↑	0.437359	True	False	none	27.9	C
10469	TIMM44	Timm44					False	False	0.306164	0.0160186				False	True	1	↑	0.306164		False	none	12.0	C
10476	ATP5PD	Atp5pd	0.569921	0.000168928			False	False	0.331339	0.0432896				True	True	2	↑	0.569921	True	False	none	28.8	C
10477	UBE2E3	Ube2e3			BMD		False	True	-0.26514	0.0200494				False	True	1	↓	0.26514		True	gwas_bmd	27.8	C
10480	EIF3M	Eif3m	0.456939	0.00751675			False	False						True	False	1	↑	0.456939		False	none	13.0	C
10482	NXF1	Nxf1					False	False	-0.38009	0.000377027				False	True	1	↓	0.38009		False	none	12.5	C
10487	CAP1	Cap1	0.319459	0.0377549			False	False						True	False	1	↑	0.319459		False	none	12.1	C
10488	CREB3	Creb3	0.416485	0.00809665			False	False						True	False	1	↑	0.416485		False	none	12.8	C
10490	VTI1B	Vti1b	0.57483	0.000182852			False	False	0.470375	0.00251304				True	True	2	↑	0.57483	True	False	none	28.8	C
10498	CARM1	Carm1	-0.566917	0.000219514			False	False	-0.835793	2.45645e-08				True	True	2	↓	0.835793	True	False	none	30.6	C
