fips,disease,prevalence,nplaces
16049,arteriosclerosis,26.7,6
16051,arteriosclerosis,29.22,5
16053,arteriosclerosis,29.93,3
16055,arteriosclerosis,28.9,13
16057,arteriosclerosis,26.42,10
16059,arteriosclerosis,27.7,2
16061,arteriosclerosis,26.47,3
16063,arteriosclerosis,28.87,3
16065,arteriosclerosis,30.7,2
16067,arteriosclerosis,28.9,5
16069,arteriosclerosis,27.3,5
16071,arteriosclerosis,27.7,1
16073,arteriosclerosis,28.82,4
16075,arteriosclerosis,30.77,3
16077,arteriosclerosis,29.13,3
16079,arteriosclerosis,27.61,7
16081,arteriosclerosis,27.27,3
16083,arteriosclerosis,27.2,8
16085,arteriosclerosis,27.72,4
16087,arteriosclerosis,28.77,3
17001,arteriosclerosis,28.42,13
17003,arteriosclerosis,29.62,6
17005,arteriosclerosis,29.08,6
17007,arteriosclerosis,28.87,6
17009,arteriosclerosis,29.22,4
17011,arteriosclerosis,29.4,22
17013,arteriosclerosis,29.16,5
17015,arteriosclerosis,29.56,7
17017,arteriosclerosis,28.92,5
17019,arteriosclerosis,28.89,25
17021,arteriosclerosis,29.42,13
17023,arteriosclerosis,29.22,4
17025,arteriosclerosis,29.93,6
17027,arteriosclerosis,29.37,11
17029,arteriosclerosis,29.97,6
17031,arteriosclerosis,27.12,102
17033,arteriosclerosis,29.18,6
17035,arteriosclerosis,29.42,4
17037,arteriosclerosis,29.29,10
17039,arteriosclerosis,29.03,7
17041,arteriosclerosis,29.53,7
17043,arteriosclerosis,27.2,20
17045,arteriosclerosis,29.58,8
17047,arteriosclerosis,29.72,4
17049,arteriosclerosis,28.97,9
17051,arteriosclerosis,30.16,5
17053,arteriosclerosis,28.95,8
17055,arteriosclerosis,30.17,15
17057,arteriosclerosis,29.29,17
17059,arteriosclerosis,29.9,6
17061,arteriosclerosis,29.41,8
17063,arteriosclerosis,29.55,8
17065,arteriosclerosis,29.07,3
17067,arteriosclerosis,29.67,12
17069,arteriosclerosis,29.87,3
17071,arteriosclerosis,28.93,7
17073,arteriosclerosis,28.48,13
17075,arteriosclerosis,29.43,20
17077,arteriosclerosis,29.81,11
17079,arteriosclerosis,29.33,7
17081,arteriosclerosis,29.51,10
17083,arteriosclerosis,29.26,5
17085,arteriosclerosis,29.61,12
17087,arteriosclerosis,29.97,6
17089,arteriosclerosis,29.92,18
17091,arteriosclerosis,29.96,17
17093,arteriosclerosis,29.35,8
17095,arteriosclerosis,29.13,16
17097,arteriosclerosis,27.99,50
17099,arteriosclerosis,28.59,22
17101,arteriosclerosis,30.36,5
17103,arteriosclerosis,29.22,11
17105,arteriosclerosis,29.6,12
17107,arteriosclerosis,29.36,13
17109,arteriosclerosis,28.91,12
17111,arteriosclerosis,27.9,24
17113,arteriosclerosis,28.11,22
17115,arteriosclerosis,28.38,13
17117,arteriosclerosis,29.15,24
17119,arteriosclerosis,30.73,28
17121,arteriosclerosis,29.73,12
17123,arteriosclerosis,28.67,7
17125,arteriosclerosis,29.53,9
17127,arteriosclerosis,30.13,3
17129,arteriosclerosis,28.73,6
17131,arteriosclerosis,29.57,10
17133,arteriosclerosis,28.37,3
17135,arteriosclerosis,29.98,15
17137,arteriosclerosis,28.99,10
17139,arteriosclerosis,29.38,6
17141,arteriosclerosis,28.97,14
17143,arteriosclerosis,28.08,16
17145,arteriosclerosis,29.43,6
17147,arteriosclerosis,28.66,9
17149,arteriosclerosis,29.48,13
17151,arteriosclerosis,30.3,1
17153,arteriosclerosis,29.76,7
17155,arteriosclerosis,28.88,6
17157,arteriosclerosis,29.79,12
17159,arteriosclerosis,29.34,5
17161,arteriosclerosis,27.81,14
17163,arteriosclerosis,28.16,28
17165,arteriosclerosis,29.65,6
17167,arteriosclerosis,28.09,26
17169,arteriosclerosis,30.22,4
17171,arteriosclerosis,29.34,7
17173,arteriosclerosis,29.29,11
17175,arteriosclerosis,29.5,4
17177,arteriosclerosis,28.35,11
17179,arteriosclerosis,28.64,15
17181,arteriosclerosis,30.28,5
17183,arteriosclerosis,29.9,21
17185,arteriosclerosis,29.3,4
17187,arteriosclerosis,28.68,4
17189,arteriosclerosis,28.88,12
17191,arteriosclerosis,29.24,8
17193,arteriosclerosis,29.86,7
17195,arteriosclerosis,29.89,11
17197,arteriosclerosis,29.62,22
17199,arteriosclerosis,29.72,14
17201,arteriosclerosis,27.49,9
17203,arteriosclerosis,28.75,11
18001,arteriosclerosis,31.32,4
18003,arteriosclerosis,30.37,9
18005,arteriosclerosis,30.59,7
18007,arteriosclerosis,31.7,5
18009,arteriosclerosis,31.57,3
18011,arteriosclerosis,30.74,5
18013,arteriosclerosis,29.4,2
18015,arteriosclerosis,31.44,5
18017,arteriosclerosis,32.62,5
18019,arteriosclerosis,30.08,9
18021,arteriosclerosis,31.51,8
18023,arteriosclerosis,30.95,6
18025,arteriosclerosis,32.72,4
18027,arteriosclerosis,32.26,8
18029,arteriosclerosis,30.46,9
18031,arteriosclerosis,30.58,5
18033,arteriosclerosis,30.09,7
18035,arteriosclerosis,33.35,6
18037,arteriosclerosis,30.58,6
18039,arteriosclerosis,30.26,9
18041,arteriosclerosis,33.5,1
18043,arteriosclerosis,30.0,4
18045,arteriosclerosis,31.78,8
18047,arteriosclerosis,30.27,6
18049,arteriosclerosis,30.8,4
18051,arteriosclerosis,30.75,10
18053,arteriosclerosis,30.21,15
18055,arteriosclerosis,32.0,9
18057,arteriosclerosis,30.84,8
18059,arteriosclerosis,31.32,5
18061,arteriosclerosis,30.39,7
18063,arteriosclerosis,31.36,11
18065,arteriosclerosis,29.66,14
18067,arteriosclerosis,30.4,3
18069,arteriosclerosis,32.46,5
18071,arteriosclerosis,30.93,6
18073,arteriosclerosis,30.96,5
18075,arteriosclerosis,31.05,4
18077,arteriosclerosis,30.96,5
18079,arteriosclerosis,31.53,6
18081,arteriosclerosis,31.66,7
18083,arteriosclerosis,31.22,13
18085,arteriosclerosis,28.72,13
18087,arteriosclerosis,31.8,4
18089,arteriosclerosis,31.35,21
18091,arteriosclerosis,32.3,15
18093,arteriosclerosis,30.8,5
18095,arteriosclerosis,32.55,11
18097,arteriosclerosis,31.02,13
18099,arteriosclerosis,31.03,6
18101,arteriosclerosis,32.66,5
18103,arteriosclerosis,31.68,6
18105,arteriosclerosis,30.28,5
18107,arteriosclerosis,31.22,11
18109,arteriosclerosis,29.81,7
18111,arteriosclerosis,31.73,6
18113,arteriosclerosis,32.39,7
18115,arteriosclerosis,30.6,1
18117,arteriosclerosis,31.25,4
18119,arteriosclerosis,31.55,2
18121,arteriosclerosis,31.35,6
18123,arteriosclerosis,30.87,3
18125,arteriosclerosis,31.75,4
18127,arteriosclerosis,29.69,15
18129,arteriosclerosis,29.32,6
18131,arteriosclerosis,31.54,5
18133,arteriosclerosis,31.82,8
18135,arteriosclerosis,30.71,9
18137,arteriosclerosis,32.55,6
18139,arteriosclerosis,30.8,5
18141,arteriosclerosis,29.35,11
18143,arteriosclerosis,31.55,2
18145,arteriosclerosis,31.55,4
18147,arteriosclerosis,30.88,9
18149,arteriosclerosis,31.32,5
18151,arteriosclerosis,30.28,5
18153,arteriosclerosis,31.49,7
18155,arteriosclerosis,31.97,3
18157,arteriosclerosis,31.07,12
18159,arteriosclerosis,30.78,4
18161,arteriosclerosis,30.55,2
18163,arteriosclerosis,31.9,4
18165,arteriosclerosis,32.61,9
18167,arteriosclerosis,33.27,11
18169,arteriosclerosis,29.77,7
18171,arteriosclerosis,31.28,4
18173,arteriosclerosis,30.37,6
18175,arteriosclerosis,30.29,8
18177,arteriosclerosis,32.09,14
18179,arteriosclerosis,30.05,4
18181,arteriosclerosis,30.78,10
18183,arteriosclerosis,30.26,5
19001,arteriosclerosis,28.95,4
19003,arteriosclerosis,29.87,3
19005,arteriosclerosis,30.44,5
19007,arteriosclerosis,30.26,7
19009,arteriosclerosis,29.76,5
19011,arteriosclerosis,29.54,14
19013,arteriosclerosis,30.45,10
19015,arteriosclerosis,29.9,6
19017,arteriosclerosis,28.18,6
19019,arteriosclerosis,31.02,8
19021,arteriosclerosis,33.15,10
19023,arteriosclerosis,30.43,9
19025,arteriosclerosis,29.61,7
19027,arteriosclerosis,29.33,10
19029,arteriosclerosis,29.02,8
19031,arteriosclerosis,29.79,7
19033,arteriosclerosis,30.95,10
19035,arteriosclerosis,29.24,8
19037,arteriosclerosis,29.8,6
19039,arteriosclerosis,29.7,3
19041,arteriosclerosis,30.23,7
19043,arteriosclerosis,30.68,12
19045,arteriosclerosis,29.29,14
19047,arteriosclerosis,29.96,11
19049,arteriosclerosis,30.02,12
19051,arteriosclerosis,30.72,4
19053,arteriosclerosis,30.93,7
19055,arteriosclerosis,29.86,10
19057,arteriosclerosis,28.93,6
19059,arteriosclerosis,29.24,10
19061,arteriosclerosis,29.5,15
19063,arteriosclerosis,30.53,6
19065,arteriosclerosis,29.82,12
19067,arteriosclerosis,27.75,6
19069,arteriosclerosis,28.88,9
19071,arteriosclerosis,30.99,9
19073,arteriosclerosis,30.63,7
19075,arteriosclerosis,28.48,9
19077,arteriosclerosis,29.13,9
19079,arteriosclerosis,29.09,8
19081,arteriosclerosis,30.42,8
19083,arteriosclerosis,30.34,10
19085,arteriosclerosis,30.35,10
19087,arteriosclerosis,30.37,9
19089,arteriosclerosis,29.55,4
19091,arteriosclerosis,30.65,8
19093,arteriosclerosis,29.16,5
19095,arteriosclerosis,28.25,13
19097,arteriosclerosis,29.27,11
19099,arteriosclerosis,30.53,11
19101,arteriosclerosis,29.63,7
19103,arteriosclerosis,26.86,12
19105,arteriosclerosis,30.42,10
19107,arteriosclerosis,29.28,12
19109,arteriosclerosis,29.79,12
