fips,indicator,value
18099,food_insecurity,11.6
18101,food_insecurity,11.7
18103,food_insecurity,14.3
18105,food_insecurity,13.3
18107,food_insecurity,11.5
18109,food_insecurity,9.9
18111,food_insecurity,12.4
18113,food_insecurity,11.0
18115,food_insecurity,11.8
18117,food_insecurity,16.3
18119,food_insecurity,13.5
18121,food_insecurity,12.6
18123,food_insecurity,12.3
18125,food_insecurity,10.9
18127,food_insecurity,10.7
18129,food_insecurity,9.7
18131,food_insecurity,12.0
18133,food_insecurity,10.6
18135,food_insecurity,12.5
18137,food_insecurity,11.7
18139,food_insecurity,13.2
18141,food_insecurity,13.2
18143,food_insecurity,16.7
18145,food_insecurity,12.0
18147,food_insecurity,10.1
18149,food_insecurity,14.4
18151,food_insecurity,10.8
18153,food_insecurity,13.1
18155,food_insecurity,17.4
18157,food_insecurity,12.5
18159,food_insecurity,10.7
18161,food_insecurity,9.9
18163,food_insecurity,14.0
18165,food_insecurity,14.5
18167,food_insecurity,15.3
18169,food_insecurity,11.8
18171,food_insecurity,11.1
18173,food_insecurity,8.4
18175,food_insecurity,13.3
18177,food_insecurity,14.6
18179,food_insecurity,9.9
18181,food_insecurity,10.4
18183,food_insecurity,10.4
19001,food_insecurity,8.9
19003,food_insecurity,8.7
19005,food_insecurity,7.6
19007,food_insecurity,13.2
19009,food_insecurity,8.0
19011,food_insecurity,6.9
19013,food_insecurity,9.8
19015,food_insecurity,6.4
19017,food_insecurity,5.3
19019,food_insecurity,6.5
19021,food_insecurity,6.5
19023,food_insecurity,8.1
19025,food_insecurity,7.6
19027,food_insecurity,6.4
19029,food_insecurity,8.2
19031,food_insecurity,6.0
19033,food_insecurity,8.3
19035,food_insecurity,7.9
19037,food_insecurity,7.0
19039,food_insecurity,10.9
19041,food_insecurity,8.8
19043,food_insecurity,9.9
19045,food_insecurity,10.4
19047,food_insecurity,10.3
19049,food_insecurity,4.5
19051,food_insecurity,6.8
19053,food_insecurity,10.2
19055,food_insecurity,6.3
19057,food_insecurity,11.5
19059,food_insecurity,7.3
19061,food_insecurity,7.9
19063,food_insecurity,8.1
19065,food_insecurity,9.3
19067,food_insecurity,10.0
19069,food_insecurity,8.2
19071,food_insecurity,6.3
19073,food_insecurity,8.6
19075,food_insecurity,5.1
19077,food_insecurity,7.1
19079,food_insecurity,6.5
19081,food_insecurity,8.2
19083,food_insecurity,7.7
19085,food_insecurity,7.3
19087,food_insecurity,8.6
19089,food_insecurity,6.8
19091,food_insecurity,9.3
19093,food_insecurity,7.9
19095,food_insecurity,6.5
19097,food_insecurity,8.5
19099,food_insecurity,8.0
19101,food_insecurity,9.9
19103,food_insecurity,7.6
19105,food_insecurity,7.8
19107,food_insecurity,9.6
19109,food_insecurity,8.6
19111,food_insecurity,9.9
19113,food_insecurity,7.5
19115,food_insecurity,6.8
19117,food_insecurity,10.1
19119,food_insecurity,3.9
19121,food_insecurity,6.1
19123,food_insecurity,9.3
19125,food_insecurity,7.3
19127,food_insecurity,8.5
19129,food_insecurity,6.5
19131,food_insecurity,5.9
19133,food_insecurity,9.8
19135,food_insecurity,9.3
19137,food_insecurity,9.0
19139,food_insecurity,7.2
19141,food_insecurity,7.7
19143,food_insecurity,7.3
19145,food_insecurity,9.2
19147,food_insecurity,6.9
19149,food_insecurity,6.0
19151,food_insecurity,7.8
19153,food_insecurity,8.0
