sym,goid,goLabel
FOXO3,GO_0010508,positive regulation of autophagy
DCN,GO_0010508,positive regulation of autophagy
FOXO1,GO_0010508,positive regulation of autophagy
PRKAA1,GO_0010508,positive regulation of autophagy
PDK4,GO_0010510,regulation of pyruvate decarboxylation to acetyl-CoA
HTR2C,GO_0010513,positive regulation of phosphatidylinositol biosynthetic process
THBD,GO_0010544,negative regulation of platelet activation
CD40,GO_0010557,positive regulation of macromolecule biosynthetic process
TNFRSF1A,GO_0010557,positive regulation of macromolecule biosynthetic process
MYC,GO_0010564,regulation of cell cycle process
PDK4,GO_0010565,regulation of ketone metabolic process
PPARA,GO_0010565,regulation of ketone metabolic process
SELP,GO_0010572,positive regulation of platelet activation
TNF,GO_0010573,vascular endothelial growth factor production
IL6,GO_0010573,vascular endothelial growth factor production
IL6R,GO_0010573,vascular endothelial growth factor production
HIF1A,GO_0010573,vascular endothelial growth factor production
IL6,GO_0010574,regulation of vascular endothelial growth factor production
TGFB1,GO_0010575,positive regulation of vascular endothelial growth factor production
IL6,GO_0010575,positive regulation of vascular endothelial growth factor production
RORA,GO_0010575,positive regulation of vascular endothelial growth factor production
HIF1A,GO_0010575,positive regulation of vascular endothelial growth factor production
PIK3CA,GO_0010592,positive regulation of lamellipodium assembly
EGF,GO_0010595,positive regulation of endothelial cell migration
FGF2,GO_0010595,positive regulation of endothelial cell migration
KDR,GO_0010595,positive regulation of endothelial cell migration
EGF,GO_0010604,positive regulation of macromolecule metabolic process
PTEN,GO_0010604,positive regulation of macromolecule metabolic process
LDLR,GO_0010605,negative regulation of macromolecule metabolic process
TNFRSF1A,GO_0010614,negative regulation of cardiac muscle hypertrophy
EGF,GO_0010628,positive regulation of gene expression
LDLR,GO_0010628,positive regulation of gene expression
TGFB1,GO_0010628,positive regulation of gene expression
MYC,GO_0010628,positive regulation of gene expression
TNF,GO_0010628,positive regulation of gene expression
TP53,GO_0010628,positive regulation of gene expression
HSPA1A,GO_0010628,positive regulation of gene expression
IL6,GO_0010628,positive regulation of gene expression
RARA,GO_0010628,positive regulation of gene expression
VDR,GO_0010628,positive regulation of gene expression
