trait,tlabel,n_genes
https://purl.org/okn/frink/kg/digcfdekg/node/trait/8a1c7ae8b81e9b648213,Lumbar spine bone mineral density,34
https://purl.org/okn/frink/kg/digcfdekg/node/trait/ff3810427c33f873701c,respiratory system disease,34
http://www.orpha.net/ORDO/Orphanet_139024,Overgrowth/obesity syndrome,34
http://www.orpha.net/ORDO/Orphanet_180208,Anomaly of puberty or/and menstrual cycle,34
http://www.orpha.net/ORDO/Orphanet_506222,Rare disorder potentially indicated for lung transplant,34
https://purl.org/okn/frink/kg/digcfdekg/node/trait/d5aff9bb0a99ace86281,Dietary fat intake adj BMI,33
http://www.ebi.ac.uk/efo/EFO_0009924,Drugs used in diabetes use measurement,33
https://purl.org/okn/frink/kg/digcfdekg/node/trait/a20940c95b19506c925b,red blood cell density measurement,33
http://www.orpha.net/ORDO/Orphanet_202940,Anomaly of puberty or/and menstrual cycle of genetic origin,33
https://purl.org/okn/frink/kg/digcfdekg/node/trait/c8d9659b8b26fd0ba97a,blood protein measurement,33
http://www.ebi.ac.uk/efo/EFO_0007785,Femoral neck bone mineral density,33
https://purl.org/okn/frink/kg/digcfdekg/node/trait/311ab0016708b6795d2a,All ischemic stroke,33
http://www.ebi.ac.uk/efo/EFO_0007996,eosinophil percentage of granulocytes,33
https://purl.org/okn/frink/kg/digcfdekg/node/trait/d8985d6b4525404861b4,Secondary hypothyroidism,33
http://www.orpha.net/ORDO/Orphanet_156601,Rare genetic hepatic disease,33
http://www.orpha.net/ORDO/Orphanet_97929,Rare cardiac disease,33
https://purl.org/okn/frink/kg/digcfdekg/node/trait/5380f3f182b9dea1b865,Tibia length to body height ratio,33
http://www.orpha.net/ORDO/Orphanet_95488,Non-acquired pituitary hormone deficiency,33
https://purl.org/okn/frink/kg/digcfdekg/node/trait/be76d82a1d2458ec379a,Knee and-or hip osteoarthritis,33
http://www.orpha.net/ORDO/Orphanet_183422,Polymalformative genetic syndrome with increased risk of developing cancer,33
http://www.ebi.ac.uk/efo/EFO_0004338,body weight,33
http://www.orpha.net/ORDO/Orphanet_506216,Rare disorder potentially indicated for bowel transplant,33
https://purl.org/okn/frink/kg/digcfdekg/node/trait/af2fbbd85bf5bbd4da23,Any osteoarthritis,33
http://www.orpha.net/ORDO/Orphanet_139027,Rare developmental defect with skin/mucosae involvement,32
