chemical,disease,category,genes_ICE_x_rdkg,effect_domain,aop_curated,min_AC50_uM,key_genes,n_evidence_types,tier
TCBPA,type 2 diabetes mellitus,Metabolic,6,1,0,1.83,ICAM1|PAX6|PPARA|PPARG|TIMP1|TNF,2,B
TBu-EBP,liver cancer,Cancer,6,1,0,1.565,IL2|IL6|NR1H4|PTEN|RARA|TNF,2,B
BPE,breast carcinoma,Hormone-dependent cancer,6,1,0,0.247,AR|ESR1|ESR2|H2AX|PGR|VDR,2,B
BPE,prostate cancer,Hormone-dependent cancer,6,1,0,0.247,AR|ESR1|ESR2|NFE2L2|PPARA|VDR,2,B
BPS,prostate cancer,Hormone-dependent cancer,6,1,0,0.797,AR|CYP19A1|ESR1|ESR2|NR3C1|PPARA,2,B
"3,3-diMe-BPA",endometrial carcinoma,Hormone-dependent cancer,6,1,0,0.286,CCL2|CXCL8|ESR1|ESR2|NFE2L2|PGR,2,B
TCBPA,endometrial carcinoma,Hormone-dependent cancer,6,1,0,0.2,CCL2|CXCL8|ESR1|ESR2|NFE2L2|PGR,2,B
BADGE,unipolar depression,Neuro-behavioral,6,1,0,16.017,AR|ESR1|ESR2|HIF1A|NR3C1|RORA,2,B
BPAP,non-alcoholic steatohepatitis,Metabolic/Liver,5,1,0,1.248,NFE2L2|NR1H4|NR1I2|SREBF1|XBP1,2,B
BPE,non-alcoholic steatohepatitis,Metabolic/Liver,5,1,0,21.767,NFE2L2|NR1I2|PPARA|PPARD|XBP1,2,B
BPF,non-alcoholic steatohepatitis,Metabolic/Liver,5,1,0,15.741,NFE2L2|NR1I2|PPARA|SREBF1|XBP1,2,B
BPZ,non-alcoholic steatohepatitis,Metabolic/Liver,5,1,0,16.545,CYP19A1|NFE2L2|NR1H4|NR1I2|PPARD,2,B
BPF,obesity disorder,Metabolic,5,1,0,2.185,ESR1|NR1I2|PPARA|PPARG|SREBF1,2,B
