mondo,dlabel,k,K,expected,fold,p,FDR
MONDO_0016684,anaplastic astrocytoma,11,63,1.200330396475771,9.164143499403615,2.2804264863320585e-08,6.961301905645232e-08
MONDO_0016688,fibrillary astrocytoma,11,63,1.200330396475771,9.164143499403615,2.2804264863320585e-08,6.961301905645232e-08
MONDO_0001166,nephritis,9,38,0.7240088105726872,12.430787952540312,2.7244667305876226e-08,8.208782876575694e-08
MONDO_0016681,gliosarcoma,13,98,1.8671806167400882,6.962368762533915,3.6525609224658545e-08,1.0726508025469344e-07
MONDO_0100342,malignant glioma,13,98,1.8671806167400882,6.962368762533915,3.6525609224658545e-08,1.0726508025469344e-07
MONDO_0005401,colonic neoplasm,16,159,3.0294052863436125,5.281564692623696,5.169181759330578e-08,1.480555763166289e-07
MONDO_0021063,malignant colon neoplasm,16,159,3.0294052863436125,5.281564692623696,5.169181759330578e-08,1.480555763166289e-07
MONDO_0018513,squamous cell carcinoma of colon,16,160,3.048458149779736,5.2485549132947975,5.649396172094907e-08,1.598365746251242e-07
MONDO_0009831,malignant pancreatic neoplasm,13,102,1.9433920704845815,6.6893346934149385,5.950339831101141e-08,1.6434271914469818e-07
MONDO_0021040,pancreatic neoplasm,13,102,1.9433920704845815,6.6893346934149385,5.950339831101141e-08,1.6434271914469818e-07
MONDO_0006292,malignant mesothelioma,15,141,2.686453744493392,5.583569056696593,6.552842937982217e-08,1.708156810799859e-07
MONDO_0005065,mesothelioma,15,141,2.686453744493392,5.583569056696593,6.552842937982217e-08,1.708156810799859e-07
MONDO_0004114,urinary bladder small cell neuroendocrine carcinoma,15,141,2.686453744493392,5.583569056696593,6.552842937982217e-08,1.708156810799859e-07
MONDO_0004987,urinary bladder neoplasm,15,141,2.686453744493392,5.583569056696593,6.552842937982217e-08,1.708156810799859e-07
MONDO_0016211,non-papillary transitional cell carcinoma of the bladder,15,141,2.686453744493392,5.583569056696593,6.552842937982217e-08,1.708156810799859e-07
MONDO_0001187,urinary bladder cancer,15,144,2.743612334801762,5.467244701348748,8.694954542475876e-08,2.2167356635762672e-07
MONDO_0004986,urinary bladder carcinoma,15,144,2.743612334801762,5.467244701348748,8.694954542475876e-08,2.2167356635762672e-07
MONDO_0015278,familial pancreatic carcinoma,13,107,2.038656387665198,6.376748960077792,1.0609783718499568e-07,2.64674174483e-07
MONDO_0005192,exocrine pancreatic carcinoma,13,107,2.038656387665198,6.376748960077792,1.0609783718499568e-07,2.64674174483e-07
MONDO_0015796,acute lung injury,7,22,0.41916299559471365,16.69994745139254,1.081834030926279e-07,2.670058459307412e-07
MONDO_0004993,carcinoma,17,196,3.7343612334801763,4.552318037041406,1.740078760340894e-07,4.249455498937762e-07
MONDO_0016682,giant cell glioblastoma,13,116,2.210132158590308,5.882001195933825,2.777286601033805e-07,6.711775952498362e-07
MONDO_0016693,subependymal giant cell astrocytoma,7,25,0.4763215859030837,14.695953757225434,2.9055492702504083e-07,6.808963946445402e-07
MONDO_0004071,childhood cerebral astrocytoma,7,25,0.4763215859030837,14.695953757225434,2.9055492702504083e-07,6.808963946445402e-07
MONDO_0021636,astrocytic tumor,7,25,0.4763215859030837,14.695953757225434,2.9055492702504083e-07,6.808963946445402e-07
MONDO_0016685,low-grade astrocytoma,7,26,0.49537444933920705,14.130724766562917,3.912554801410301e-07,9.077127139271899e-07
MONDO_0013276,Reynolds syndrome,9,51,0.9716960352422908,9.26215572934376,4.110469485057416e-07,9.441870500329906e-07
MONDO_0005617,undifferentiated carcinoma,15,163,3.105616740088106,4.829958509166992,4.462583606515294e-07,1.0051644628267458e-06
MONDO_0006406,sarcomatoid carcinoma,15,163,3.105616740088106,4.829958509166992,4.462583606515294e-07,1.0051644628267458e-06
MONDO_0019781,astrocytoma (excluding glioblastoma),7,27,0.5144273127753304,13.60736459002355,5.197660247537296e-07,1.1594780552198582e-06
MONDO_0010481,angioedema,6,18,0.34295154185022025,17.495183044315993,6.734928933762135e-07,1.483311894235588e-06
MONDO_0021124,female infertility,7,28,0.5334801762114537,13.121387283236995,6.819641735877012e-07,1.483311894235588e-06
MONDO_0005249,pneumonia,9,54,1.0288546255506608,8.747591522157997,6.841136753586548e-07,1.483311894235588e-06
MONDO_0021251,endometrium neoplasm,10,72,1.371806167400881,7.289659601798331,9.398859408758255e-07,2.000491176910014e-06
MONDO_0011962,endometrial cancer,10,72,1.371806167400881,7.289659601798331,9.398859408758255e-07,2.000491176910014e-06
MONDO_0018891,familial tumoral calcinosis,8,42,0.8002202643171806,9.997247453894852,1.0033841525801076e-06,2.1162283945325902e-06
MONDO_0002447,endometrial carcinoma (disease),10,73,1.3908590308370044,7.189801251088764,1.0713362312591962e-06,2.239189240109311e-06
MONDO_0002909,hyperglycemia,7,30,0.5715859030837004,12.246628131021195,1.135439350668132e-06,2.3311675164159873e-06
MONDO_0006644,alcoholic liver cirrhosis,7,30,0.5715859030837004,12.246628131021195,1.135439350668132e-06,2.3311675164159873e-06
MONDO_0005567,substance withdrawal syndrome,9,58,1.105066079295154,8.144309348216066,1.2832006494191807e-06,2.6114258830285082e-06
MONDO_0002505,childhood astrocytic tumor,7,31,0.5906387665198238,11.851575610665671,1.4432219196361554e-06,2.9115433509181574e-06
MONDO_0002123,calcinosis,8,44,0.8383259911894273,9.542827115081451,1.4585401835921233e-06,2.9170803671842466e-06
MONDO_0002898,skin cancer,9,59,1.1241189427312774,8.00627020672088,1.489634274165482e-06,2.9287724712406086e-06
MONDO_0002531,skin neoplasm,9,59,1.1241189427312774,8.00627020672088,1.489634274165482e-06,2.9287724712406086e-06
MONDO_0005301,multiple sclerosis,8,45,0.8573788546255506,9.330764290301863,1.7453432924813084e-06,3.4026860828207023e-06
